FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
,,,,Hk3,,,,,,Prmt3,,Hdac11,,Erlec1,,,
,,,,Itgb7,,,,,,Setd6,,Apol9a,,Ccz1,,,
,,,,Lhx2,,,,,,Paxip1,,Sipa1l1,,Ccng1,,,
,,,,Fam167a,,,,,,Stmn1,,Uqcr10,,Nr2f2,,,
,,,,Enkd1,,,,,,Rnf8,,Uba52,,Hexim1,,,
,,,,Dtx2,,,,,,Pigb,,Rps19,,Slc30a1,,,
,,,,Rpusd1,,,,,,Eif2ak4,,Drg2,,Zdhhc20,,,
,,,,Trim68,,,,,,Zfp983,,Dnm2,,Ttpal,,,
,,,,Sybu,,,,,,Rbms3,,Psme2,,Tor1b,,,
,,,,1500011B03Rik,,,,,,Wwox,,Mgll,,Appl1,,,
,,,,Fermt3,,,,,,Phf7,,Raly,,Smc1a,,,
,,,,Plekho1,,,,,,Mir99ahg,,Pecam1,,Lratd2,,,
,,,,Zfp459,,,,,,Asb7,,Bcar3,,Mkrn1,,,
,,,,Slc22a4,,,,,,Prpf38a,,Spns2,,Pex3,,,
,,,,Tulp3,,,,,,Rhbdd2,,App,,Sox6,,,
,,,,9130221H12Rik,,,,,,Mre11a,,Aamp,,Tmx3,,,
,,,,Cplx2,,,,,,Bcs1l,,Szrd1,,Heatr1,,,
,,,,Zfp956,,,,,,P2ry1,,Bsdc1,,Rufy3,,,
,,,,Zfp692,,,,,,Rnf34,,Mrpl28,,Foxo3,,,
,,,,Fndc10,,,,,,Rnf24,,Xylb,,Smap2,,,
,,,,Tbc1d25,,,,,,Trappc2,,Pskh1,,Add1,,,
,,,,1700113A16Rik,,,,,,Fabp5,,Gns,,Mir22hg,,,
,,,,Gpc6,,,,,,Trim32,,Snrpd3,,Elp3,,,
,,,,H3c6,,,,,,Ndufaf2,,Slc25a30,,Gars,,,
,,,,Rab11fip5,,,,,,Wipf2,,Rnpepl1,,Pals1,,,
,,,,Gna14,,,,,,Kitl,,Psmd3,,Appbp2,,,
,,,,Fam180a,,,,,,Pms1,,Tmem205,,Tbk1,,,
,,,,Serpina5,,,,,,Fads3,,Ostf1,,Dcaf10,,,
,,,,Alkbh7,,,,,,Cep290,,Aqp8,,Rbm26,,,
,,,,Mms22l,,,,,,Zfp60,,Kalrn,,Fktn,,,
,,,,C2cd4c,,,,,,Tipin,,Aldoa,,Atp6v1b2,,,
,,,,Tmem39b,,,,,,Gmnn,,Cmtr1,,Galk2,,,
,,,,Jrk,,,,,,Ccdc77,,Ppfia1,,Orc3,,,
,,,,Slc16a11,,,,,,Ggh,,Ttc7,,Cep170,,,
,,,,Bc1,,,,,,Med7,,Jmjd8,,Mapk6,,,
,,,,Ogg1,,,,,,Tmem165,,Pex14,,Eif2ak1,,,
,,,,Slfn4,,,,,,Zfp143,,Tmed9,,Klf12,,,
,,,,Paqr4,,,,,,Smndc1,,Eloa,,Suco,,,
,,,,Kifc2,,,,,,Gskip,,4833439L19Rik,,Tstd3,,,
,,,,Col4a3,,,,,,Parp6,,Vapb,,Pabpc4,,,
,,,,Lilra5,,,,,,Dhx29,,Slc25a10,,Rcbtb2,,,
,,,,Alkbh6,,,,,,Lmbr1,,H13,,Mob1a,,,
,,,,Slc51b,,,,,,Gucy1a2,,Gamt,,Thumpd3,,,
,,,,Zkscan6,,,,,,Mgme1,,Cbr1,,R3hcc1l,,,
,,,,Cenpo,,,,,,Pkd2l2,,Pafah2,,Zfp281,,,
,,,,Lins1,,,,,,Mllt3,,Ctif,,Slain2,,,
,,,,Limch1,,,,,,Blzf1,,Igfbp7,,Uros,,,
,,,,Gramd1b,,,,,,Cd9,,Anapc5,,Gab1,,,
,,,,Gm2061,,,,,,Mmrn2,,Hnrnpl,,Kctd20,,,
,,,,Hk2,,,,,,Agpat5,,Baiap2,,Adgrl4,,,
,,,,Rasip1,,,,,,Gbp2,,Car5a,,Npc2,,,
,,,,Adgrg3,,,,,,Snupn,,Slc3a1,,Chtop,,,
,,,,Dio3os,,,,,,Tmcc3,,Ptpn11,,Smu1,,,
,,,,Atp8b5,,,,,,Nrde2,,Mcm10,,Ccnc,,,
,,,,Tmppe,,,,,,Lrch1,,Csk,,Hspa13,,,
,,,,Nthl1,,,,,,Grb10,,Hagh,,Tbc1d14,,,
,,,,Carmn,,,,,,Slc9a9,,Usp10,,Mrpl1,,,
,,,,Smad6,,,,,,Tfpi,,Atf4,,Jpt2,,,
,,,,Lzic,,,,,,Rbmxl1,,Mpdu1,,Ncbp1,,,
,,,,2610306M01Rik,,,,,,Zxdc,,Lrpap1,,Cpsf6,,,
,,,,Acvrl1,,,,,,Slbp,,Arrb1,,Glt1d1,,,
,,,,Nr4a1,,,,,,1110002L01Rik,,Def8,,Acsl3,,,
,,,,Lrrc4c,,,,,,Mxd1,,Cndp2,,Brwd3,,,
,,,,Rap2b,,,,,,Cnnm2,,Nr1h3,,Specc1l,,,
,,,,Dok2,,,,,,Zfp74,,Gstm2,,Ercc6,,,
,,,,Comtd1,,,,,,Akap17b,,Vps28,,Iffo2,,,
,,,,Pole,,,,,,Cnksr3,,Parp1,,Selenok,,,
,,,,Gpr39,,,,,,Arfgap3,,Prelid3b,,Yae1d1,,,
,,,,Rps6ka2,,,,,,Zfp444,,Srebf1,,Rnf19b,,,
,,,,Zfp316,,,,,,Dffa,,Ddx23,,Mkks,,,
,,,,Nhlrc1,,,,,,Bbs7,,Mybbp1a,,Marchf7,,,
,,,,Zgrf1,,,,,,Aven,,Denn2b,,Atxn1,,,
,,,,A230056P14Rik,,,,,,Slc38a9,,Arf5,,Zcchc7,,,
,,,,Mdm1,,,,,,Slc25a48,,Galnt2,,Btaf1,,,
,,,,Orai2,,,,,,Pag1,,1700123O20Rik,,Ap1ar,,,
,,,,Thbd,,,,,,Tinf2,,Mogs,,Fbxl4,,,
,,,,S1pr5,,,,,,Mcph1,,Polg,,Them7,,,
,,,,Ripor3,,,,,,Hpse,,Mrps7,,Gnptab,,,
,,,,Ano1,,,,,,Psg16,,Stip1,,Arpp19,,,
,,,,Ccn4,,,,,,Acbd6,,Dnaja3,,Tob2,,,
,,,,Selenom,,,,,,Slc8a1,,Pxdc1,,Syap1,,,
,,,,Cd200,,,,,,Zfp994,,Cdk4,,Rbm7,,,
,,,,Gm5148,,,,,,Pfkfb3,,Rtp3,,Uba5,,,
,,,,Gnao1,,,,,,Spring1,,Krt18,,AW549877,,,
,,,,Epor,,,,,,3830406C13Rik,,Ddx24,,Ttc37,,,
,,,,Fscn1,,,,,,Arhgef2,,Slc66a2,,Ppp4r1,,,
,,,,Nim1k,,,,,,Rbmx,,Snx19,,Eif2ak3,,,
,,,,Plet1,,,,,,Pcid2,,Scyl1,,Dcaf12,,,
,,,,Msln,,,,,,Sparcl1,,Ankrd27,,Aff1,,,
,,,,Tab1,,,,,,Ccdc66,,Pnkd,,Mrps14,,,
,,,,Smarcd3,,,,,,Zfp12,,Hyou1,,Hsf2,,,
,,,,Sema4d,,,,,,Clp1,,Rpl11,,Fzd7,,,
,,,,Zfp438,,,,,,Tiparp,,Gnb1,,Mb21d2,,,
,,,,Gm17830,,,,,,Ccn2,,Chid1,,Atp2b4,,,
,,,,Adcyap1r1,,,,,,Ppp1r9a,,Smarcc2,,Prpf38b,,,
,,,,Map1s,,,,,,Zfp799,,Mpst,,Magi1,,,
,,,,Isg20,,,,,,Sgip1,,Atp5mpl,,Cobll1,,,
,,,,Arid3a,,,,,,Primpol,,0610005C13Rik,,Dlg3,,,
,,,,Mapk15,,,,,,Zfp46,,Paqr7,,Tmem168,,,
,,,,Gm10636,,,,,,Tert,,Scly,,Slu7,,,
,,,,Yju2,,,,,,Hace1,,Egln1,,Mindy2,,,
,,,,Klhl36,,,,,,Meis1,,Tacc1,,Mfsd14b,,,
,,,,Atp2a3,,,,,,Brd9,,Chd4,,Senp3,,,
,,,,Gvin-ps6,,,,,,Tmco4,,Timmdc1,,Shprh,,,
,,,,Zbtb8a,,,,,,Dtd2,,Rab43,,Stk24,,,
,,,,Cntln,,,,,,Zfp35,,Lipc,,Iqgap1,,,
,,,,Angel1,,,,,,Olfr635,,Ccdc91,,Surf1,,,
,,,,Crlf2,,,,,,Tesk2,,Tcf25,,Trip4,,,
,,,,H2-DMb2,,,,,,Kctd6,,Clcn7,,Wwc2,,,
,,,,Wnt5a,,,,,,Mndal,,Stab2,,Srgap2,,,
,,,,Art4,,,,,,Dhx57,,Psmd8,,Washc3,,,
,,,,Ccdc68,,,,,,Nrf1,,Flad1,,Il6ra,,,
,,,,Bloc1s3,,,,,,Pigu,,Uck1,,Sumo2,,,
,,,,Macrod2,,,,,,Fan1,,Cideb,,Oit3,,,
,,,,Fsd1l,,,,,,Adgre4,,Mbtps1,,Gsdme,,,
,,,,Tmem218,,,,,,Ccdc84,,Slc25a44,,Bicral,,,
,,,,Fgr,,,,,,Entpd7,,Pemt,,Trp53bp1,,,
,,,,Sox13,,,,,,Fut8,,Mprip,,Tbc1d8,,,
,,,,Sertad3,,,,,,Nes,,Sec61a1,,Lrrfip2,,,
,,,,Traf3ip2,,,,,,Cln3,,BC004004,,Fgd4,,,
,,,,AI429214,,,,,,Zfp973,,Mvb12a,,Mrpl57,,,
,,,,Rom1,,,,,,Phka1,,Lgals3bp,,Lrrc28,,,
,,,,Unc5a,,,,,,Simc1,,Kars,,Ap5m1,,,
,,,,Zc3hav1l,,,,,,Orc2,,Atp5e,,Baz1a,,,
,,,,Filip1,,,,,,Egr1,,Gaa,,Slc25a46,,,
,,,,Hivep3,,,,,,Dnajc9,,Tmem37,,Tgfbr2,,,
,,,,Znrd2,,,,,,Tmem65,,Clpb,,Foxn2,,,
,,,,Zkscan14,,,,,,Elk3,,Smarca4,,Nsmaf,,,
,,,,Ace,,,,,,Terf1,,Abl1,,Sgms1,,,
,,,,Sgtb,,,,,,Mfsd8,,Phyhd1,,Enpp5,,,
,,,,Rhoj,,,,,,Slc44a3,,F11,,Phf8,,,
,,,,Phf19,,,,,,Tyw5,,Dtnbp1,,Yipf5,,,
,,,,Vav1,,,,,,Erg,,Fpgs,,Eif2s1,,,
,,,,Ess2,,,,,,Abca9,,Arsg,,Fam193a,,,
,,,,Adam11,,,,,,Sclt1,,Wdfy3,,Tdp2,,,
,,,,Col16a1,,,,,,Arhgap6,,Tex264,,Dglucy,,,
,,,,Ccdc28b,,,,,,Lsm2,,Rab8a,,Cmtm8,,,
,,,,Snhg18,,,,,,Snrnp40,,U2af2,,Jkamp,,,
,,,,Wdr90,,,,,,Ppcdc,,Pnpo,,Pfkfb1,,,
,,,,H2ac20,,,,,,2410002F23Rik,,Thnsl2,,Commd1,,,
,,,,Rinl,,,,,,Ints10,,Grn,,N4bp1,,,
,,,,H3c7,,,,,,Bpgm,,Sec16b,,Rnf6,,,
,,,,Pcgf2,,,,,,Ankrd44,,Trafd1,,Atp6v0a1,,,
,,,,Chst2,,,,,,Cbfa2t2,,Zfyve1,,Utp3,,,
,,,,H2bc6,,,,,,Snrpa1,,Ap2a2,,Txndc11,,,
,,,,Supt3,,,,,,Irf8,,Tmem14c,,Arglu1,,,
,,,,Tmem198b,,,,,,Bmt2,,Mfn2,,Mrpl35,,,
,,,,Nob1,,,,,,Ttl,,Cyp4f15,,Elp2,,,
,,,,Rfx2,,,,,,Cops7b,,Dsp,,Pcsk5,,,
,,,,Scarna17,,,,,,Fundc2,,Prkaca,,Stk4,,,
,,,,Smim6,,,,,,Supt7l,,Ctdsp2,,Map3k20,,,
,,,,Ckb,,,,,,Zkscan17,,Ilrun,,Twsg1,,,
,,,,Agap2,,,,,,Cldnd1,,Mocos,,Gfpt1,,,
,,,,Cystm1,,,,,,Arhgap18,,St6galnac6,,Dnajb9,,,
,,,,Dusp14,,,,,,Terf2ip,,Cdk18,,Ifi47,,,
,,,,Ctcfl,,,,,,Psmg1,,Retreg3,,Prnp,,,
,,,,2810410L24Rik,,,,,,Casp2,,Grcc10,,Cfl2,,,
,,,,Cd14,,,,,,Fosl2,,Pes1,,Gmfb,,,
,,,,Cdyl2,,,,,,Pparg,,Letm1,,Pigk,,,
,,,,Myl9,,,,,,Mdc1,,Ndufa7,,Dusp1,,,
,,,,Pkp3,,,,,,Apip,,Micos13,,Grb14,,,
,,,,Lsp1,,,,,,Zfp189,,Akt2,,Tex261,,,
,,,,Cachd1,,,,,,Tpst1,,Bdh1,,Rheb,,,
,,,,Ntn3,,,,,,Lbr,,Akr7a5,,Golga1,,,
,,,,Bicra,,,,,,Taf13,,Usf2,,Asrgl1,,,
,,,,Ccdc191,,,,,,Usp49,,Acad8,,Amotl2,,,
,,,,Gm4013,,,,,,Gbp9,,Eppk1,,Rere,,,
,,,,Chaf1a,,,,,,Rhobtb2,,Mgrn1,,Hps5,,,
,,,,Cerk,,,,,,Lpl,,Acat2,,Gopc,,,
,,,,Flrt2,,,,,,Mettl8,,Hgs,,Smim14,,,
,,,,Psd4,,,,,,Acot9,,Icmt,,Cbx1,,,
,,,,Ung,,,,,,Pigh,,Ppil2,,Myo1d,,,
,,,,Stk19,,,,,,Slc26a2,,Il11ra1,,Creb3l2,,,
,,,,Tctn1,,,,,,Rab31,,Pcnx3,,Bbx,,,
,,,,Kctd13,,,,,,Lnx2,,Csnk1d,,Smarce1,,,
,,,,Capg,,,,,,Rnaseh2a,,Mtor,,Pptc7,,,
,,,,1810021B22Rik,,,,,,Tmem68,,Bloc1s1,,Fahd1,,,
,,,,Scarf2,,,,,,Cyp4b1,,Tmem250-ps,,Ino80d,,,
,,,,Lingo4,,,,,,Brca2,,Cope,,Sult1b1,,,
,,,,Rnaseh1,,,,,,Nif3l1,,Spg7,,C1galt1c1,,,
,,,,Upk3b,,,,,,Mknk1,,Ndufa9,,Tmbim1,,,
,,,,Galnt18,,,,,,Fadd,,Isoc2a,,Pex11a,,,
,,,,Exo5,,,,,,Dck,,Nsun2,,Atxn3,,,
,,,,Fibin,,,,,,Nelfa,,Faah,,Kpna3,,,
,,,,Tmem229b,,,,,,Sirt1,,Ahnak,,Ylpm1,,,
,,,,Srrd,,,,,,Vegfb,,Mpnd,,Atr,,,
,,,,Cep78,,,,,,Cep57,,Acad10,,Arpc5l,,,
,,,,Ttf2,,,,,,Pcnx4,,Ldlrap1,,Wdr20,,,
,,,,Chrd,,,,,,Fam98b,,Gas6,,Usp38,,,
,,,,Coil,,,,,,H2-T24,,Hmgcl,,Mkrn2,,,
,,,,Afp,,,,,,Rbm12,,Cd74,,Klhl42,,,
,,,,Rpl12,,,,,,Lsm5,,Aspdh,,Tmpo,,,
,,,,Fhod3,,,,,,Mrps6,,Clta,,Tollip,,,
,,,,Mthfd1l,,,,,,Crtc3,,Trap1,,Cdc73,,,
,,,,Sema3c,,,,,,Ube2a,,Ddx39b,,Rpl5,,,
,,,,Sulf1,,,,,,Arhgap24,,Palld,,Cemip2,,,
,,,,Eci3,,,,,,Ncoa5,,Kxd1,,Phf10,,,
,,,,Itm2a,,,,,,Nfatc1,,Arf3,,Prdx4,,,
,,,,Pycr2,,,,,,Tmem192,,Etfb,,Usp48,,,
,,,,Ackr2,,,,,,Timm9,,Sdc3,,Taf12,,,
,,,,Ccdc88b,,,,,,Wdr76,,Auh,,Ero1a,,,
,,,,S100a4,,,,,,Asb3,,Rassf8,,Fip1l1,,,
,,,,Tspan15,,,,,,Cblb,,Rps10,,Map3k13,,,
,,,,Ttbk1,,,,,,Zfp97,,Atp5d,,Ikbkg,,,
,,,,Cpxm1,,,,,,Nde1,,Mrpl17,,Ap3s1,,,
,,,,Wfdc2,,,,,,Larp7,,Mtif3,,Cox16,,,
,,,,Gm20257,,,,,,Nop9,,Ogfr,,Mief1,,,
,,,,Gnat1,,,,,,Atg14,,Cyp2d22,,Slc35a5,,,
,,,,Tmem51,,,,,,Nudt13,,Ube2g2,,Nhlrc2,,,
,,,,Olfr1120,,,,,,Cep19,,Rps21,,Kdm4c,,,
,,,,Borcs5,,,,,,Ppp4r4,,Entpd8,,Nudcd1,,,
,,,,1700030K09Rik,,,,,,Polg2,,Iqsec1,,Hnrnpr,,,
,,,,Grap,,,,,,Neurl3,,Ubl5,,Dhfr,,,
,,,,Cnmd,,,,,,Jpx,,Trpc4ap,,Aftph,,,
,,,,Svbp,,,,,,Trub1,,Dock8,,Slc35b4,,,
,,,,Plcg2,,,,,,Bcl10,,Hspb8,,Zfp410,,,
,,,,Cd79b,,,,,,Mfap1a,,Cdc42bpb,,Pias1,,,
,,,,Tmem266,,,,,,Syde2,,Ifitm2,,Polr1f,,,
,,,,Pla2g7,,,,,,Rad1,,Coq8a,,Osbpl2,,,
,,,,Slc11a1,,,,,,Paxbp1,,Sh3pxd2a,,Mff,,,
,,,,Pias3,,,,,,Zbtb37,,Bap1,,Tmod3,,,
,,,,Elapor1,,,,,,Dnajc18,,Sds,,Ptprc,,,
,,,,Hvcn1,,,,,,Rabif,,Tsc22d1,,Zfhx3,,,
,,,,Nek3,,,,,,9130023H24Rik,,Sdr42e1,,Cers6,,,
,,,,Chst13,,,,,,Bbs9,,Cdhr5,,Rab21,,,
,,,,Klhl8,,,,,,Tarsl2,,Rpl34,,Nars2,,,
,,,,Ifi44l,,,,,,Zfp326,,Eif3f,,Kmt2e,,,
,,,,Il22ra1,,,,,,1600020E01Rik,,Coro1b,,Nlrc5,,,
,,,,Slc4a8,,,,,,Haus3,,Nat8f1,,Lztfl1,,,
,,,,Polr1e,,,,,,Nr2c1,,Slc8b1,,Tatdn2,,,
,,,,Wdr5b,,,,,,Wdr41,,Pccb,,Tgds,,,
,,,,Exog,,,,,,Eef2k,,Pcsk6,,Eaf1,,,
,,,,Cyp4f16,,,,,,Ftx,,Fam20a,,Lsm6,,,
,,,,Pde6d,,,,,,Polr3gl,,Cldn1,,Mrps9,,,
,,,,Cdpf1,,,,,,Golm2,,Zbtb7b,,Tfam,,,
,,,,Zfp354c,,,,,,Zfp868,,Cct5,,Ubn1,,,
,,,,Mmp17,,,,,,Stk35,,Drap1,,Mcmbp,,,
,,,,Xrcc2,,,,,,Hpcal1,,Lasp1,,Tbc1d8b,,,
,,,,1700003E16Rik,,,,,,Helb,,Sun2,,Iars,,,
,,,,Cdca3,,,,,,Nav1,,Fbxw8,,Tsnax,,,
,,,,Dynlt2b,,,,,,Plgrkt,,Os9,,Ddo,,,
,,,,Cyp26b1,,,,,,Plekhg1,,Dnpep,,Tmem131,,,
,,,,Sertad1,,,,,,Rbm12b2,,Tmem63b,,Cbfb,,,
,,,,Ccdc88c,,,,,,Rnf38,,Plin3,,Crnkl1,,,
,,,,Cyb561d1,,,,,,Cd84,,Ggact,,Ccdc141,,,
,,,,Polr2d,,,,,,Zmym6,,Napa,,Nfu1,,,
,,,,Dnai4,,,,,,Zbtb10,,Tubb2a,,Isca1,,,
,,,,Arl16,,,,,,Fbxl14,,Otulin,,Ext1,,,
,,,,Tcf7l1,,,,,,Vti1a,,Atg2b,,Cipc,,,
,,,,S100a9,,,,,,Akt3,,Lhpp,,Nrxn1,,,
,,,,Esrrg,,,,,,C87436,,Mfhas1,,Ddx42,,,
,,,,Rfc3,,,,,,Fn3k,,Btd,,Map3k5,,,
,,,,Pdlim2,,,,,,Rtp4,,Rps28,,Gtf3c4,,,
,,,,Tha1,,,,,,Cbx4,,Golga2,,Suz12,,,
,,,,Ddx59,,,,,,Tor3a,,Actr1a,,Katnip,,,
,,,,4933411K16Rik,,,,,,Socs7,,Rab5if,,Paf1,,,
,,,,Schip1,,,,,,Nuak2,,Anpep,,Bpnt1,,,
,,,,Cacna1a,,,,,,Mmd2,,C130074G19Rik,,Rnf168,,,
,,,,Calml4,,,,,,Zfp661,,Brd2,,Arrdc4,,,
,,,,Gadd45a,,,,,,Cnih4,,Shpk,,Necap1,,,
,,,,Pwwp2b,,,,,,Nr6a1,,Trabd,,Eapp,,,
,,,,Ngf,,,,,,Naa16,,Mknk2,,Mpdz,,,
,,,,Tnip2,,,,,,Ints2,,Helz2,,Rbpms,,,
,,,,Cmss1,,,,,,Robo4,,Rbm10,,Sgk2,,,
,,,,Dpysl3,,,,,,Exosc8,,Tapbp,,Nudt5,,,
,,,,Brf2,,,,,,Chml,,Pde4dip,,Timm21,,,
,,,,Rgs4,,,,,,Cxcl16,,Dlst,,Ube2e3,,,
,,,,Kcnb1,,,,,,Ints14,,Ablim1,,Zc3h11a,,,
,,,,Chst12,,,,,,Txnl4b,,Mindy1,,Snx10,,,
,,,,2010320M18Rik,,,,,,Mipol1,,Cabin1,,Sf3b3,,,
,,,,Zfp3,,,,,,Foxj2,,Tns3,,Ier3ip1,,,
,,,,Pusl1,,,,,,Lrit1,,Acnat1,,Lyn,,,
,,,,D330023K18Rik,,,,,,Saa3,,Ubtf,,Spty2d1,,,
,,,,Tmem200b,,,,,,Ccdc28a,,Plod1,,Vps36,,,
,,,,Mettl15,,,,,,Nbea,,Shroom1,,Socs2,,,
,,,,Spon1,,,,,,Atp7a,,Gnai2,,Ube2k,,,
,,,,Naif1,,,,,,Ankrd49,,Ssbp3,,Smim7,,,
,,,,2310022A10Rik,,,,,,Usp54,,Pcyt2,,Pitpna,,,
,,,,Neu3,,,,,,Susd1,,Pink1,,H2az1,,,
,,,,Eva1b,,,,,,Zswim9,,Amotl1,,Ndfip2,,,
,,,,Fbln2,,,,,,Kin,,Mta2,,Plxna2,,,
,,,,Ccl24,,,,,,Adgre1,,Depp1,,Per2,,,
,,,,Rita1,,,,,,Zfp770,,Ppp6r2,,Usp14,,,
,,,,Efemp2,,,,,,Scmh1,,Abcb6,,Rnf217,,,
,,,,Syt3,,,,,,Polk,,Agmat,,Gtpbp10,,,
,,,,Notch3,,,,,,Btnl9,,Tmed4,,Unc50,,,
,,,,Evl,,,,,,Gcnt4,,Aldh1b1,,Anapc4,,,
,,,,Treml4,,,,,,Adra1a,,Ndufb8,,Zmym2,,,
,,,,Fam110a,,,,,,Zfp119a,,Usp19,,Abi1,,,
,,,,Gimap3,,,,,,Ccdc152,,Manf,,Dipk2a,,,
,,,,Kcnj10,,,,,,Rras,,Arf1,,Nat2,,,
,,,,Mypop,,,,,,Foxq1,,Fam20c,,Tvp23b,,,
,,,,D330041H03Rik,,,,,,Atpsckmt,,Ubxn6,,Klf13,,,
,,,,Crip1,,,,,,Tmem128,,Saraf,,Armc1,,,
,,,,Srgap1,,,,,,Traf5,,Scap,,Mertk,,,
,,,,Sox4,,,,,,Tle3,,Rtcb,,Tdrd7,,,
,,,,Vtcn1,,,,,,Cutc,,Stat3,,Psme3,,,
,,,,Pam16,,,,,,Snapin,,Col4a2,,Lin7a,,,
,,,,Cap2,,,,,,B4gat1,,Slc25a42,,Btg1,,,
,,,,Tnfsf12,,,,,,Sowahc,,Tecr,,Dync1li1,,,
,,,,Magohb,,,,,,Nin,,Tuba1c,,Cyp4a32,,,
,,,,Cysltr1,,,,,,Rnmt,,Sbf1,,Ttbk2,,,
,,,,Mphosph6,,,,,,Zfp748,,Dhrs3,,Krr1,,,
,,,,Cabcoco1,,,,,,Polr2g,,Anapc13,,Ccdc80,,,
,,,,Emp3,,,,,,Dcp1a,,Hdgf,,Abhd17b,,,
,,,,Adgrg1,,,,,,Snhg6,,Stk16,,Fbxo8,,,
,,,,Hsbp1l1,,,,,,Zfp945,,Tmem214,,Crybg1,,,
,,,,Dusp10,,,,,,Pip4k2a,,Nek9,,Fam136a,,,
,,,,Kctd11,,,,,,Cyb561a3,,Net1,,Braf,,,
,,,,Casz1,,,,,,Tpd52,,Map3k4,,Gabpb2,,,
,,,,Map9,,,,,,Fam53c,,Esrp2,,Smc5,,,
,,,,Phldb3,,,,,,Zmat1,,Psmc4,,Ndrg1,,,
,,,,Zfp651,,,,,,Akr1b3,,Osgin1,,2810004N23Rik,,,
,,,,Mical1,,,,,,Nol9,,Tle5,,Ube2g1,,,
,,,,Mgp,,,,,,Snapc3,,Grina,,Tmem18,,,
,,,,Dnmt3b,,,,,,Hps3,,Fgd6,,Atxn1l,,,
,,,,Gm15401,,,,,,Fancc,,Pacsin3,,Kdm1b,,,
,,,,Coro2a,,,,,,Taf1b,,Coq9,,Slc22a5,,,
,,,,Nme4,,,,,,Trmt6,,Tgm2,,Dnajc21,,,
,,,,Ramp2,,,,,,Oxct1,,Atp6v0a2,,Clk4,,,
,,,,Bdnf,,,,,,Zfp605,,Skiv2l,,Gstt3,,,
,,,,C5ar1,,,,,,Mlxip,,Atp5k,,Snap23,,,
,,,,Zfp93,,,,,,Stx6,,Idh3b,,Msl2,,,
,,,,Spata6l,,,,,,Gcfc2,,Ndufv1,,Orm2,,,
,,,,Afap1l2,,,,,,Fancm,,Supt4a,,Wdr36,,,
,,,,Neil1,,,,,,Ctla2a,,Slc39a7,,Tomm40l,,,
,,,,Ifi202b,,,,,,Klhl11,,Arhgdia,,Ash2l,,,
,,,,D030028A08Rik,,,,,,Dnajc12,,Med12,,Sptlc2,,,
,,,,Aph1c,,,,,,Ccdc59,,Mrpl38,,Baz2b,,,
,,,,Lrrc25,,,,,,Pde7b,,Eif3d,,Emc4,,,
,,,,Zdhhc14,,,,,,C9orf72,,F11r,,Mob3b,,,
,,,,Gins2,,,,,,A130010J15Rik,,Ehd1,,Erlin1,,,
,,,,Slpi,,,,,,Noa1,,Fkbp2,,Gramd3,,,
,,,,Cdkn1c,,,,,,Sp100,,Carhsp1,,Crbn,,,
,,,,Dand5,,,,,,Frg2f1,,Creb3,,Heatr5a,,,
,,,,BC051226,,,,,,Lipt1,,Sigmar1,,Uba2,,,
,,,,Galnt6,,,,,,Zfp964,,Kif1c,,Onecut1,,,
,,,,Sgce,,,,,,Vps8,,Ethe1,,Csnk2a2,,,
,,,,Dlec1,,,,,,Fam76a,,Itm2c,,Pnp,,,
,,,,Fam107a,,,,,,Eef1e1,,Hs6st1,,Mbtd1,,,
,,,,Zfp13,,,,,,Tpd52l1,,Fndc4,,Anxa5,,,
,,,,Tmem181b-ps,,,,,,Gdf10,,Atp5g1,,Brcc3,,,
,,,,Ercc8,,,,,,Mtmr14,,Mrpl41,,Hnrnpm,,,
,,,,Rnf39,,,,,,Spidr,,Gss,,Fbxo9,,,
,,,,Lrrc20,,,,,,Yeats4,,Psenen,,Wdr5,,,
,,,,Rcan3,,,,,,Vmn2r53,,Rps15a,,Mrpl48,,,
,,,,Exoc3l4,,,,,,Thumpd1,,Uqcrc1,,Hars2,,,
,,,,Thap3,,,,,,Pcgf6,,Rpl36a,,Rwdd4a,,,
,,,,4833422C13Rik,,,,,,Mtrr,,Upf1,,Prps1,,,
,,,,Plscr3,,,,,,Nqo1,,Ncaph2,,Cpeb2,,,
,,,,Lig1,,,,,,Cxcl9,,Capns1,,Btf3l4,,,
,,,,1700037C18Rik,,,,,,Ap4m1,,Bscl2,,Smad5,,,
,,,,Arl6,,,,,,Fam219b,,Rcl1,,Osbpl11,,,
,,,,Asb2,,,,,,Gm2026,,Amacr,,Yipf4,,,
,,,,Xxylt1,,,,,,Tmem62,,Dpy19l1,,Dnajc28,,,
,,,,Olfr1254,,,,,,Sp4,,Sdf2,,Zc3h15,,,
,,,,Cyfip2,,,,,,Ms4a4d,,Rgp1,,Pld1,,,
,,,,6330418K02Rik,,,,,,Ddx51,,Tns1,,Vps39,,,
,,,,Nutf2,,,,,,Ino80c,,Man2b1,,Ptch1,,,
,,,,Ctu1,,,,,,Hira,,Nf2,,Mtrex,,,
,,,,Snord15a,,,,,,Kctd9,,Sec14l4,,Btbd9,,,
,,,,Gspt2,,,,,,Vbp1,,Tomm6,,Ilf2,,,
