module	feature	condition	score	h5_accession	mission	sex	strain	library_selection
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	FLT	0.17541542649269104	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	FLT	0.16633768379688263	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	FLT	0.12948638200759888	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	FLT	0.22049930691719055	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	FLT	0.2327171415090561	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	FLT	0.22331131994724274	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	FLT	0.1691173017024994	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	FLT	0.2830219566822052	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	FLT	0.1592479646205902	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	FLT	0.15116971731185913	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	FLT	0.18077024817466736	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	FLT	0.1780613660812378	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	FLT	0.16169796884059906	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	FLT	0.16273942589759827	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	FLT	0.10003270208835602	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	FLT	0.13454100489616394	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	FLT	0.25965777039527893	OSD-245		Female	C57BL/6NTac	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F1	FLT	0.0990186408162117	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F2	FLT	0.06301820278167725	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F3	FLT	0.061685360968112946	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F4	FLT	0.08232050389051437	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F5	FLT	0.1334066241979599	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F6	FLT	0.07968886941671371	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F7_techrep1	FLT	0.07271678000688553	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F7_techrep2	FLT	0.0730830654501915	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F8_techrep1	FLT	0.0539347305893898	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F8_techrep2	FLT	0.09061509370803833	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F8_techrep3	FLT	0.07873862236738205	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-463_RR23_LVR_FLT_F9	FLT	0.08565977215766907	OSD-463		Male	C57BL/6J	ribo-depletion
GC_cluster_1_DE_enriched	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep1_F1	FLT	0.07755286246538162	OSD-242		Male	C57BL/6J	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep2_F2	FLT	0.10012110322713852	OSD-242		Male	C57BL/6J	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	FLT	0.1295093595981598	OSD-242		Male	C57BL/6J	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep4_F4	FLT	0.11689326167106628	OSD-242		Male	C57BL/6J	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep5_F5	FLT	0.11370762437582016	OSD-242		Male	C57BL/6J	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep1_F1	FLT	0.12398947030305862	OSD-137		Female	BALB/c	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep3_F3	FLT	0.1319590061903	OSD-137		Female	BALB/c	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep4_F4	FLT	0.16522714495658875	OSD-137		Female	BALB/c	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep5_F5	FLT	0.1796347051858902	OSD-137		Female	BALB/c	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep6_F6	FLT	0.20742154121398926	OSD-137		Female	BALB/c	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-173_Mmus_C57-6CR_LVR_FLT_Rep1_F58	FLT	0.07996735721826553	OSD-173		Female	C57BL/6NCrl	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-173_Mmus_C57-6CR_LVR_FLT_Rep2_F64	FLT	0.08296408504247665	OSD-173		Female	C57BL/6NCrl	Ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI11	GC	0.2153143286705017	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI12	GC	0.1251601129770279	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI13	GC	0.1323191374540329	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI14	GC	0.1981745958328247	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI15	GC	0.19198130071163177	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI16	GC	0.1874234974384308	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI17	GC	0.18647468090057373	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI18	GC	0.18695984780788422	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI19	GC	0.11527542769908905	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI20	GC	0.2220473438501358	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI1	GC	0.11206166446208954	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI2	GC	0.18894506990909576	OSD-379		Female	BALB/cAnNTac	ribo-depletion
GC_cluster_1_DE_enriched	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI3	GC	0.12974704802036285	OSD-379		Female	BALB/cAnNTac	ribo-depletion
