FLT_cluster_01,FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,FLT_cluster_15,GC_cluster_01,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Cgrrf1,Cdk5rap1,Snord16a,Unc5cl,Fgfr3,Kctd15,Chst10,Polr2c,Slc22a28,Pafah1b1,,,,,,Vmn1r199,Runx1,Tm6sf2,Eif2ak4,Eaf1,Lgr5,Klhdc1,Gm2026,Xdh,1700095A21Rik,Bace1,,,
Abhd13,Slfn9,Mir677,Olfm2,Mtmr4,Cuedc1,Ahrr,Btbd2,Phf11b,Rabgap1l,,,,,,0610038B21Rik,6230400D17Rik,Arhgap32,Zfp983,Lsm6,Snx8,Gsto2,Scarna10,Tsc22d3,Gm11413,Fgd6,,,
2610002M06Rik,Zfp623,4930449E18Rik,Nrl,Ndufs5,Ltbp3,Fpr2,Cxxc1,Ly86,Prdx3,,,,,,ENSMUSG00000044542,C530005A16Rik,Rabggta,Rbms3,Tfam,Foxj2,Igf2,Ms4a4d,Zbtb44,Cdk5r1,Coq9,,,
Mrpl9,Fdxacb1,ENSMUSG00000021062,A330009N23Rik,Hgfac,Arhgap4,Ticam2,Gtf3c6,4930480G23Rik,Onecut2,,,,,,Map3k7cl,Gpsm3,Zyx,Asb7,Ubn1,Mbd6,Lamc2,Tlr7,Tardbp,Olfr1204,Tgm2,,,
Gabbr2,Lcp2,4933413L06Rik,Vmn1r224,Mafg,Pard6a,Ccnb2,Nfyc,Spata6,Stau1,,,,,,1700093K21Rik,Pdp1,Bloc1s6,Prpf38a,Mcmbp,Rab3d,C330013E15Rik,Aste1,Adhfe1,Olfr109,Skiv2l,,,
Sfxn2,Rassf4,ENSMUSG00000028750,Olfr1085,Rpl10a,Zfp618,2610203C22Rik,Lipe,Serpina9,Vdac3,,,,,,ENSMUSG00000096573,Zcchc10,Cic,Rhbdd2,Tbc1d8b,Rdh5,Cela2a,Ccdc138,Slc17a3,Lrp8,Atp5k,,,
Maco1,3110040N11Rik,Cntd1,Sarm1,Bckdha,Prkg2,Zfp872,Atoh8,Spata1,Rdh16,,,,,,Gm16287,Zfp418,Rybp,Mre11a,Tsnax,C1s2,Phf24,Sfi1,Slc47a1,Olfr1441,Ndufv1,,,
Acap2,Nufip1,Pax3,Gm16523,Mrpl11,Lrrc61,Ankef1,Dedd,Anln,Acot12,,,,,,Catsperg2,Pcdhgb6,Ddx27,Bcs1l,Pura,Mfge8,Pmel,Rcn2,Ahcyl1,Chst10,Slc39a7,,,
Gcnt2,Nsun4,Olfr101,Olfr291,Gne,Dph7,Cdh6,Kdm2b,Hacd4,Matr3,,,,,,2610035F20Rik,B3gat2,Stxbp5,P2ry1,Ddo,Trmt44,Gm7030,Trmt13,Arih1,Dnajb3,Arhgdia,,,
Nfkbia,Zfp759,Slc6a15,Ogdhl,Ambra1,Rdh1,Vmn1r4,Wiz,4930503L19Rik,Tlk1,,,,,,ENSMUSG00000052850,Cr2,Stk25,Rnf34,Tmem131,Cul9,0610009L18Rik,Olfr1459,Washc2,Olfr887,Eif3d,,,
Tbc1d24,Cyrib,Plb1,Olfr867,Rab1b,Catsperd,Cfap20dc,Ciao3,Gpr157,Cyp2d37-ps,,,,,,Phf21b,Cdc14a,A430005L14Rik,Ndufaf2,Isca1,Slc27a1,Sdk2,Ing3,Nars,Slc5a4b,F11r,,,
Rnf7,2510009E07Rik,Tbx1,4933405D12Rik,Sec24c,1700029I15Rik,Ccdc148,Acot7,Erich1,Tcp1,,,,,,Hoxa1,Plagl1,Tbx3,Wipf2,Ext1,Sult2a3,Nrip2,Gm15408,Larp4,Abca12,Fkbp2,,,
Dlat,Ankmy2,ENSMUSG00000059343,Glp2r,Csnk2b,Kirrel,Chrna5,Arhgef40,Scand1,Acss2,,,,,,Nos2,Zfp831,Ptpn21,Mir22hg,Cipc,Sh2d3c,Atp2a1,Mrpl48,Cpq,Vmn2r13,Rps29,,,
Gpr155,Dipk1a,Olfr372,Trim17,Fars2,Mbp,Btla,Mdp1,Isoc2b,Fam120a,,,,,,Rdh19,Otulinl,Rnf40,Cep290,Nrxn1,Wdr6,Cxcl14,Eml1,Ppm1k,2410018L13Rik,Gfm2,,,
Zfp451,Myef2,Olfr1448,Gpr34,Aph1a,Adgrd1,4930455J16Rik,Gstm4,Dock11,Osbp,,,,,,Sult2b1,Mrm1,Hexim1,Zfp60,Ddx42,Adra1a,Egfl8,Usp2,Rapgef4,Brsk1,Carhsp1,,,
Bet1,Podxl,Slc22a13b,Hrh2,Chmp2a,Bcam,Tagap,Mrpl22,Nipal2,Ddah1,,,,,,Tafa3,Coro2b,Bcl2l2,Med7,Map3k5,Prkd2,Dnase1,H2-T22,Cyp17a1,4930455J16Rik,Sigmar1,,,
Eif5b,Cbwd1,Gm5547,Amer2,Mlec,Neu2,Palb2,Pde2a,Hdgfl3,Maob,,,,,,Gm6567,Frat1,Eif2d,Cep170,Gtf3c4,Nudt6,2700046G09Rik,Pde1a,Rps4x,Gipc2,Hs6st1,,,
Zfp280d,Lsm3,Ltf,Cyp1a1,Nlrp12,9530082P21Rik,Rnf122,Siglec1,Ska2,Pik3ca,,,,,,ENSMUSG00000074892,Ms4a6d,Ttpal,Brf1,Suz12,Tle3,Adamts3,Fgl2,Isoc1,Olfr1428,Atp5g1,,,
Paip2b,Sft2d1,Gm10638,4933440J02Rik,Pkp4,Pfkfb4,Pcdhb17,Tmem82,Gm10069,Cct4,,,,,,ENSMUSG00000027832,Nle1,Appl1,Tmem165,Necap1,Zbtb48,Arhgap33,Saal1,Ufc1,Xkrx,Gss,,,
Nus1,Aktip,Gad2,Olfr1196,Myl12b,Lag3,Olfr414,Tmie,Ifi207,Btbd1,,,,,,5330439B14Rik,Rbm46,Rpap1,Zfp143,Eapp,Pald1,Rdh18-ps,Tcp11l1,As3mt,Orc1,Uqcrc1,,,
Mthfsl,Zfp800,Ctla4,Sh3d21,Poldip2,Cd300a,Msh4,Cela1,Prelid2,Opa1,,,,,,Tigd3,Zfp85os,Nr1d1,Smndc1,Nudt5,Sult2a2,Pstpip1,Cryzl2,Nf1,Hmgn3,Upf1,,,
Nrp2,Tifa,Miat,Kdelr3,Pfn1,Gbp2b,Olfr975,Sugp1,Ubash3b,Ces1e,,,,,,Sh3bgr,Olfr575,Mkrn1,Tstd3,Timm21,H4c8,Gar1,Rcan1,Por,Olfr975,Ncaph2,,,
Sema6d,Ptbp2,Zic5,2310015D24Rik,Man2a2,Epb41l1,Col9a3,Map3k3,Rsl1,Sec24a,,,,,,Tmem132b,Gnal,Dnlz,Gskip,Ube2e3,Cep250,Piwil2,Scai,Kdm2a,Frrs1l,Rcl1,,,
Bnip2,Camk1,Tenm2,Gm10825,Mbl1,Heyl,C330024D21Rik,Ptpn1,Mecom,Slc4a4,,,,,,Duox1,Chrnb2,Cuta,Klhl22,Snx10,Dnaaf5,Megf6,Fstl1,Xpr1,Ugt8a,Amacr,,,
Glod4,Timm22,ENSMUSG00000019803,Rab19,Shisa5,Sac3d1,Gpr135,Scamp2,Spire1,Map3k2,,,,,,ENSMUSG00000028575,Xrcc3,Mrpl54,Parp6,Sf3b3,B3galt6,Olig1,Prss23,Esr1,Vmn1r226,Abcg5,,,
Nfx1,Gng10,Trpc5,Atp1b2,Pglyrp2,Patz1,Mamld1,Tmsb10,H2-Ea,Kdelr2,,,,,,C030034L19Rik,6530402F18Rik,Smap2,Dhx29,Lyn,Cuedc2,Ptpn7,Rgs2,Strap,Vmn1r179,Pa2g4,,,
Slc39a8,Alg13,Slc23a3,Olfr984,Gldc,Gdf15,Ptger4,Zfp609,Zfp9,Pnrc2,,,,,,Gm5934,Pik3r5,Add1,Thumpd3,Spty2d1,Akr1b3,Atxn7l2,Mamdc2,Agl,Pcdhb19,Man2b1,,,
Zeb2,Pola1,Otog,Tmem52b,Ndufa1,Fry,Olfr552,Romo1,Zfp992,Ube2h,,,,,,Ces1a,Elovl7,Elof1,R3hcc1l,Vps36,Gipc1,Uckl1os,Marcks,Hsp90aa1,2410021H03Rik,Irf6,,,
Ankrd13c,Prkcd,2010109A12Rik,Lca5l,Eif3b,Ptgr1,Mfsd4b5,Ccdc71,B430306N03Rik,Arf4,,,,,,Prss42,Lrriq3,Pcnt,Mgme1,Ube2k,Zfp108,Zfp784,Zfp935,Hif1a,Vmn2r30,Preb,,,
Tppp,Zfp963,Hoxa7,Wdr38,Adar,Rab2b,Fam217b,Bop1,Cd48,Lyst,,,,,,ENSMUSG00000100001,St14,Fads3,Ifi30,Smim7,Klhl11,Mcoln2,Ltbp1,Mtpn,Vmn1r70,Slc2a9,,,
Zbtb8os,Smc4,Tac4,Olfr1263,Suox,Ptgfrn,Slc7a11,Bcat2,9330159M07Rik,Rad21,,,,,,Fez1,Ces2b,Elp3,Blzf1,Pitpna,Sestd1,Ache,Mbnl3,Parp14,Erich5,Zfp652,,,
Eif2ak2,Senp1,Elfn1,Olfr748,Gucd1,Peli3,Kntc1,Fbxw9,Neto2,Bnip3l,,,,,,ENSMUSG00000025318,Aspm,Stxbp2,Cd9,H2az1,A330049N07Rik,Ush1g,Tnik,Celf1,Vmn2r104,Park7,,,
Rictor,Rab11fip1,ENSMUSG00000063314,Olfr736,Srrt,Limk1,AU023762,Adarb1,Cd207,Prkacb,,,,,,Samd3,Lrrc8b,Maea,Gab1,Ndfip2,Thap7,Pkdrej,Airn,Atp6ap1,Ghrl,Inpp5b,,,
Dip2c,Tmem241,Kcnh1,Ctf2,Inppl1,Gm15545,Sh2d2a,Gfus,Sytl4,Cd2ap,,,,,,Tnni2,Vmn2r20,Zfp592,Agpat5,Usp14,Lsm11,Smpdl3b,Ifi204,Nfia,Armc2,Foxa3,,,
Zfp266,Myo19,Tbr1,St6galnac2,Zfp236,Aldh18a1,Vmn1r233,Pip4k2b,Tro,Zfp106,,,,,,ENSMUSG00000028298,Tmem38a,Abcf2,Gbp2,Rnf217,Zfp777,Slc52a3,Rpl3,Ndufa5,P4ha3,Rps14,,,
Tec,Pced1a,Gm17359,Gm14827,Gfer,Nfatc2ip,C030037D09Rik,Fam207a,C730002L08Rik,Cdh2,,,,,,Emx2os,Slc2a4,Trmt112,Adgrl4,Gtpbp10,Evi5l,Pcdhgb1,Nmrk1,Higd1a,Olfr713,Atp6v0d1,,,
Nmt2,Rnf138,Mab21l1,S100g,Ppa1,Lrrn3,Ttll13,Pcif1,Olfr1033,Dennd4a,,,,,,Sema7a,Tusc1,Tpm1,Tmcc3,Zmym2,Frg2f1,Tomt,Il10rb,Ptp4a1,Crisp2,Cd5l,,,
Sptlc1,Zdhhc13,Snord37,Scrn1,Hsbp1,Slc7a7,Rad51c,Aar2,Vmn1r76,Spin1,,,,,,Olfr934,Ccdc134,Dele1,Mtg1,Abi1,Lipt1,Zfp454,Nfam1,Chd1,Slc6a1,B4galnt1,,,
Trim2,Pdcl3,Dytn,Tspan6,Nfic,Gfra2,Septin3,Kat14,Dus4l,Sfxn1,,,,,,Gm5441,Slc26a6,Fktn,Nrde2,Dipk2a,Dmpk,Def6,Ociad2,Psme2,5031434O11Rik,Spata13,,,
Kdm3b,Plekhm3,Clca3a2,Chrnb4,Ndufb3,Eva1c,Cenpi,2310011J03Rik,Zfp128,Ugt2b35,,,,,,Ak1,8430429K09Rik,Dnajb1,Lrch1,Tvp23b,Ift122,Tspan5,Clec7a,Pdlim5,Ndufs5-ps,Ndufs6,,,
Kctd12,Itpripl2,Cacna1g,Chst14,Fcgrt,Dpep1,Dclk1,Psmb10,Zfp78,Stard7,,,,,,Ggt1,Tmtc1,Haus7,Tfpi,Klf13,Armc5,Gal3st1,Zfp27,Sod2,4930480K15Rik,Ddost,,,
Otud6b,Thap1,ENSMUSG00000048216,Fhdc1,Psmb1,Tnfsfm13,Cd2,Pip5k1c,H2aw,Slc35a3,,,,,,Sbsn,Col6a5,Galk2,Ints5,Armc1,Gdf10,Fcer2a,Eif3m,Cert1,Cemip,Adrm1,,,
Arl4a,Tmem263,ENSMUSG00000100759,Arhgef28,Pla2g12b,Gm3336,Kcnq5,Ranbp3,Zfp667,Lmbrd2,,,,,,Serpinb10,Gm15663,Unc45a,Rbmxl1,Mertk,Ppm1m,Unc13c,Zfp930,Srpr,Agbl4,Sdf4,,,
Sec24b,Rsbn1,Olfr837,Ovgp1,Ube2l3,Zbtb42,Cfap77,Adora1,Nsun6,Strbp,,,,,,ENSMUSG00000096938,Dph2,Plxnd1,Zxdc,Psme3,Mettl27,Pcdhb9,Sdhaf4,Iyd,Sh2d1a,Myo18a,,,
Rsl24d1,Dpt,Cfap157,1700003M07Rik,Trim28,Zfp458,Gm14204,Ctnnbl1,Asns,Tnpo1,,,,,,Mettl7a2,Svep1,Dnase2a,Slbp,Lin7a,Prkrip1,BC147527,Hus1,Ei24,Olfr1260,Wipi2,,,
Srbd1,Mphosph9,Gm4297,Olfr1123,Clint1,Csf3r,Mir124-2hg,Get4,Dnai1,Retreg1,,,,,,Snora2b,Zfp251,Pabpc4,S100a13,Krr1,Dbp,G6pc2,Gabra3,Tmx2,Olfr545,Eif4h,,,
Zbtb11,Carf,Serpina1f,5031425F14Rik,Vps33a,Tlr6,D130040H23Rik,Zbtb7a,Evc,Rab7,,,,,,ENSMUSG00000079633,Rflnb,Stk40,Brwd3,Crybg1,Ulk3,Rgs8,Clstn3,Ppp2ca,Vmn1r214,Sdr9c7,,,
Hsd17b7,Dph5,Gm973,Olfr484,Celsr1,Zfp593,Olfr338,Dapk2,A630089N07Rik,Sqor,,,,,,1700019A02Rik,Cyp2d12,Kif13a,Zfp444,Braf,Rnaseh2c,Erp27,Fbxo25,Mat2a,Sycp3,Atp5j2,,,
Ppid,Fundc1,Olfr518,C130050O18Rik,Mrps18a,Impa2,Mgat4c,Zfpm1,Gon7,Rtraf,,,,,,ENSMUSG00000066097,Il33,Edem2,Aven,Gabpb2,Vsig10,Gfap,Apex2,St13,2410003L11Rik,Gnb2,,,
Spcs1,Fam120c,4930579K19Rik,Mex3b,Slc46a1,Arhgap25,Pcdhb22,Mov10,Cxcl11,Gcsh,,,,,,Tspan1,Phc1,Nop16,Slc38a9,Smc5,Amdhd2,Zfp641,Rps18,Ubr2,Npas3,Sdhc,,,
Fitm2,Slc29a3,Mir1932,Kif5a,Gatb,Dhrs13,Lef1,Wdr24,Lin9,Lin7c,,,,,,ENSMUSG00000097557,Adrb1,Rhot2,Pag1,2810004N23Rik,Afap1l1,Gbgt1,Tmem35b,Hsdl2,Olfr898,Plekha6,,,
Smarcad1,Tada1,ENSMUSG00000053815,E130317F20Rik,Srp68,Gm38431,Gm3143,Prpf31,Rslcan18,Tmem33,,,,,,ENSMUSG00000038402,Snora64,Mmrn2,Mkks,Kdm1b,Dlg4,Ppp1r3a,Tspyl4,Gys2,4930512B01Rik,Kank2,,,
Cyb5r4,Zfp597,ENSMUSG00000031981,D630003M21Rik,Slc12a7,Kctd5,Il21r,Tom1,P2ry12,Paip2,,,,,,Olfr1324,Gm15880,Ltbp4,Zcchc7,Slc22a5,Tspyl2,Mpp4,Ablim3,Cpd,4930414N06Rik,Dag1,,,
Neo1,LTO1,Snord35a,Srpk3,Ppp1r37,Selplg,9530077C05Rik,Nkiras2,Vmn2r79,Uhrf1bp1l,,,,,,BC051142,Rasgrp1,Ndufa11,Tinf2,Clk4,Poli,Nfasc,Ttc5,Pls3,4833417C18Rik,Lbp,,,
Rapgef5,Stx3,Ptgir,Gdpd1,Cct3,Dmrta1,Mpo,Cops8,Itgb2l,Ugt1a9,,,,,,Wfikkn2,Glis3,Lmf1,Daxx,Snap23,Ddx51,Gm11696,Pttg1,Atl2,Mpo,Aqp1,,,
Sec61b,Tbc1d4,Mrgprb1,Vmn1r191,Macroh2a1,Arhgap10,Adgrl3,Sdf2l1,Tmem181a,Calm2,,,,,,Dctd,Ampd3,Nadsyn1,Acbd6,Msl2,Tmem160,Bhlha15,Zfp1,Klhl9,Olfr1389,Gorasp2,,,
Ddx52,Nkrf,Tnfrsf25,Prkag3,Urgcp,Ncmap,Yy2,Mid1ip1,Ccr9,Marchf5,,,,,,Ptgdr,Itga2,Irf1,Fbxl4,Cyth1,Setd4,Oas1c,Ccdc30,Dnm1l,Ubtfl1,Nrp1,,,
Ldah,Mettl21a,Atf7ip2,Klrc1,Tubb5,Akna,2010016I18Rik,Mgmt,Eml6,Rnf11,,,,,,Tmem169,A330035P11Rik,AU040320,Vps72,Orm2,Aaas,Pcolce2,Ly96,4833439L19Rik,Acer1,Ergic3,,,
Lss,Tex10,ENSMUSG00000095457,Prl7d1,Arfgap2,Zfp518b,Mis18bp1,Nelfe,Lilrb4b,Degs1,,,,,,9330179D12Rik,Lck,Tbc1d14,Pfkfb3,Wdr36,Plekhg6,Nkain4,0610043K17Rik,Bhlhe40,9330162B11Rik,Zwint,,,
Pnpt1,C2cd5,Ndp,Psd,Pnpla2,Tmem132a,Nsl1,Tapbpl,H2-DMb1,Aff4,,,,,,Olfr1137,Olfr600,Jpt2,Spring1,Sptlc2,Cygb,Espl1,Helq,Btf3,Gm19466,Mylk,,,
Nr2c2,Tmem161b,ENSMUSG00000073158,Il13ra2,Psmb8,1810044D09Rik,Clec4a2,Rgl3,Trp53rkb,Arhgap42,,,,,,Pcnx2,Phactr1,Ncbp1,3830406C13Rik,Baz2b,Poll,Il12rb1,AW011738,Pik3r1,Fam135b,Ndufa2,,,
Siae,Gla,Erich3,Ntng2,Kif13b,Ptk7,Kif15,Smagp,Gnai1,Pgm1,,,,,,Olfr1416,Tpx2,Safb,Rbmx,Emc4,Ercc2,Icos,Rab10os,Vps37a,Siglecf,Mtmr3,,,
Bri3,Hip1,Dlx6os1,Tmem178,Ephb4,Sptb,Klre1,Zfp629,Mettl25,Rab5a,,,,,,Kcnb2,Olfr1487,Specc1l,Pcid2,Mob3b,Spon2,Tnfrsf4,Fmo3,Syne2,Depdc1a,Prrc2b,,,
Zfp568,Arl3,Olfr732,Zbtb8b,Taok2,H2-T10,Lrrn4cl,Ciz1,Ints6l,Sh3glb1,,,,,,Fcer1a,Lrrc51,Cnksr3,Zfp12,Erlin1,Bin1,Pcdhga2,Itpripl1,Hnrnpl,Otud7a,Lrg1,,,
Zcrb1,E130307A14Rik,ENSMUSG00000065489,Galnt16,Ndst1,Prr3,Cd3g,Aifm2,A2ml1,Fbxo3,,,,,,Glod5,Ccdc158,Ercc6,Clp1,Gramd3,Clasrp,Mir1983,Rpph1,Megf9,Olfr918,Zfyve26,,,
Pet100,Gemin7,Vmn1r30,Spdya,Atp7b,Aard,Nuf2,Sun1,Lad1,Gspt1,,,,,,ENSMUSG00000037129,Cryab,Iffo2,Tiparp,Crbn,Adprh,Nfkbid,Ncapg2,Chd2,C130080G10Rik,Sash1,,,
Fchsd2,Zfp275,Catsper3,Scml4,Inhbe,Tmsb15b1,4930563E18Rik,Uqcc3,Gm11837,Clcn3,,,,,,0610039K10Rik,Gm19705,Pip4k2c,Ccn2,Uba2,Aif1,Nrm,Ift74,Apol7a,4930563E18Rik,Tnfrsf1a,,,
Zdhhc21,Zfp280c,Mpl,Dnah5,Hcfc1r1,Islr,Jazf1,Foxk1,Atn1,Prox1,,,,,,1700120E14Rik,Fblim1,Hnf1a,Zfp799,Onecut1,Ptp4a3,Rtl6,Lnpk,Mfsd4b1,Pou3f3,Atp9a,,,
Hyal1,Marveld2,Cdh20,Wt1os,Dynlrb1,Sdk2,Runx1t1,Mideas,1700007F19Rik,Zfp36l1,,,,,,Mok,Vmn2r23,Rnf19b,Brd9,Csnk2a2,Ggt6,Pgam2,Trpm2,Fam107b,Galnt17,Agxt,,,
Lactb,Plscr4,Usp43,Zfp811,Tmem254,Slc15a3,Glipr1,Pqbp1,Pclaf,Chuk,,,,,,Mep1b,Prr5,Mta1,Dtd2,Mbtd1,Serpinb1a,Pcdhgc4,Rps7,Srsf3,A730085K08Rik,Prkcsh,,,
Fem1b,Rbm43,4933429O19Rik,Sema3e,Kmt2d,Ehf,Olfr354,Bola2,Reep1,Mkln1,,,,,,Ptgs2,Olfr1381,Gbp10,Zfp35,Brcc3,Cep89,H3c11,A230072C01Rik,Asph,Olfr1348,Ndufb7,,,
Eif4e,Ocrl,Asic3,Nkapl,Ptpa,Mvb12b,Olfr981,Dazap1,Gpr17,Hnrnpc,,,,,,Olfr889,Mlph,Stim1,Slc43a2,Hnrnpm,Sh3bgrl3,Cyp4f39,Hectd2,Stt3a,Hsh2d,Bag6,,,
Pon2,Jag1,Olfr958,Gpr151,Tprgl,Leng9,Cd3e,Pdgfra,Ciita,Adh4,,,,,,Cavin4,Ttc30a1,Angptl2,Tesk2,Fbxo9,Rarg,C1qtnf9,Cldn3,Dusp6,Olfr239,Gna11,,,
Fus,Papss1,Slc45a2,Smc1b,2810459M11Rik,Ammecr1,Gins3,Commd9,H4c14,Arfgef1,,,,,,Trem1,Cd180,Ap1ar,Atp2b4,Prps1,Tmem80,Dhh,Slc25a40,Agmo,Zfp185,Slc22a18,,,
Arhgef5,Snrpb2,Mcpt8,Tamalin,Dcxr,Oas3,Apol7e,Mad2l2,H2ac4,Pdxdc1,,,,,,A930012L18Rik,Pdk3,Them7,Dhx57,Cpeb2,Plekho2,H2ac7,4930430F08Rik,Naca,Glra4,Bst2,,,
Tubgcp4,Impdh1,Gabrg1,Cass4,Psma7,Arl4c,Srd5a2,Slc38a7,Capn8,Psd3,,,,,,Slc10a6,Impdh1,Mrps16,Nrf1,Btf3l4,Gstcd,4930554C24Rik,Ifit3,Hsph1,Shisa3,Ahsa1,,,
Ank,Pithd1,Tepp,Zfp980,Supt6,Slc2a3,Clspn,Erf,Trim12a,Zfp652,,,,,,Nme9,Cep41,Tnxb,Pigu,Smad5,Lockd,Lrrc27,Slc10a2,Prpf40a,Cyp11a1,Flna,,,
Pdcd10,Gpatch11,B020004C17Rik,A730036I17Rik,Timm23,Armcx5,Rgs20,Zfp746,Ear2,Clmn,,,,,,Rbm11,Capn6,Gnptab,Hsf1,Yipf4,Irf5,Pcdh18,1700025G04Rik,Slc35e2,Wt1,Ykt6,,,
Depdc7,AW146154,ENSMUSG00000025467,Nrxn2,Gstt1,Hdc,Cacnb4,Stx2,Npas2,Vapa,,,,,,Steap1,Olfr1286,Nsf,Fut8,Zc3h15,Cpm,Nckap5,Wee1,Enpp2,Mir505,Urod,,,
Aqr,Rp2,Insl3,Brsk2,Ost4,Trmt44,Cxcr2,Prmt7,Slc18a1,Adgrl2,,,,,,Vmn2r78,Fcrla,Tob2,Nes,Tcea3,Rprl3,Gm14057,Rplp0,Ebpl,A930003O13Rik,Grb7,,,
Ubr7,1700001C19Rik,Cyp19a1,Camk4,Zzef1,Gar1,Fanci,Ftsj1,Bcl2a1b,Kat2b,,,,,,Mir677,Akr1b8,Sparcl1,Phka1,Ptch1,Sipa1,Ppfia4,Ofd1,Mrfap1,Ppef2,Gstm6,,,
Mllt10,Iqcb1,Dnah6,G730013B05Rik,Slc36a1,Megf6,P2ry10,Bnip1,Btbd10,Hbs1l,,,,,,4930449E18Rik,Ppfia2,Lsm14b,Mmab,Mtrex,Car1,Kazn,Cyp3a44,Ywhab,Zcchc18,Abcg8,,,
Shroom2,Rpia,Snord72,AW046200,Pnpla7,Pmepa1,Cep112,Rbms2,Fanca,Pex7,,,,,,ENSMUSG00000021062,Tdp1,Abtb1,Elk3,Arhgap12,Tmco6,Tulp1,Oasl2,Setd3,Tmem91,Fam168b,,,
Mafb,Zfp595,Olig3,Epcam,Mrps21,Zfp784,Scn8a,AI661453,Cox7a1,Nopchap1,,,,,,4933413L06Rik,Tlr2,Ppp4r1,Zdhhc18,Eif1ax,Bbs4,Olfml2b,Lyrm4,Colec10,Olfr1420,Ido2,,,
Napg,Tmem47,Col4a6,Rnf113a1,Ltbr,Zbed3,A830082N09Rik,Sh3bp5l,Zbtb7c,Tasor,,,,,,ENSMUSG00000028750,Tpcn2,Ctbp1,Mfsd8,Igsf5,Syt1,Recql4,Mx2,Eif4a2,Gm5577,Tmem127,,,
Dcun1d4,Kbtbd4,L1td1,Olfr1258,Stoml2,Gmip,Milr1,C1qa,Fam161a,Smg1,,,,,,Cntd1,Kcnq3,Gpat3,Slc44a3,Nudcd2,Rcn3,Snord47,Unc13b,Atp5md,9230105E05Rik,Acacb,,,
Pxk,Mapre2,Gm10556,Fbxo17,Entr1,Cdr2,Slc9a7,Gripap1,2200002D01Rik,F8,,,,,,Cox8b,Olfr77,Pih1d1,Abca9,Eif3j2,H2aj,Spock2,Gpr137b,Cab39l,Gm2762,Scarb1,,,
Macir,Tpcn2,Pramel4,Pik3ip1,Selenoo,Lfng,Olfr1321,Vwce,1810064F22Rik,Zfand5,,,,,,Pax3,Hid1,Eif2ak3,Gsdme,Msr1,Mier2,Lrrc49,Acot3,Mrpl50,Paqr6,Ddt,,,
Ryk,Ano6,Fsd1,Calb1,Slc37a4,Ajuba,Vmn1r84,Polr2j,Zfp54,Usp24,,,,,,Olfr101,Snhg4,Dcaf12,Ppcdc,Acvr2a,Vps33b,Pcdhga10,Mcm4,Psmd12,Faim2,Ndufa13,,,
Pex2,Ppp1r16b,Kcnip1,Olfr328,Nsfl1c,Rab3a,Olfr381,Cables2,Gm12191,Vdac2,,,,,,Slc6a15,Vmn1r26,Fzd7,Bicral,Cdc42bpa,Tbc1d7,BC049715,Gbp6,Gabpa,Onecut3,Gcat,,,
Pno1,Mettl17,Efhb,Gpr162,Cdk5rap3,Pdgfa,Abca4,Zbtb40,A830052D11Rik,Zc3hav1,,,,,,Plb1,Map3k19,Mb21d2,Trp53bp1,Srsf11,Nudt22,Cyp21a1,2410004B18Rik,Eno1,Gm19710,,,,
Pitpnb,Rabepk,Esr2,Olfr1305,Uqcrq,Gpm6b,4930579G24Rik,Wdr74,F630028O10Rik,Slc16a1,,,,,,Tbx1,Ttll1,Magi1,Tbc1d8,Pdcd5,Pin1,Pacsin1,Cyp3a13,Rnf128,Btbd18,,,,
Hjv,1110019D14Rik,Clec5a,Dgkg,Jup,Sytl1,A230072E10Rik,Polr1c,Bmper,Mon2,,,,,,ENSMUSG00000059343,Acyp2,Rcc2,Mrpl57,Exoc3,Lrp3,Tspyl3,Kctd12b,Kidins220,Rwdd2a,,,,
Plekha8,Otud1,ENSMUSG00000049456,Tbata,Pdzk1,4931428L18Rik,Slc25a27,Prkcz,Zfp456,Arpc5,,,,,,Olfr372,Ric3,Dlg3,Baz1a,Chmp2b,Tmem184a,Olfr1425,Mars2,Acadsb,Nap1l5,,,,
Dnajc5,Fbn1,Klra1,Psg25,Gpt,Nudt6,Kif22,S100a16,Ugt2b38,Zhx3,,,,,,Olfr69,Rad51,Slu7,Ints10,Zfp24,Psmg3,Cd6,Tbc1d19,Clcn4,Pcdhb21,,,,
Tent5a,Rnf144a,B3gnt4,Sfrp4,Snrnp200,Vmn1r236,Gpr174,Zfyve19,Tnfrsf22,Dennd4c,,,,,,Olfr1448,Olfr1312,Apba3,Bpgm,Ndufaf4,Sugp2,Pou2f2,B3galt2,Mtss1,Hey2,,,,
Epc1,Ttc27,Baiap3,Ica1l,Mvp,Relb,Gm2762,Pml,Eps8l1,Psmc6,,,,,,Slc22a13b,Havcr2,Kansl3,Ankrd44,Sarnp,Txnrd3,Cttnbp2,Ddit4,Sgpp1,Ccl28,,,,
