FLT14_all,FLT14_and_GC8,FLT14_not_GC8,GC8_all,GC8_not_FLT14
,,,Stambp,Slc9a9
,,,1110038B12Rik,Gas2l3
,,,Lama2,1110002L01Rik
,,,Slfn2,Mxd1
,,,Il1rn,Zfp74
,,,Znhit6,Akap17b
,,,Nudt16,Dffa
,,,Rbm48,Bbs7
,,,2310057M21Rik,St8sia4
,,,Mest,Eif2s3y
,,,Ift80,Hpse
,,,Scfd2,Psg16
,,,Trmt12,Cep128
,,,Fam47e,Slc8a1
,,,Pfdn4,Zfp994
,,,Cyp2d9,Snora78
,,,Rpl13a,Arhgef2
,,,Zfp433,Ccdc66
,,,Ssbp2,Zfp85
,,,Zfp954,Mnd1
,,,Cdkl2,Ppp1r9a
,,,Rilpl2,Primpol
,,,H2-Q6,Hace1
,,,Sh3pxd2b,Meis1
,,,Ldb2,Kctd6
,,,Nfil3,Slc38a1
,,,Elovl3,Mndal
,,,Scarna6,Adgre4
,,,Zfp607a,Spc25
,,,Gja1,Ccdc84
,,,Shld1,Zfp973
,,,Serpina3c,Dmac2l
,,,Sacs,Simc1
,,,Fam135a,Lair1
,,,Dimt1,Orc2
,,,Gm6710,Sell
,,,Ifit3b,Olfr1385
,,,Tspan3,Dnajc9
,,,Tiam2,Vmn2r114
,,,Stxbp4,Tmem65
,,,Myl12a,Marchf1
,,,Cdk2,Terf1
,,,Naf1,1810014B01Rik
,,,Pde4d,Tyw5
,,,C6,Sclt1
,,,Gorab,Arhgap6
,,,Zrsr2,Med31
,,,Tti2,2410002F23Rik
,,,Ranbp3l,Senp8
,,,Sla,Uqcc2
,,,Msmo1,Ncam2
,,,Cep135,Fundc2
,,,Tmem185b,Ap1s2
,,,Olfr539,Casp2
,,,Grk4,Fosl2
,,,Stmn1,Pparg
,,,Mup2,Taf4b
,,,Phf7,Usp49
,,,Mir99ahg,Acot9
,,,Rnf24,Pigh
,,,Trappc2,Rab31
,,,Fabp5,Napb
,,,Kitl,Cd300ld
,,,Pms1,Cyp4b1
,,,Mthfr,Dck
,,,Tipin,Cd300a
,,,Gmnn,Vmn1r218
,,,Ccdc77,Lsm5
,,,Ggh,Mrps6
,,,Dubr,Adh6-ps1
,,,Lmbr1,Fry
,,,Gucy1a2,Nlrp12
,,,Mllt3,Timm9
,,,Ccr2,Wdr76
,,,Tymp,Asb3
,,,Gng2,Zfp97
,,,Slc9a9,Ifi213
,,,Ccnf,Lrrn3
,,,Ifi27l2a,Cep19
,,,Gas2l3,Polg2
,,,1110002L01Rik,Neurl3
,,,Mxd1,Jpx
,,,Zfp74,Rad1
,,,Akap17b,Eva1c
,,,Sult2a7,1600020E01Rik
,,,Dffa,Haus3
,,,Bbs7,Zfp458
,,,Cyp2c69,Golm2
,,,St8sia4,Plgrkt
,,,Eif2s3y,Cd84
,,,Hpse,Zmym6
,,,Psg16,Zbtb10
,,,Cep128,Arhgap10
,,,Slc8a1,Ptprc
,,,Zfp994,Zfp661
,,,Snora78,Mbip
,,,Arhgef2,Msantd2
,,,Ccdc66,Exosc8
,,,Zfp85,Chml
,,,Mnd1,Cxcl16
,,,Ppp1r9a,Ammecr1
,,,Primpol,Mipol1
,,,Hace1,Zfp788
,,,Meis1,Armcx5
,,,Kctd6,Saa3
,,,Slc38a1,Hdc
,,,Mndal,Nbea
,,,Cyp2b9,Zswim9
,,,Adgre4,Olfr1336
,,,Spc25,Adgre1
,,,Ccdc84,Polk
,,,Mup18,Btnl9
,,,Zfp973,Gcnt4
,,,Dmac2l,Enah
,,,Simc1,Ajuba
,,,Lair1,Zfp119a
,,,Orc2,Mcm6
,,,Sell,Epb41l3
,,,Trim34a,Foxq1
,,,Olfr1385,Traf5
,,,Dnajc9,Acot11
,,,Vmn2r114,Snhg6
,,,Tmem65,Per2
,,,Marchf1,Pip4k2a
,,,Terf1,Zmat1
,,,1810014B01Rik,Snapc3
,,,Tyw5,Vmn1r88
,,,Sclt1,Fancc
,,,Arhgap6,Taf1b
,,,Med31,Oxct1
,,,2410002F23Rik,Zfp605
,,,Senp8,Gcfc2
,,,Uqcc2,Fancm
,,,Ncam2,Ctla2a
,,,Fundc2,Ccdc15
,,,Ap1s2,Btg3
,,,Casp2,Zfp964
,,,Fosl2,H1f2
,,,Pparg,Tpd52l1
,,,Taf4b,Rragd
,,,Usp49,Phf11c
,,,Slc17a8,Spidr
,,,Acot9,Pcgf6
,,,Pigh,Gm2026
,,,Nox4,Ms4a4d
,,,Rab31,Tlr7
,,,Xist,Aste1
,,,Napb,Ccdc138
,,,Cd300ld,Rcn2
,,,Cyp4b1,Trmt13
,,,Dck,Olfr1459
,,,Cd300a,Ing3
,,,Vmn1r218,Gm15408
,,,Lsm5,Mrpl48
,,,Mrps6,Eml1
,,,Adh6-ps1,H2-T22
,,,Fry,Pde1a
,,,Nlrp12,Fgl2
,,,Timm9,Saal1
,,,Wdr76,Tcp11l1
,,,Asb3,Cryzl2
,,,Zfp97,Rcan1
,,,Sult3a1,Scai
,,,Ifi213,Fstl1
,,,Lrrn3,Prss23
,,,Cep19,Rgs2
,,,Polg2,Mamdc2
,,,Neurl3,Marcks
,,,Jpx,Zfp935
,,,Rad1,Ltbp1
,,,Eva1c,Mbnl3
,,,1600020E01Rik,Tnik
,,,Haus3,Airn
,,,Cyp2c39,Nmrk1
,,,Zfp458,Il10rb
,,,Golm2,Nfam1
,,,Cyp2c23,Ociad2
,,,Plgrkt,Clec7a
,,,Cd84,Zfp27
,,,Zmym6,Eif3m
,,,Zbtb10,Zfp930
,,,Arhgap10,Sdhaf4
,,,Ptprc,Hus1
,,,Pim3,Gabra3
,,,Zfp661,Clstn3
,,,Mbip,Fbxo25
,,,Nhsl1,Apex2
,,,Msantd2,Tmem35b
,,,Exosc8,Tspyl4
,,,Chml,Ttc5
,,,Cxcl16,Pttg1
,,,Ammecr1,Zfp1
,,,Mipol1,Ccdc30
