gene	gene_cluster
ENSMUSG00000037369	8
ENSMUSG00000040601	1
ENSMUSG00000020863	8
ENSMUSG00000079495	4
ENSMUSG00000026853	6
ENSMUSG00000092094	9
ENSMUSG00000022427	8
ENSMUSG00000020848	1
ENSMUSG00000002205	11
ENSMUSG00000001909	11
ENSMUSG00000042446	8
ENSMUSG00000031966	9
ENSMUSG00000085084	9
ENSMUSG00000026864	7
ENSMUSG00000073421	7
ENSMUSG00000069971	10
ENSMUSG00000047342	9
ENSMUSG00000035443	1
ENSMUSG00000021532	4
ENSMUSG00000031173	12
ENSMUSG00000110991	2
ENSMUSG00000092738	2
ENSMUSG00000105428	2
ENSMUSG00000031710	7
ENSMUSG00000042275	4
ENSMUSG00000093839	3
ENSMUSG00000113593	10
ENSMUSG00000042810	11
ENSMUSG00000070332	10
ENSMUSG00000112896	2
ENSMUSG00000040065	10
ENSMUSG00000039244	1
ENSMUSG00000026124	2
ENSMUSG00000069045	5
ENSMUSG00000027107	3
ENSMUSG00000026047	4
ENSMUSG00000031659	14
ENSMUSG00000099907	3
ENSMUSG00000079492	4
ENSMUSG00000025375	5
ENSMUSG00000090619	1
ENSMUSG00000052760	14
ENSMUSG00000022485	3
ENSMUSG00000022297	0
ENSMUSG00000050549	4
ENSMUSG00000031303	4
ENSMUSG00000117524	2
ENSMUSG00000115230	10
ENSMUSG00000036885	0
ENSMUSG00000079614	8
ENSMUSG00000046717	10
ENSMUSG00000032387	0
ENSMUSG00000045519	4
ENSMUSG00000105621	2
ENSMUSG00000024145	4
ENSMUSG00000021756	6
ENSMUSG00000061518	6
ENSMUSG00000056553	5
ENSMUSG00000018593	7
ENSMUSG00000073914	10
ENSMUSG00000034566	7
ENSMUSG00000030194	2
ENSMUSG00000099630	2
ENSMUSG00000020799	1
ENSMUSG00000024409	1
ENSMUSG00000002617	4
ENSMUSG00000020386	6
ENSMUSG00000048294	3
ENSMUSG00000075265	3
ENSMUSG00000080727	9
ENSMUSG00000033669	1
ENSMUSG00000108504	10
ENSMUSG00000023118	6
ENSMUSG00000012483	13
ENSMUSG00000029311	0
ENSMUSG00000001014	3
ENSMUSG00000036872	1
ENSMUSG00000021113	13
ENSMUSG00000030165	4
ENSMUSG00000021576	6
ENSMUSG00000029439	11
ENSMUSG00000037321	14
ENSMUSG00000096663	2
ENSMUSG00000010358	1
ENSMUSG00000044345	0
ENSMUSG00000078566	6
ENSMUSG00000031952	3
ENSMUSG00000020694	8
ENSMUSG00000111611	4
ENSMUSG00000029059	0
ENSMUSG00000105557	2
ENSMUSG00000054046	3
ENSMUSG00000015711	13
ENSMUSG00000077625	2
ENSMUSG00000044213	2
ENSMUSG00000059146	5
