gene_cluster	tissue_inferred	n_paired_strata	mean_log2_flight_ground_ratio	median_log2_flight_ground_ratio	mean_flight_minus_ground	positive_strata	negative_strata	wilcoxon_p_value	sign_test_p_value	wilcoxon_fdr_bh	sign_test_fdr_bh
2	thymus	4	0.20106822776142508	0.035744010703638196	0.44809117913246155	2	2	0.875	1.0	1.0	1.0
3	adrenal_gland	3	0.01138012483716011	-0.03439703211188316	-0.042397815734148026	1	2	1.0	1.0	1.0	1.0
3	brain	3	-0.030503101646900177	-0.07294075936079025	-0.5995559692382812	1	2	0.75	1.0	1.0	1.0
3	cecum	1	0.7921790480613708	0.7921790480613708	13.993608474731445	1	0				
3	cerebellum	3	0.06175043806433678	0.06888256222009659	1.518148422241211	3	0	0.25	0.25	0.9375	1.0
3	colon	2	-0.05375736812129617	-0.05375736812129617	-2.3534603118896484	0	2				
3	eye	2	0.007362019270658493	0.007362019270658493	-0.5613822937011719	1	1				
3	heart	2	0.3961553331464529	0.3961553331464529	8.383610725402832	1	1				
3	hippocampus	2	0.29214369133114815	0.29214369133114815	8.456072807312012	2	0				
3	kidney	5	-0.037045655481051654	0.0005364860990084708	-2.49250864982605	3	2	1.0	1.0	1.0	1.0
3	liver	10	-0.08266390380449593	-0.138201255351305	-0.5621034502983093	3	7	0.193359375	0.34375	0.9375	1.0
3	lung	3	-0.010942637920379639	-0.027103014290332794	-1.251146912574768	1	2	0.75	1.0	1.0	1.0
3	mammary_gland	1	0.15240631997585297	0.15240631997585297	5.032093048095703	1	0				
3	retina	1	0.07895798236131668	0.07895798236131668	5.264900207519531	1	0				
3	skeletal_muscle	10	0.04609144674614072	0.06211745925247669	1.4637295007705688	7	3	0.16015625	0.34375	0.9375	1.0
3	skin	6	-0.01465525416036447	-0.021099068224430084	-0.6959724426269531	2	4	0.6875	0.6875	1.0	1.0
3	spleen	5	-0.0012968398630619049	-0.04273151233792305	1.1317964792251587	2	3	1.0	1.0	1.0	1.0
3	thymus	4	-0.18033226672559977	0.062455980107188225	3.0987651348114014	3	1	0.875	0.625	1.0	1.0
4	adrenal_gland	3	0.029866778602202732	-0.03766551986336708	4.612701416015625	1	2	1.0	1.0	1.0	1.0
4	brain	3	-0.16770010689894357	-0.09518615901470184	-39.74403762817383	1	2	0.75	1.0	1.0	1.0
4	cecum	1	1.0174044370651245	1.0174044370651245	81.5578384399414	1	0				
4	cerebellum	3	0.10375472158193588	0.09612510353326797	18.818185806274414	2	1	0.5	1.0	1.0	1.0
4	colon	2	0.016424305737018585	0.016424305737018585	3.0576019287109375	1	1				
4	eye	2	-0.0010411851108074188	-0.0010411851108074188	-10.199600219726562	1	1				
4	heart	2	0.3820561673492193	0.3820561673492193	87.57099914550781	1	1				
4	hippocampus	2	0.3840682953596115	0.3840682953596115	89.51521301269531	2	0				
4	kidney	5	0.06891193240880966	0.047675106674432755	17.899242401123047	5	0	0.0625	0.0625	0.7436899038461539	1.0
4	liver	10	-0.08891957770101726	-0.05020676553249359	-12.715131759643555	1	9	0.037109375	0.021484375	0.7436899038461539	0.8056640625
4	lung	3	-0.04302576215316852	-0.04374314472079277	-15.344075202941895	1	2	0.5	1.0	1.0	1.0
4	mammary_gland	1	0.37798574566841125	0.37798574566841125	90.53631591796875	1	0				
4	retina	1	-0.07736941426992416	-0.07736941426992416	-37.6534423828125	0	1				
4	skeletal_muscle	10	-0.0289855744689703	-0.02934389468282461	-7.632203102111816	3	7	0.375	0.34375	1.0	1.0
4	skin	6	-0.03891571797430515	-0.06936865486204624	-11.3358154296875	2	4	0.5625	0.6875	1.0	1.0
4	spleen	5	-0.01047009862959385	-0.0398535281419754	2.587531328201294	2	3	0.8125	1.0	1.0	1.0
4	thymus	4	-0.464800882153213	-0.21455361507833004	-23.828516006469727	1	3	0.375	0.625	1.0	1.0
5	adrenal_gland	3	0.020592459787925083	-0.05499257519841194	19.5888671875	1	2	1.0	1.0	1.0	1.0
5	brain	3	-0.0603485902150472	-0.06635895371437073	-304.4075622558594	1	2	0.75	1.0	1.0	1.0
5	cecum	1	1.071748971939087	1.071748971939087	227.18157958984375	1	0				
5	cerebellum	3	0.13412830233573914	0.0658184289932251	442.7755432128906	2	1	0.5	1.0	1.0	1.0
5	colon	2	0.08859578147530556	0.08859578147530556	63.24560546875	1	1				
5	eye	2	-0.0526086688041687	-0.0526086688041687	-114.044921875	1	1				
5	heart	2	0.39255838468670845	0.39255838468670845	394.21905517578125	1	1				
5	hippocampus	2	0.4777664616703987	0.4777664616703987	2670.247314453125	2	0				
5	kidney	5	0.07153244316577911	0.04932145029306412	80.38651275634766	4	1	0.3125	0.375	1.0	1.0
5	liver	10	-0.20164224579930307	-0.1419314593076706	-52.8538703918457	3	7	0.16015625	0.34375	0.9375	1.0
5	lung	3	-0.05599245995593568	-0.07943543046712875	-78.07381439208984	0	3	0.25	0.25	0.9375	1.0
5	mammary_gland	1	0.43069130182266235	0.43069130182266235	384.4197998046875	1	0				
5	retina	1	-0.06994850188493729	-0.06994850188493729	-323.2744140625	0	1				
5	skeletal_muscle	10	-0.021442184038460255	-0.026450336910784245	-40.83981704711914	4	6	0.625	0.75390625	1.0	1.0
5	skin	6	0.012358956038951874	0.05258994922041893	9.156707763671875	4	2	0.5625	0.6875	1.0	1.0
5	spleen	5	0.014414966478943825	-0.026154818013310432	13.075540542602539	2	3	0.8125	1.0	1.0	1.0
5	thymus	4	-0.3681161032291129	-0.1345932784024626	2.2652931213378906	2	2	0.875	1.0	1.0	1.0
6	adrenal_gland	3	0.014609039450685183	-0.02974741719663143	10.9716796875	1	2	1.0	1.0	1.0	1.0
6	brain	3	-0.14743625124295553	-0.09947735071182251	-531.9528198242188	1	2	0.75	1.0	1.0	1.0
6	cecum	1	1.1004359722137451	1.1004359722137451	1100.77392578125	1	0				
6	cerebellum	3	0.11473995633423328	0.04294899106025696	232.049560546875	2	1	0.5	1.0	1.0	1.0
6	colon	2	0.07458442263305187	0.07458442263305187	198.000244140625	1	1				
6	eye	2	-0.003782430663704872	-0.003782430663704872	-73.466552734375	1	1				
6	heart	2	0.3851181734353304	0.3851181734353304	1859.238037109375	1	1				
6	hippocampus	2	0.44646651297807693	0.44646651297807693	1483.725341796875	2	0				
6	kidney	5	0.07824864238500595	0.04525156691670418	402.33740234375	4	1	0.125	0.375	0.9375	1.0
6	liver	10	-0.1310860000550747	-0.11914980411529541	-286.6052551269531	2	8	0.064453125	0.109375	0.7436899038461539	1.0
