location	cluster	n_genes	variable	n_groups	eta_squared	p_value	fdr_bh	strong_batch_driver
FLT	14	7	sex	2	0.8153395916286307	2.1033677606770935e-34	3.3653884170833496e-33	True
FLT	14	7	strain	5	0.8909768549847394	1.6137250940097238e-40	2.581960150415558e-39	True
FLT	14	7	sequencing_instrument	3	0.050274879952720036	0.10334957787242631	0.1377994371632351	False
FLT	15	1	h5_accession	8	0.2508120464756522	0.0008695590716444637	0.0009937817961651013	True
FLT	15	1	mission	8	0.2508120464756522	0.0008695590716444637	0.0009937817961651013	True
FLT	15	1	library_selection	3	0.06555629641194584	0.05062187762344087	0.05785357442678957	False
FLT	15	1	library_layout	2	0.023108606989485917	0.15030351541513567	0.17177544618872648	False
FLT	15	1	sex	2	0.0007664153031285532	0.7944860841478697	0.9323305311830624	False
FLT	15	1	strain	5	0.17769197774284956	0.0019188293885168007	0.006140254043253762	False
FLT	15	1	sequencing_instrument	3	0.13443131908421727	0.001742880014756836	0.027886080236109376	False
GC	0	7552	h5_accession	8	0.5740413315553256	1.4262012478003947e-11	2.67412733962574e-11	True
GC	0	7552	mission	8	0.5740413315553256	1.4262012478003947e-11	2.67412733962574e-11	True
GC	0	7552	library_selection	3	0.39214639832967896	2.8844318087798872e-09	1.4422159043899436e-08	True
GC	0	7552	library_layout	2	0.0382144641938349	0.0784007874252752	0.5547818377161423	False
GC	0	7552	sex	2	0.028045416642405358	0.1326211447144487	0.3315528617861217	False
GC	0	7552	strain	5	0.11817702531676227	0.0437988605712405	0.0597257189607825	False
GC	0	7552	sequencing_instrument	3	0.03868648841922127	0.23690498403058613	0.5352700362371756	False
GC	1	4448	h5_accession	8	0.6477722812442608	1.6809381213477027e-14	6.303517955053885e-14	True
GC	1	4448	mission	8	0.6477722812442608	1.6809381213477027e-14	6.303517955053885e-14	True
GC	1	4448	library_selection	3	0.2642685239741597	5.437681772763248e-06	1.631304531828974e-05	True
GC	1	4448	library_layout	2	0.004379576746719211	0.5547088379189722	0.6933860473987151	False
GC	1	4448	sex	2	0.000683633930895446	0.815628852393907	0.815628852393907	False
GC	1	4448	strain	5	0.1616836849111374	0.008128904115968134	0.013548173526613557	False
GC	1	4448	sequencing_instrument	3	0.035795324833754645	0.26434859218555795	0.5352700362371756	False
GC	2	2759	h5_accession	8	0.5843624187151183	6.004752263998489e-12	1.2867326279996762e-11	True
GC	2	2759	mission	8	0.5843624187151183	6.004752263998489e-12	1.2867326279996762e-11	True
GC	2	2759	library_selection	3	0.17260651690838247	0.0005618595762877834	0.0009364326271463058	False
GC	2	2759	library_layout	2	0.006924995333579297	0.457312182581102	0.6933860473987151	False
GC	2	2759	sex	2	0.008457782514886429	0.41122036581903587	0.4405932490918242	False
GC	2	2759	strain	5	0.1701109925074266	0.00575672664263231	0.010793862454935582	False
GC	2	2759	sequencing_instrument	3	0.05636745398846302	0.12031125695832302	0.5352700362371756	False
GC	3	1958	h5_accession	8	0.6523208930299176	1.0567619020603847e-14	5.2838095103019234e-14	True
GC	3	1958	mission	8	0.6523208930299176	1.0567619020603847e-14	5.2838095103019234e-14	True
GC	3	1958	library_selection	3	0.19712322112404254	0.00017125033971655078	0.0003669650136783231	False
GC	3	1958	library_layout	2	0.015065415363876983	0.2719573534750517	0.6933860473987151	False
GC	3	1958	sex	2	0.018124196163471024	0.2278658422873583	0.34205433424966214	False
GC	3	1958	strain	5	0.20089684369219604	0.0015539929290010806	0.0033299848478594582	False
GC	3	1958	sequencing_instrument	3	0.03898268351780927	0.23425522347782748	0.5352700362371756	False
GC	4	1818	h5_accession	8	0.6440706525537209	2.441037445433394e-14	6.885804821328523e-14	True
GC	4	1818	mission	8	0.6440706525537209	2.441037445433394e-14	6.885804821328523e-14	True
GC	4	1818	library_selection	3	0.1866234679013586	0.00028610120882654707	0.0005364397665497758	False
GC	4	1818	library_layout	2	0.010207438603299946	0.36644570632766416	0.6933860473987151	False
GC	4	1818	sex	2	0.01810660146839044	0.2280937784681319	0.34205433424966214	False
GC	4	1818	strain	5	0.20661234981951243	0.001208465584165384	0.0030211639604134596	False
GC	4	1818	sequencing_instrument	3	0.04193678771042584	0.20935676663231143	0.5352700362371756	False
GC	5	1043	h5_accession	8	0.5632882096518368	3.4294356671796324e-11	5.7157261119660544e-11	True
GC	5	1043	mission	8	0.5632882096518368	3.4294356671796324e-11	5.7157261119660544e-11	True
GC	5	1043	library_selection	3	0.13075128585172038	0.003946301369987252	0.005919452054980878	False
GC	5	1043	library_layout	2	0.015428339754245523	0.2662147551128352	0.6933860473987151	False
GC	5	1043	sex	2	0.04176177170209501	0.06553242344490987	0.1965972703347296	False
GC	5	1043	strain	5	0.1459096617669208	0.015261317900673189	0.02289197685100978	False
GC	5	1043	sequencing_instrument	3	0.041422913021819927	0.21349469971941562	0.5352700362371756	False
GC	6	875	h5_accession	8	0.531795174628529	3.9327892366414646e-10	5.899183854962198e-10	True
GC	6	875	mission	8	0.531795174628529	3.9327892366414646e-10	5.899183854962198e-10	True
GC	6	875	library_selection	3	0.3733924671083558	9.579142981664486e-09	3.5921786181241824e-08	True
GC	6	875	library_layout	2	0.06418716559954386	0.021642480648523605	0.3246372097278541	False
GC	6	875	sex	2	0.011287175767730641	0.3421239438508597	0.4276549298135746	False
GC	6	875	strain	5	0.2171560843999183	0.000754734019961509	0.002264202059884527	False
GC	6	875	sequencing_instrument	3	0.06990306550268909	0.07100350277608151	0.5352700362371756	False
GC	7	265	h5_accession	8	0.2577718158664504	0.0018625787421064001	0.002328223427633	True
GC	7	265	mission	8	0.2577718158664504	0.0018625787421064001	0.002328223427633	True
GC	7	265	library_selection	3	0.05590415661744939	0.10307073644689478	0.11892777282334013	False
GC	7	265	library_layout	2	0.006792950888661509	0.4616485075342505	0.6933860473987151	False
GC	7	265	sex	2	0.09886072401747513	0.004016802582543854	0.02008401291271927	False
GC	7	265	strain	5	0.10210088039184499	0.07801628880272868	0.09752036100341084	False
