gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000024403	Atp6v1g2	8	-0.006212685273104789	0.06562459877459406	-0.09467006868025181	0.9245768929036848	0.9594270886608114	2	6	33.74702638787937	79.25743169325837	1.9207123852378868e-05	False	mixed
ENSMUSG00000018796	Acsl1	8	-0.006758579033314825	0.07146149397642593	-0.09457651466878622	0.9246512047810324	0.9594270886608114	3	5	26.977536367046604	74.05248609524409	0.00033639689203854306	False	mixed
ENSMUSG00000044499	Hs3st5	3	0.012864811157852561	0.13605787602855077	0.09455396139767001	0.9246691194069794	0.9594270886608114	2	1	1.593588785538345	0.0	0.4507716473961837	False	mixed
ENSMUSG00000045281	Gpr20	6	0.010387217042636333	0.10987787773476697	0.09453419793663947	0.9246848180485774	0.9594270886608114	4	2	10.54753903924866	52.5955772110025	0.061126765049410954	False	mixed
ENSMUSG00000058618	Defa39	4	-0.0024045238021797913	0.02544195210455398	-0.09451019294032055	0.9247038858936678	0.9594270886608114	3	1	5.65773449009705	46.97524238277679	0.12950289910252868	False	mixed
ENSMUSG00000027485	Bpifb1	8	-0.010369857645717412	0.10973563895309327	-0.09449853980574195	0.924713142322473	0.9594270886608114	4	4	10.099336041959237	30.688512879288016	0.18301373222399311	False	mixed
ENSMUSG00000061607	Mdc1	8	0.006632048567836813	0.07020338704885605	0.09446906832602574	0.9247365524343174	0.9594270886608114	4	4	23.86789997783459	70.67190659211454	0.0012018849279142757	False	mixed
ENSMUSG00000055401	Fbxo6	8	-0.00636524564850106	0.06750544571880418	-0.09429232828141998	0.9248769439087635	0.9594270886608114	3	5	17.632520416211893	60.300627279784806	0.013742715499513829	False	mixed
ENSMUSG00000107214	4930500F04Rik	2	0.0035398230088495805	0.03762883473534388	0.09407208683836037	0.9250518935055838	0.9594270886608114	1	1	1.9911504424778772	49.77777777777781	0.15822064245181863	False	mixed
ENSMUSG00000067543	Prb1	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000092109	Gm9376	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000094269	Olfr951	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000073950	Olfr599	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000094182	Olfr937	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000042888	Prr30	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000095322	Olfr957	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000045824	Olfr574	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000103844	4933436E23Rik	2	0.003539823008849571	0.03762883473534388	0.0940720868383601	0.925051893505584	0.9594270886608114	1	1	1.9911504424778772	49.77777777777781	0.15822064245181863	False	mixed
ENSMUSG00000049528	Olfr429	2	0.0035398230088495714	0.03762883473534388	0.09407208683836012	0.925051893505584	0.9594270886608114	1	1	1.991150442477877	49.7777777777778	0.15822064245181863	False	mixed
ENSMUSG00000049530	Clrn2	2	0.003539823008849557	0.03762883473534389	0.09407208683835971	0.9250518935055844	0.9594270886608114	1	1	1.9911504424778765	49.777777777777786	0.1582206424518187	False	mixed
ENSMUSG00000049643	2310022A10Rik	8	-0.006797708864418698	0.07231641848867325	-0.0939995232961296	0.9251095354153589	0.9594365262678648	5	3	12.043483073364275	41.877279543146386	0.09913794131570264	False	mixed
ENSMUSG00000035239	Neu3	8	-0.006246435091850913	0.06649161602493209	-0.09394319863588084	0.9251542780030675	0.9594365262678648	4	4	23.63578373073939	70.38388876906085	0.0013199899163258834	False	mixed
ENSMUSG00000047562	Mmp10	2	0.009435181594933414	0.10068910813663211	0.09370607972939987	0.9253426406059619	0.9595527671178904	1	1	1.2161044332428586	17.770220002125594	0.27012651557569645	False	mixed
ENSMUSG00000065460	Mir133a-2	2	-0.005784815002383373	0.06174773360486953	-0.09368465309837984	0.9253596617072237	0.9595527671178904	1	1	2.5360478783535383	60.568567788664005	0.11127299323339258	False	mixed
ENSMUSG00000003226	Ranbp2	8	-0.004974366529728906	0.05328427797017631	-0.09335523946694188	0.9256213488954059	0.9597757408397267	4	4	32.28792896513622	78.32007123294143	3.5915414014902545e-05	False	mixed
ENSMUSG00000092519	Actl9	8	0.01278860480675947	0.13716785076448157	0.09323325207389609	0.92571825809392	0.959817603568164	3	4	5.498239155635795	0.0	0.5993962704346363	False	mixed
ENSMUSG00000049098	Olfr147	8	-0.009233932657446197	0.09909040854764095	-0.09318694707981431	0.9257550439860173	0.959817603568164	4	4	5.830902716844057	0.0	0.5596271058288221	False	mixed
ENSMUSG00000035200	Chrnb4	8	0.012111360674679977	0.1303367035480632	0.0929236381232687	0.9259642264873759	0.9599860964087155	3	5	14.908363191627192	53.04648867200038	0.037192159763668554	False	mixed
ENSMUSG00000028332	Hemgn	8	-0.012620016424420104	0.13600626390452922	-0.09278996468338278	0.9260704236364585	0.9600478083964294	2	6	6.566260896379997	0.0	0.4753911567649569	False	mixed
ENSMUSG00000038677	Scube3	8	0.010814925521216415	0.11674323634934416	0.09263856185084397	0.9261907075300796	0.9600602271369734	3	5	11.226823471887307	37.649326922005564	0.1290265565117892	False	mixed
ENSMUSG00000005968	Tuft1	8	0.007455637849408583	0.08050675242292936	0.09260885112147588	0.9262143117925901	0.9600602271369734	2	6	21.701597407309208	67.74430992972728	0.0028593327805587526	False	mixed
ENSMUSG00000005893	Nr2c2	8	-0.005001067699417905	0.05401211953522109	-0.09259158393435624	0.9262280300725818	0.9600602271369734	4	4	22.514621684378437	68.90909339659531	0.0020699018985389423	False	mixed
ENSMUSG00000038013	Wipf2	8	0.006809051521475048	0.07357963174022568	0.09253989671373372	0.9262690942032267	0.9600602271369734	4	4	19.643689279754803	64.36514597482284	0.006392978017326186	False	mixed
ENSMUSG00000110206	Flt3l	8	-0.005854893299824101	0.06339619031057282	-0.09235402428981065	0.9264167665536621	0.9601649059308123	3	5	11.095028438715985	36.908679065899705	0.13452730483873646	False	mixed
