gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000006276	0	0	2	11
ENSMUSG00000038199	1	0	5	0
ENSMUSG00000060187	1	0	5	0
ENSMUSG00000047502	4	0	6	1
ENSMUSG00000059689	19	0	1	4
ENSMUSG00000036737	16	0	8	7
ENSMUSG00000033379	13	0	22	3
ENSMUSG00000040749	2	0	18	8
ENSMUSG00000096714	9	0	4	2
ENSMUSG00000112223	1	0	5	0
ENSMUSG00000039936	11	0	15	6
ENSMUSG00000062433	1	0	5	0
ENSMUSG00000060450	17	0	13	3
ENSMUSG00000091204	1	0	5	0
ENSMUSG00000075113	9	0	4	2
ENSMUSG00000027530	9	0	6	2
ENSMUSG00000041135	19	0	7	4
ENSMUSG00000018340	3	0	10	9
ENSMUSG00000017299	8	0	15	12
ENSMUSG00000057230	16	0	8	7
ENSMUSG00000056901	1	0	5	0
ENSMUSG00000041079	19	0	7	4
ENSMUSG00000030127	16	0	22	3
ENSMUSG00000055971	1	0	5	0
ENSMUSG00000066149	0	0	8	11
ENSMUSG00000032563	0	0	17	11
ENSMUSG00000027244	0	0	2	11
ENSMUSG00000028523	1	0	5	0
ENSMUSG00000038762	13	0	22	3
ENSMUSG00000077972	1	0	5	0
ENSMUSG00000027784	0	0	2	11
ENSMUSG00000026792	10	0	1	5
ENSMUSG00000059201	4	0	21	1
ENSMUSG00000022724	19	0	17	4
ENSMUSG00000078716	2	0	24	8
ENSMUSG00000054901	4	0	21	1
ENSMUSG00000045648	4	0	12	1
ENSMUSG00000020524	4	0	14	1
ENSMUSG00000017774	13	0	22	3
ENSMUSG00000091863	1	0	5	0
ENSMUSG00000065422	1	0	5	0
ENSMUSG00000077457	4	0	14	1
ENSMUSG00000059031	7	0	6	2
ENSMUSG00000032192	7	0	18	2
ENSMUSG00000031410	4	0	21	1
ENSMUSG00000002910	14	0	7	4
ENSMUSG00000023947	11	0	0	6
ENSMUSG00000031125	4	0	21	1
ENSMUSG00000039477	18	0	2	5
ENSMUSG00000022707	3	0	10	9
ENSMUSG00000047594	4	0	21	1
ENSMUSG00000052364	2	0	24	8
ENSMUSG00000034730	4	0	12	1
ENSMUSG00000031753	13	0	22	3
ENSMUSG00000036169	1	0	5	0
ENSMUSG00000029865	1	0	5	0
ENSMUSG00000022706	0	0	2	11
ENSMUSG00000006575	11	0	15	6
ENSMUSG00000025236	19	0	17	4
ENSMUSG00000061981	18	0	2	5
ENSMUSG00000065401	1	0	5	0
ENSMUSG00000005089	3	0	11	9
ENSMUSG00000000889	1	0	12	0
ENSMUSG00000069917	17	0	22	3
ENSMUSG00000042345	2	0	24	8
ENSMUSG00000035642	10	0	2	5
ENSMUSG00000021294	5	0	0	6
ENSMUSG00000026333	19	0	17	4
ENSMUSG00000091468	9	0	4	2
ENSMUSG00000024558	2	0	18	8
ENSMUSG00000039725	8	0	15	12
ENSMUSG00000085886	4	0	21	1
ENSMUSG00000112707	2	0	18	8
ENSMUSG00000038517	11	0	15	6
ENSMUSG00000039555	1	0	5	0
ENSMUSG00000037962	4	0	6	1
ENSMUSG00000050973	8	0	15	12
ENSMUSG00000001420	5	0	0	6
ENSMUSG00000018470	9	0	18	2
ENSMUSG00000050217	1	0	5	0
ENSMUSG00000029716	3	0	11	9
ENSMUSG00000078453	19	0	7	4
ENSMUSG00000028538	13	0	22	3
ENSMUSG00000026766	16	0	8	7
ENSMUSG00000012520	1	0	5	0
ENSMUSG00000101655	5	0	0	6
ENSMUSG00000001155	3	0	10	9
ENSMUSG00000023092	19	0	7	4
ENSMUSG00000030607	1	0	5	0
ENSMUSG00000025949	17	0	13	3
ENSMUSG00000024182	18	0	2	5
ENSMUSG00000042750	4	0	14	1
ENSMUSG00000033033	5	0	0	6
ENSMUSG00000047669	2	0	18	8
ENSMUSG00000031168	3	0	10	9
ENSMUSG00000111564	4	0	21	1
ENSMUSG00000096009	1	0	5	0
ENSMUSG00000045438	10	0	2	5
ENSMUSG00000030002	16	0	8	7
ENSMUSG00000032594	13	0	22	3
ENSMUSG00000033214	1	0	5	0
ENSMUSG00000075269	1	0	5	0
ENSMUSG00000097756	1	0	5	0
ENSMUSG00000041642	11	0	15	6
ENSMUSG00000112880	2	0	0	8
ENSMUSG00000056832	2	0	18	8
ENSMUSG00000031616	19	0	7	4
ENSMUSG00000090291	9	0	4	2
ENSMUSG00000027233	4	0	14	1
ENSMUSG00000106053	15	0	0	13
ENSMUSG00000029408	5	0	0	6
ENSMUSG00000037331	17	0	13	3
ENSMUSG00000043687	15	0	0	13
ENSMUSG00000033902	8	0	1	12
ENSMUSG00000041248	4	0	21	1
ENSMUSG00000115236	1	0	5	0
ENSMUSG00000046062	17	0	13	3
ENSMUSG00000054619	3	0	11	9
ENSMUSG00000024563	16	0	8	7
ENSMUSG00000021362	4	0	21	1
ENSMUSG00000054679	4	0	6	1
ENSMUSG00000045678	6	0	23	10
ENSMUSG00000061601	6	0	23	10
ENSMUSG00000086628	15	0	17	13
ENSMUSG00000027962	0	0	17	11
ENSMUSG00000022132	4	0	14	1
ENSMUSG00000103906	11	0	0	6
ENSMUSG00000071424	4	0	21	1
ENSMUSG00000015968	14	0	23	10
ENSMUSG00000078625	4	0	14	1
ENSMUSG00000050198	4	0	14	1
ENSMUSG00000075220	1	0	5	0
ENSMUSG00000000171	3	0	11	9
ENSMUSG00000030785	7	0	3	2
ENSMUSG00000049823	5	0	0	6
ENSMUSG00000026134	14	0	7	4
ENSMUSG00000075095	1	0	5	0
ENSMUSG00000015247	17	0	13	3
ENSMUSG00000009614	12	0	10	9
ENSMUSG00000020402	3	0	10	9
ENSMUSG00000026220	1	0	5	0
ENSMUSG00000002014	13	0	22	3
ENSMUSG00000061979	8	0	1	12
ENSMUSG00000035235	6	0	23	10
ENSMUSG00000027801	17	0	22	3
ENSMUSG00000001323	17	0	13	3
ENSMUSG00000084174	4	0	16	1
ENSMUSG00000085794	9	0	6	2
ENSMUSG00000024780	17	0	13	3
ENSMUSG00000030107	19	0	17	4
ENSMUSG00000046351	0	0	17	11
ENSMUSG00000002984	10	0	2	5
ENSMUSG00000034659	10	0	1	5
ENSMUSG00000077092	1	0	5	0
ENSMUSG00000050215	1	0	5	0
ENSMUSG00000092673	4	0	21	1
ENSMUSG00000029772	0	0	17	11
ENSMUSG00000030619	0	0	17	11
ENSMUSG00000045854	19	0	17	4
ENSMUSG00000040022	19	0	17	4
