_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,1,0,0,0,0,0,-7.1,0,0,0,GO:0006412,translation,M001000,1,0
0,1,0,0,0,0,0,-2.5,0,0,0,0,GO:0008064,regulation of actin polymerization or depolymerization,M010000,1,0
0,1,0,0,0,0,0,-2.4,0,0,0,0,GO:0030832,regulation of actin filament length,M010000,1,0
0,0,0,1,0,0,0,0,0,-2.1,0,0,GO:0051924,regulation of calcium ion transport,M000100,1,0
0,0,0,0,0,1,0,0,0,0,0,-2.1,GO:0048706,embryonic skeletal system development,M000001,1,0
0,0,1,0,0,0,0,0,-11,0,0,0,GO:0002181,cytoplasmic translation,M001000,1,0
0,0,1,0,0,0,0,0,-3.2,0,0,0,GO:0006111,regulation of gluconeogenesis,M001000,1,0
0,0,1,0,0,0,0,0,-2.7,0,0,0,GO:0036196,zymosterol metabolic process,M001000,1,0
0,0,0,1,0,0,0,0,0,-2.1,0,0,GO:0061333,renal tubule morphogenesis,M000100,1,0
0,0,1,0,0,0,0,0,-3.2,0,0,0,GO:0007589,body fluid secretion,M001000,1,0
0,0,0,1,0,0,0,0,0,-2.3,0,0,GO:0016202,regulation of striated muscle tissue development,M000100,1,0
0,0,1,0,0,0,0,0,-11,0,0,0,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,M001000,1,0
0,0,1,0,0,0,0,0,-6.1,0,0,0,GO:0002933,lipid hydroxylation,M001000,1,0
