id.accession	study_title	project_identifier	n_local_profiles	n_official_sample_matches	official_match_fraction	official_material_types	official_tissues	final_tissues	material_field_present	official_sample_count	official_study_url	official_api_url
OSD-163	Rodent Research-3-CASIS: Mouse kidney transcriptomic, proteomic, and epigenomic data	RR-3	18	18	1.0	Left kidney (18)	kidney (18)	kidney (18)	True	19	https://osdr.nasa.gov/bio/repo/data/studies/OSD-163	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-163
OSD-164	Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice	RR-1	10	10	1.0	Liver (4); Spleen (6)	liver (4); spleen (6)	liver (4); spleen (6)	True	12	https://osdr.nasa.gov/bio/repo/data/studies/OSD-164	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-164
OSD-168	RR-1 and RR-3 mouse liver transcriptomics with and without ERCC control RNA spike-ins	RR-1, RR-3	52	52	1.0	Liver (52)	liver (52)	liver (52)	True	52	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
OSD-173	STS-135: Mouse Liver Transcriptomics using RNA-Seq	BSP135	6	6	1.0	Liver (6)	liver (6)	liver (6)	True	6	https://osdr.nasa.gov/bio/repo/data/studies/OSD-173	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-173
OSD-194	Rodent Research-3-CASIS: Mouse retina transcriptomic data	RR-3	13	13	1.0	Left retina (9); Right retina (4)	retina (13)	retina (13)	True	13	https://osdr.nasa.gov/bio/repo/data/studies/OSD-194	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-194
OSD-201	Impact of Antiorthostatic Suspension on Mouse response to Tetanus Toxoid and CpG	Hindlimb_Unloading	41	41	1.0	Spleen (41)	spleen (41)	spleen (41)	True	32	https://osdr.nasa.gov/bio/repo/data/studies/OSD-201	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-201
OSD-202	Low dose (0.04 Gy) irradiation (LDR) and hindlimb unloading (HLU) microgravity in mice: brain transcriptomic and epigenomic data	Hindlimb_Unloading, Gamma_Irradiation, Low_LET_Irradiation, Low_Dose_Irradiation	40	40	1.0	brain (40)	brain (40)	brain (40)	True	84	https://osdr.nasa.gov/bio/repo/data/studies/OSD-202	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-202
OSD-203	Low dose (0.04 Gy) irradiation (LDR) and hindlimb unloading (HLU) microgravity in mice: retina transcriptomic and epigenomic data	Hindlimb_Unloading, Gamma_Irradiation, Low_Dose_Irradiation, Low_LET_Irradiation	59	59	1.0	Retina (59)	retina (59)	retina (59)	True	59	https://osdr.nasa.gov/bio/repo/data/studies/OSD-203	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-203
OSD-211	Transcriptomic analysis of spleens from mice subjected to chronic low-dose radiation, hindlimb unloading or a combination of both	Hindlimb_Unloading, Gamma_Irradiation, Low_LET_Irradiation, Low_Dose_Irradiation	21	21	1.0	Spleen (21)	spleen (21)	spleen (21)	True	21	https://osdr.nasa.gov/bio/repo/data/studies/OSD-211	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-211
OSD-214	Impact of Antiorthostatic Suspension on Mouse response to Tetanus Toxoid and CpG: bone marrow transcriptomic data	Hindlimb_Unloading	24	24	1.0	Bone Marrow (24)	bone_marrow (24)	bone_marrow (24)	True	24	https://osdr.nasa.gov/bio/repo/data/studies/OSD-214	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-214
