condition	collection	age	sample	muscle_mean_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_score_robust_z_within_stratum	severe_muscle_composition_outlier
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI1	1.2390915715119988	0	0.00019018777980378096	16.910471995037263	8	-0.4197970522686406	False
GC	ISS-T	OLD	RR8_LVR_GC_ISS-T_OLD_GI12	1.2364429814306046	0	0.00018484509618607256	17.357247362501496	8	-0.31313711360429153	False
FLT	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL1	1.206744440825338	0	9.172263002120342e-05	16.961524653448773	8	-0.7580169517770746	False
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL17	1.202740324057041	0	9.825911416475826e-05	17.134896872586125	8	-0.44640411658116613	False
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL16	1.2009754686018697	0	0.0001266060991092896	16.782285839203396	8	-0.3922383643406698	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI20	1.1991294293097035	0	0.00018667839626554004	17.538247156660074	8	-0.6315542522801633	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL7	1.1864294947372236	0	0.00016867924260546697	16.70518990775723	8	-0.13375034323636145	False
GC	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL15	1.1855446688059843	0	0.0002497339707581661	17.667166672607213	8	-0.67448975	False
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL4	1.1757928040920367	0	0.00023125728424099813	17.007071596819745	8	-0.5001402602916942	False
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI4	1.1725709038360193	0	0.00020052378694411483	17.206578081237215	8	-0.5544525129506006	False
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI5	1.171194257114147	0	0.00020162707743040883	17.58537782092271	8	-0.5569614329681704	False
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI8	1.1534050923470034	0	0.00020795153106370232	17.32579086734208	8	-0.5893819449782755	False
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI7	1.1067063614315418	0	0.00027176089170468433	17.33506404605052	8	-0.67448975	False
VIV	LAR	OLD	RR8_LVR_VIV_LAR_OLD_VL8	1.0944117557223643	0	0.00015339000489301426	17.262084163097605	8	-0.8488392397083057	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL5	1.0794003428495083	0	0.00010277134250301805	16.90421182742956	8	-0.29635063836265746	False
GC	LAR	OLD	RR8_LVR_GC_LAR_OLD_GL8	1.0772734612177093	0	0.00017919184802818856	17.122763334420213	8	-0.7408776628070931	False
FLT	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL7	1.0695996702050325	0	0.00022035446069631657	16.72033747632056	8	-0.6695472675592635	False
FLT	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL3	1.054202684505301	0	0.00010970029255406948	16.760523108036992	8	-0.67448975	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI3	1.0362863915391847	0	0.00017761543456163906	17.255448733160843	8	-0.5849111186814888	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI14	1.0307068586865042	0	0.00024327210417144927	17.3432943775205	8	-0.7174252477198368	False
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL9	1.0075749333331097	0	0.0001405788662837855	16.954554252603234	8	-0.6602775567230925	False
