tissue	atlas_tissue	compartment	atlas_cells	rank	gene_id	atlas_log2cpm	specificity_log2_fold
liver	liver	hepatocyte	1162	2	ENSMUSG00000025889	7.623738765716553	7.16438627243042
liver	liver	hepatocyte	1162	3	ENSMUSG00000025396	9.010781288146973	7.136909008026123
liver	liver	hepatocyte	1162	4	ENSMUSG00000019232	8.686380386352539	6.641670227050781
liver	liver	hepatocyte	1162	5	ENSMUSG00000073940	7.989912509918213	6.340884208679199
liver	liver	hepatocyte	1162	6	ENSMUSG00000069919	7.116957664489746	5.969146728515625
liver	liver	hepatocyte	1162	7	ENSMUSG00000006574	5.984339237213135	5.895705699920654
liver	liver	hepatocyte	1162	8	ENSMUSG00000052305	10.739666938781738	5.748564720153809
liver	liver	hepatocyte	1162	9	ENSMUSG00000061718	5.527467727661133	5.496298313140869
liver	liver	hepatocyte	1162	10	ENSMUSG00000040471	6.077396869659424	5.410880088806152
liver	liver	hepatocyte	1162	11	ENSMUSG00000028328	5.428047180175781	5.351889610290527
liver	liver	hepatocyte	1162	12	ENSMUSG00000030972	7.849472522735596	5.2653303146362305
liver	liver	hepatocyte	1162	13	ENSMUSG00000040127	7.508298873901367	5.228028297424316
liver	liver	hepatocyte	1162	14	ENSMUSG00000044749	7.007561206817627	5.112603187561035
liver	liver	hepatocyte	1162	15	ENSMUSG00000040505	6.106561183929443	5.064440727233887
liver	liver	hepatocyte	1162	16	ENSMUSG00000026691	6.777759075164795	5.049704551696777
liver	liver	hepatocyte	1162	17	ENSMUSG00000059434	8.401352882385254	5.03775691986084
liver	liver	hepatocyte	1162	18	ENSMUSG00000019312	8.434996604919434	4.949393272399902
liver	liver	hepatocyte	1162	19	ENSMUSG00000034528	10.445773124694824	4.935155391693115
liver	liver	hepatocyte	1162	20	ENSMUSG00000024827	8.632882118225098	4.92413330078125
liver	liver	hepatocyte	1162	21	ENSMUSG00000028527	6.1462721824646	4.871493816375732
liver	liver	hepatocyte	1162	22	ENSMUSG00000038092	8.784114837646484	4.8273773193359375
liver	liver	hepatocyte	1162	23	ENSMUSG00000049382	10.432231903076172	4.824193477630615
liver	liver	hepatocyte	1162	24	ENSMUSG00000000567	5.686629295349121	4.72418212890625
liver	liver	hepatocyte	1162	25	ENSMUSG00000027762	6.213221073150635	4.7231125831604
liver	liver	hepatocyte	1162	26	ENSMUSG00000027875	13.042186737060547	4.704720497131348
liver	liver	hepatocyte	1162	27	ENSMUSG00000028167	7.1839375495910645	4.644074440002441
