tissue	accession	display_label	context_group	contrast_order	site	gravity	collection_context	term	short_label	pathway_order	n_flight	n_ground_control	flight_minus_ground
skin	OSD-254	RR-7 C3H/HeJ 25 days	Recovery, endpoint, duration, and strain	8	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	5	5	-0.01213865640000003
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-6805567_KERATINIZATION	Keratinization	0	5	5	-3.123569934
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-73894_DNA_REPAIR	DNA repair	1	5	5	-0.5342089085999999
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	5	5	-0.526015156
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	5	5	-1.66789167
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	5	5	-0.8630390577399999
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	5	5	-0.4930819259999999
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	5	5	-0.6537236194
skin	OSD-254	RR-7 C3H/HeJ 75 days	Recovery, endpoint, duration, and strain	9	dorsal skin	microgravity exposure	ISS terminal after 75 days	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	5	5	-0.46783699319999994
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-6805567_KERATINIZATION	Keratinization	0	5	5	-1.8621728059999998
skin	OSD-254	RR-7 C57BL/6J 25 days	Recovery, endpoint, duration, and strain	10	dorsal skin	microgravity exposure	ISS terminal after 25 days	R-MMU-73894_DNA_REPAIR	DNA repair	1	5	5	-0.19317046800000004
