tissue	method	accession	term	effect	project
thymus	expimap	OSD-244	R-MMU-72689_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	0.19845486010526336	RR-6
thymus	expimap	OSD-244	R-MMU-72706_GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT	-0.02167954878947369	RR-6
thymus	expimap	OSD-244	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	-0.017633947368421055	RR-6
thymus	expimap	OSD-244	R-MMU-73884_BASE_EXCISION_REPAIR	0.0033184082263157874	RR-6
thymus	expimap	OSD-244	R-MMU-73886_CHROMOSOME_MAINTENANCE	-0.13446527021052637	RR-6
thymus	expimap	OSD-244	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	0.03421898323684211	RR-6
thymus	expimap	OSD-244	R-MMU-73894_DNA_REPAIR	-0.9329600186842104	RR-6
thymus	expimap	OSD-244	R-MMU-73927_DEPURINATION	-0.014829962100526315	RR-6
thymus	expimap	OSD-244	R-MMU-73929_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	-0.0013803623000000036	RR-6
thymus	expimap	OSD-244	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	-0.2125695736842106	RR-6
thymus	expimap	OSD-244	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.5859600863157892	RR-6
thymus	expimap	OSD-244	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	-0.323525714736842	RR-6
thymus	expimap	OSD-244	R-MMU-774815_NUCLEOSOME_ASSEMBLY	0.008281278265657896	RR-6
thymus	expimap	OSD-244	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	-0.4532248962631579	RR-6
thymus	expimap	OSD-244	R-MMU-8856825_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.008506216705263157	RR-6
thymus	expimap	OSD-244	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.10528465526315789	RR-6
thymus	expimap	OSD-244	R-MMU-8878171_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	0.23989057052631568	RR-6
thymus	expimap	OSD-244	R-MMU-8936459_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	0.003975147031578946	RR-6
thymus	expimap	OSD-244	R-MMU-8939211_ESR_MEDIATED_SIGNALING	-0.37184471378947365	RR-6
thymus	expimap	OSD-244	R-MMU-8951664_NEDDYLATION	-0.4041156928947368	RR-6
