tissue	term	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	absolute_attenuation_fraction	short_label	evidence_role	family_representative	curated_pathway
thymus	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.09236868052867384	0.05679674142030574	True	0.6148917695395079	0.38510823046049214			False	False
thymus	R-MMU-2168880_SCAVENGING_OF_HEME_FROM_PLASMA	0.5955331346953404	0.026738223967491686	True	0.044897961859284755	0.9551020381407153			False	False
thymus	R-MMU-2172127_DAP12_INTERACTIONS	0.1147863447670251	0.13926183559375546	True	1.2132265024764644	-0.21322650247646435			False	False
thymus	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.11746548580286736	0.02112233595391617	True	0.17981738048028886	0.8201826195197112			False	False
thymus	R-MMU-2173789_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	-0.005823436830752687	-0.002376547986576267	True	0.4081005865859277	0.5918994134140723			False	False
thymus	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	0.021757847118279574	-0.014027207967697432	False	0.6446965038150606	0.3553034961849394			False	False
thymus	R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	-0.43005473379928316	-0.02575019111389703	True	0.059876543821315686	0.9401234561786843			False	False
thymus	R-MMU-2299718_CONDENSATION_OF_PROPHASE_CHROMOSOMES	0.005552073994265231	0.014262584956607963	True	2.568875157524894	-1.5688751575248938			False	False
thymus	R-MMU-2454202_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	-0.10357267403225806	-0.0284855135546072	True	0.27502923740035223	0.7249707625996478			False	False
thymus	R-MMU-2467813_SEPARATION_OF_SISTER_CHROMATIDS	0.012663211592598568	0.00461683798698067	True	0.36458665743839686	0.6354133425616031			False	False
thymus	R-MMU-2500257_RESOLUTION_OF_SISTER_CHROMATID_COHESION	0.014210530816344085	-0.0013120419638556955	False	0.09232884969692089	0.9076711503030791			False	False
thymus	R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	-0.12381326879928316	-0.09360283118850429	True	0.7559999998081484	0.24400000019185164			False	False
thymus	R-MMU-2559583_CELLULAR_SENESCENCE	0.07907835103942652	0.028810892777916146	True	0.36433350467249553	0.6356664953275044			False	False
thymus	R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	-1.0224627657616487	-0.8204710342776342	True	0.8024458804291541	0.1975541195708459			False	False
thymus	R-MMU-2565942_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	-0.00545246456344086	-0.004066485318296215	True	0.745806831201118	0.254193168798882			False	False
thymus	R-MMU-2672351_STIMULI_SENSING_CHANNELS	0.18927610693548383	0.09060366142019889	True	0.47868514883963575	0.5213148511603642			False	False
thymus	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	0.2940890540143369	0.14325158535637247	True	0.4871027445631789	0.5128972554368211			False	False
thymus	R-MMU-2990846_SUMOYLATION	0.0035222309225268803	-0.038016489320232896	False	10.793298382878179	-9.793298382878179			False	False
thymus	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.2102034636200717	0.12897024812101185	True	0.6135495861957665	0.3864504138042335			False	False
thymus	R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	0.007712738274480287	0.013658854949516425	True	1.770947549809968	-0.770947549809968			False	False
thymus	R-MMU-3214842_HDMS_DEMETHYLATE_HISTONES	0.00019884178254480275	0.0013361934033592035	True	6.7198824425049315	-5.7198824425049315			False	False
thymus	R-MMU-3214847_HATS_ACETYLATE_HISTONES	-0.004769841919354837	-0.003408882711033517	True	0.7146741482565943	0.28532585174340575			False	False
