model	term	observed_direction	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_fdr	same_direction_as_pathway
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000043091	Tuba1c	0.3775845036230754	0.022719299039405103	0.13270256520200743	0.6295365179548765	False
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000030137	Tuba8	0.5192427547697127	0.025326090945140805	0.4066585015325794	0.11796295480180356	False
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000028270	Gbp2	-0.3732137590892979	0.033546486280828104	-0.39147040455234755	0.15134019365295465	True
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000026202	Tuba4a	0.3548393955938858	0.0397524426244841	0.09865361205745667	0.7270560897108289	False
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	ENSMUSG00000020009	Ifngr1	-0.17274848869675186	0.04631617527186865	-0.1603782731814729	0.10205129431576236	True
liver_hvg	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	FLT_down	ENSMUSG00000072115	Ang	-0.27232003191884857	0.025326090945140805	-0.21135477708257863	0.3009259525514778	True
liver_hvg	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	FLT_down	ENSMUSG00000038642	Ctss	-0.2914017105970572	0.035972138997241374	-0.37361204703281414	0.1535524900347801	True
liver_hvg	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	FLT_down	ENSMUSG00000006641	Slc5a6	-0.4444833542855955	0.0012316765999045118	-0.22707546286599675	0.33563159020013866	True
liver_hvg	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	FLT_down	ENSMUSG00000032725	Folr2	-0.36526714670669946	0.01984831608009766	-0.38561987867336817	0.235992374994244	True
liver_hvg	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	FLT_down	ENSMUSG00000027340	Slc23a2	-0.2849882184730781	0.029610430733256185	-0.22181809249651288	0.33926631984168776	True
liver_hvg	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	FLT_down	ENSMUSG00000029009	Mthfr	0.454197649938445	0.04533486839431575	0.21508147425637417	0.3674265251698993	False
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000058672	Tubb2a	0.9165747730022442	6.293171401278508e-05	0.4309008158176673	0.31321343181354155	False
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000036752	Tubb4b	0.4413108294768442	0.007272126203562575	0.24761602898084675	0.38418138986117456	False
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000043091	Tuba1c	0.3775845036230754	0.022719299039405103	0.13270256520200743	0.6295365179548765	False
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000015340	Cybb	-0.3520342198140014	0.023492044557981272	-0.37269652981226625	0.18309321944587612	True
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000015950	Ncf1	-0.262304331507178	0.023492044557981272	-0.2689952272759683	0.21040980121058556	True
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000030137	Tuba8	0.5192427547697127	0.025326090945140805	0.4066585015325794	0.11796295480180356	False
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000026202	Tuba4a	0.3548393955938858	0.0397524426244841	0.09865361205745667	0.7270560897108289	False
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	ENSMUSG00000022488	Nckap1l	-0.27968800278197037	0.043349331562771806	-0.31093640302143283	0.2201369108669028	True
liver_hvg	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	ENSMUSG00000028715	Cyp4a14	1.1014265639090741	0.0012316765999045118	1.4278724916478467	0.24550600271691023	False
liver_hvg	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	ENSMUSG00000035686	Thrsp	-0.649916957222306	0.03755801391354824	-0.7580747038242802	0.26512292660041636	True
liver_hvg	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	ENSMUSG00000024900	Cpt1a	-0.28716436612227625	0.038585851817367206	-0.1232921361946943	0.6976744756774139	True
liver_hvg	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	ENSMUSG00000018900	Slc22a5	-0.3341168462313471	0.04282351565589374	0.057014446011003285	0.9105361060370271	True
liver_hvg	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	ENSMUSG00000066072		0.48678552651413654	0.043945974373731676	0.8396695079114705	0.26512292660041636	False
liver_hvg	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	FLT_down	ENSMUSG00000010064	Slc38a3	-0.39483352273876093	0.01336146027361761	-0.26966682725476704	0.18576438944963505	True
liver_hvg	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	FLT_down	ENSMUSG00000027075	Slc43a1	-0.2213528942481613	0.017669499755280833	-0.2178764036307089	0.21016561544643644	True
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000058672	Tubb2a	0.9165747730022442	6.293171401278508e-05	0.4309008158176673	0.31321343181354155	False
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000036752	Tubb4b	0.4413108294768442	0.007272126203562575	0.24761602898084675	0.38418138986117456	False
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000021215	Net1	0.2686291477564433	0.017669499755280833	0.07768317233908502	0.605947942610674	False
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000043091	Tuba1c	0.3775845036230754	0.022719299039405103	0.13270256520200743	0.6295365179548765	False
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000015340	Cybb	-0.3520342198140014	0.023492044557981272	-0.37269652981226625	0.18309321944587612	True
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000015950	Ncf1	-0.262304331507178	0.023492044557981272	-0.2689952272759683	0.21040980121058556	True
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000030137	Tuba8	0.5192427547697127	0.025326090945140805	0.4066585015325794	0.11796295480180356	False
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000024013	Fgd2	-0.30649934422817315	0.0397524426244841	-0.3415332207671198	0.17722975605823507	True
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000026202	Tuba4a	0.3548393955938858	0.0397524426244841	0.09865361205745667	0.7270560897108289	False
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	ENSMUSG00000022488	Nckap1l	-0.27968800278197037	0.043349331562771806	-0.31093640302143283	0.2201369108669028	True
