model	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_p	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_p	accession_t_fdr	n_accessions_tested	n_accessions_same_direction	n_accessions_nonzero_direction	pooled_deg_fdr05	accession_deg_fdr05	any_deg_fdr05	nominal_p05
liver_hvg	ENSMUSG00000073421	H2-Ab1	-0.40279270186697325	0.0009978721459735268	0.028851520742278057	-0.5669629825143537	0.0016779898595671878	0.11796295480180356	12	11	12	True	False	True	True
liver_hvg	ENSMUSG00000073489	Ifi204	-0.2029068060332806	0.1775298847855584	0.43201149916232007	-0.2561566453512785	0.0042281175295769075	0.14798411353519178	12	11	12	False	False	False	True
liver_hvg	ENSMUSG00000073678	Pgap1	-0.16989332922415823	0.10443168224877847	0.33254378816050717	-0.15335213516540214	0.14700983229018863	0.3910461538919018	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000073700		-0.26687629549378755	0.008941539329444756	0.09388616295916995	-0.16336224863433899	0.16782062472879886	0.411618914204126	12	7	12	False	False	False	True
liver_hvg	ENSMUSG00000073878		-0.04915816018271646	0.4316021618851722	0.6936504994936348	-0.05350407009780501	0.4623417237985305	0.6750202807929963	12	5	11	False	False	False	False
liver_hvg	ENSMUSG00000073940	Hbb-bt	-0.3237076289040388	0.09952072895559158	0.3239504156573316	-0.13191712308405049	0.5391079812081575	0.7237687903837646	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000073988	Ttpa	-0.0012936448144653667	0.9866393050041101	0.9941138451935353	0.0858306415549257	0.37900048013021925	0.6054930954902433	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000074151	Nlrc5	-0.11446157010529134	0.2517028417007588	0.5226736462164571	-0.20550248835924978	0.08164719852661018	0.30555026992245377	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000074179	Gsta5	-0.04648224529393297	0.3491189439863971	0.6174577067844523	0.01614005031989123	0.6659795468637699	0.8126420100365294	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000074183	Gsta1	0.1540737347749077	0.36055136828510426	0.6249348216583692	0.26632749847262077	0.3461277903908018	0.5802730603610502	12	6	12	False	False	False	False
