profile	id.accession	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	OSD-168	ground_control	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	RR3_GC_G1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	OSD-168	ground_control	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	RR3_GC_G2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	OSD-168	ground_control	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	RR3_GC_G3	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	OSD-168	ground_control	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	RR3_GC_G5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4	RR1_BSL_M4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5	RR1_BSL_M5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7	RR1_BSL_M7	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8	RR1_BSL_M8	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10	RR1_BSL_M10	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4	RR1_BSL_M4	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5	RR1_BSL_M5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7	OSD-168	baseline_control	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7	RR1_BSL_M7	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-168	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-168
