gene_id	latent_1	latent_2	latent_3	latent_4	latent_5	latent_6	latent_7	latent_8	latent_9	latent_10	latent_11	latent_12	latent_13	latent_14	latent_15	latent_16
ENSMUSG00000033420	1.2546465	-0.7203548	0.016193002	0.5788399	0.0017018123	0.033417962	-0.68195283	0.052434918	-0.23283641	-0.83416736	-0.13930838	-0.5584435	-0.5499029	0.5321221	0.59979457	0.8404753
ENSMUSG00000045328	1.2610003	-0.71873087	0.016193066	0.59307253	0.0017510722	0.034287576	-0.6753803	0.053937554	-0.2366017	-0.8380036	-0.116502084	-0.5530987	-0.5460286	0.5115088	0.6005981	0.8714082
ENSMUSG00000029175	1.2703459	-0.71463597	0.0064944187	0.56524444	0.001633686	0.03156668	-0.7042073	0.049827	-0.22511093	-0.8222516	-0.1890767	-0.5659759	-0.54299533	0.6215432	0.6465695	0.746716
ENSMUSG00000089876	1.2711207	-0.7158973	0.012076051	0.59324026	0.0017550704	0.033796027	-0.68308717	0.053377446	-0.23477416	-0.83482325	-0.13028261	-0.5546008	-0.5417863	0.54211104	0.6213608	0.8437047
ENSMUSG00000024800	1.2628881	-0.718099	0.013681767	0.58366096	0.001715417	0.033452548	-0.6843595	0.052637883	-0.23302075	-0.833534	-0.13979049	-0.55751824	-0.54606336	0.54367644	0.61265945	0.83422524
ENSMUSG00000053101	1.2650331	-0.71760553	0.01582221	0.6003071	0.0017752745	0.03467354	-0.6726451	0.054645497	-0.23828769	-0.8396304	-0.10584195	-0.55044717	-0.54365504	0.50361633	0.60278624	0.8847357
ENSMUSG00000089987	1.2661648	-0.7172713	0.015779756	0.6027462	0.0017840862	0.034814432	-0.67154366	0.0548951	-0.23889929	-0.840232	-0.10191316	-0.54950476	-0.5429188	0.50031865	0.603097	0.88978124
ENSMUSG00000002489	1.2587261	-0.71935153	0.016190886	0.58781165	0.0017313771	0.033944435	-0.67789114	0.053366955	-0.23517014	-0.8365937	-0.12514892	-0.5551353	-0.54750365	0.51927215	0.6003453	0.85985935
ENSMUSG00000039630	0.95132715	-0.67694837	-0.019783685	0.13666622	-0.0015115683	0.01023509	-0.8007007	0.011566345	-0.120209254	-0.5386592	-0.572272	-0.62847763	-0.54565084	1.1907507	0.6357126	-0.22290857
ENSMUSG00000028070	1.2755952	-0.70143265	-0.012374412	0.5114877	0.0012251199	0.02713174	-0.7460557	0.042919476	-0.20399557	-0.7861112	-0.2986223	-0.5826646	-0.5313162	0.8153104	0.72688884	0.5170735
ENSMUSG00000036862	1.2596408	-0.71845126	0.011859159	0.56780005	0.0016462035	0.032276914	-0.6943962	0.05074791	-0.22800714	-0.8275874	-0.16967173	-0.56375927	-0.54830563	0.57943004	0.6205072	0.7878256
