Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
PaGenBase,36,PGB:00018,Tissue-specific: pancreas,,-6.2,9,8.1,17423,65,267,9,3.4,1.1,18947|19692|19752|22072|29866|66473|67133|68416|232680,Pnliprp2|Reg1|Rnase1|Prss2|Cabp2|Ctrb1|Gp2|Sycn|Cpa2,-4.5,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00228,Tissue-specific: cornea,,-4.7,11,7.3,17423,37,267,6,2.2,0.91,11670|57277|68468|70405|71740|71874,Aldh3a1|Slurp1|Ly6g6c|Calml3|Nectin4|Mab21l4,-3.2,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00225,Tissue-specific: tongue epidermis,,-4.3,8.9,6.5,17423,44,267,6,2.2,0.91,11686|20248|21818|68678|71869|71872,Alox12b|Serpinb3a|Tgm3|Smtnl1|Serpinb12|Aox4,-2.8,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00267,Cell-specific: mIMCD-3,,-3.7,5.1,5.2,17423,103,267,8,3,1,12740|17349|19378|20732|22422|53868|108897|194231,Cldn4|Mlf1|Aldh1a2|Spint1|Wnt7b|Rab25|Aif1l|Cnksr1,-2.4,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00269,Cell-specific: retinal pigment epithelium,,-3.5,2.8,4.3,17423,346,267,15,5.6,1.4,19273|54612|55987|59049|60613|70405|76459|211480|216739|232680|268780|268859|269615|329941|668940,Ptpru|Sfrp5|Cpxm2|Slc22a17|Kcnq4|Calml3|Car12|Kcnj14|Acsl6|Cpa2|Egflam|Rbfox1|Plch2|Col8a2|Myh7b,-2.2,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00221,Tissue-specific: eye,,-3.5,2.9,4.3,17423,310,267,14,5.2,1.4,11670|13510|19273|20536|21384|57277|67855|70405|71740|209294|211480|269328|269615|329941,Aldh3a1|Dsg1a|Ptpru|Slc4a3|Tbx15|Slurp1|Asprv1|Calml3|Nectin4|Csta1|Kcnj14|Muc15|Plch2|Col8a2,-2.2,FLT_cluster_15_contractile_mito
TRRUST,34,TRR00844,Regulated by: Myod1,,-3,6.7,4.9,17423,49,267,5,1.9,0.83,11464|17906|20391|68678|668940,Actc1|Myl2|Sgca|Smtnl1|Myh7b,-1.8,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00006,Tissue-specific: small intestine,,-2.6,3.1,3.6,17423,190,267,9,3.4,1.1,14120|14776|15567|19692|58210|60363|67715|107753|228765,Fbp2|Gpx2|Slc6a4|Reg1|Sectm1b|Cldn15|2010106E10Rik|Lgals2|Sdcbp2,-1.5,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00263,Cell-specific: C3H 10T1_2,,-2.4,6.1,4.2,17423,43,267,4,1.5,0.74,12409|18133|21922|117606,Cbr2|Ccn3|Clec3b|Boc,-1.4,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00007,Tissue-specific: adipose tissue,,-2.3,5.7,4,17423,46,267,4,1.5,0.74,20618|57262|71939|246747,Sncg|Retnla|Apol6|Adig,-1.3,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00217,Tissue-specific: adipose brown,,-2.2,8.2,4.4,17423,24,267,3,1.1,0.65,94045|246049|319942,P2rx5|Slc36a2|A530016L24Rik,-1.3,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00214,Tissue-specific: epidermis,,-2.2,4.4,3.6,17423,75,267,5,1.9,0.83,13510|16664|18788|213121|244202,Dsg1a|Krt14|Serpinb2|Ankrd35|Nlrp10,-1.3,FLT_cluster_15_contractile_mito
PaGenBase,36,PGB:00273,Cell-specific: dendritic plasmacytoid B220+,,-2.2,7.8,4.3,17423,25,267,3,1.1,0.65,12862|16612|50795,Cox6a2|Klk1|Sh3bgr,-1.2,FLT_cluster_15_contractile_mito
