review_row	term	flight_minus_ground	signed_accession_mean_flt_minus_gc	mean_abs_accession_effect	category	category_label	matched_keyword	rationale	effect_direction
59	R-MMU-422475_AXON_GUIDANCE	-0.1311083530247712	-0.09544809959272808	0.1017272073705058	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
60	R-MMU-156590_GLUTATHIONE_CONJUGATION	-0.3387070883113908	-0.2913721746831193	0.3786491448750385	prior_literature_match	prior literature match	glutathione	matches expected tissue/spaceflight biology: glutathione	FLT_down
61	R-MMU-8875878_MET_PROMOTES_CELL_MOTILITY	0.1347201671332746	0.11755525561227181	0.1341676561789385	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
62	R-MMU-8957322_METABOLISM_OF_STEROIDS	0.2729727663063384	0.22042618261656	0.2916541002832268	prior_literature_match	prior literature match	steroid	matches expected tissue/spaceflight biology: steroid	FLT_up
63	R-MMU-6811442_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	-0.0903438438321795	-0.10159573117226905	0.1294752627204171	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
64	R-MMU-202403_TCR_SIGNALING	0.100786866386919	0.09889618667681505	0.1420048323201483	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
65	R-MMU-193648_NRAGE_SIGNALS_DEATH_THROUGH_JNK	-0.1834265898959507	-0.20905242786372225	0.2701294287637223	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
66	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.1529578088780281	0.06745318827152	0.1269399216462674	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
67	R-MMU-2672351_STIMULI_SENSING_CHANNELS	0.281825952118662	0.20875967268878703	0.363132469058484	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
68	R-MMU-157858_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	-0.1546493396257041	-0.11041161512884995	0.1920901533325536	prior_literature_match	prior literature match	gap junction	matches expected tissue/spaceflight biology: gap junction	FLT_down
69	R-MMU-917937_IRON_UPTAKE_AND_TRANSPORT	-0.1114229766631514	-0.11415584567920432	0.1195302980495746	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
70	R-MMU-9612973_AUTOPHAGY	-0.0903408701883802	-0.07213781373156995	0.0850648813982366	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
71	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	0.2295486489827465	0.23576277247535438	0.297433428942021	plausible_complementary	plausible/complementary	hedgehog	plausible complementary mechanism: hedgehog	FLT_up
72	R-MMU-5617833_CILIUM_ASSEMBLY	0.0598511306690139	0.03014372934090905	0.0539738081961278	plausible_complementary	plausible/complementary	cilium	plausible complementary mechanism: cilium	FLT_up
73	R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.1745096255105633	0.16549490491405297	0.2382926282473864	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
74	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	-0.273637445040493	-0.25677680213388293	0.3820155946692364	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
75	R-MMU-9709957_SENSORY_PERCEPTION	-0.1380814933450702	-0.11451798292707789	0.2101804096947545	likely_artifact	likely artifact/junk	sensory perception	context-incongruent Reactome term: sensory perception	FLT_down
76	R-MMU-9675108_NERVOUS_SYSTEM_DEVELOPMENT	-0.254433452162236	-0.25252749316071776	0.3107467724607177	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
77	R-MMU-9913351_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC	-0.0965323825319894	-0.09382670831580674	0.14211882574914	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
78	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	-0.0485293206306514	-0.04828031035229527	0.0482803103522952	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
