FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Eola1,Use1,Tmem243,Dbt,Bdh1,Man2b1,Galnt5,,,,,,,Nol4,Taf11,Dcaf15,Cyfip1,Ppp1ca,Spag7,Ahsa1,Agxt,,,,,
Srpk1,Sbk1,Gchfr,Rnf10,Abca1,Mkln1,Fgf13,,,,,,,P2ry14|F630111L10Rik,Hnrnpa0,Pop7,Tapt1,Agpat3,Ost4,Flna,Uqcrb,,,,,
Gpr182,Ndufab1,Nsd3,Plcxd2,Man1a,Ppp2r3a,2310020H05Rik,,,,,,,ENSMUSG00000087365,Alms1,Maoa,Pdk2,Ncoa4,Snx10,Ddx6,Rpl35a,,,,,
Snx14,Epha1,Spcs1,Snd1,Elovl6,Cd5l,Dipk2b,,,,,,,Cxcl2,Crtc2,Crppa,Septin7,Rora,Ier3ip1,Abcg8,Sult1a1,,,,,
Nt5c,Serpina1e,Sem1,Xdh,Bsg,Pex7,Slc35e4,,,,,,,1700003F12Rik,Orc5,Dph6,Ywhag,Cd47,Stoml2,Acacb,Abcd3,,,,,
Tmem223,Plcg1,Sec61b,Tsc22d3,Rpl35,F8,Clmp,,,,,,,Asb4,Gtf2f2,D430019H16Rik,Ddx50,Cyp1a2,H2az1,Cct6a,Ech1,,,,,
Pcsk9,Atp6v1h,Arpc3,Slc47a1,Tmem30a,Wipi2,Ccdc69,,,,,,,Plppr1,Entpd6,Zfp658,Eif3l,Lpin2,Ndfip2,Ndufs4,AI182371,,,,,
Nop56,Alg11,Slc35d2,Nars1,Serpina10,Vdac2,Bcl11b,,,,,,,Doc2g,Zbtb39,Tsacc,Krt8,Acox2,Nsfl1c,Cul4a,Gstz1,,,,,
Fam13b,Kif16b,Lats1,Larp4,Etfb,Marchf8,Trpc3,,,,,,,H2ax,Igsf8,Tbxas1,Dnajc22,Mt1,Abi1,Sppl2a,,,,,,
Polr3k,Pum3,Coa5,Ppm1k,Proz,Slc16a1,Ephb3,,,,,,,Or52j3,Dedd2,Aldh1a2,Ppp2r1a,Slc25a3,Jup,,,,,,,
Armcx3,Micu1,Gbp11,Rapgef4,Rps10,Gm2a,Pcdh19,,,,,,,Cyp2d34,Mettl1,Fam98c,Odc1,Me1,Armc1,,,,,,,
Itgb1bp2,Wtap,Araf,Isoc1,Paqr9,Plekha6,Dnm3,,,,,,,Ier3,Zfp952,1700007L15Rik,Pbrm1,Cyp8b1,Mvp,,,,,,,
Cacnb1,Fkbp15,Ppp2r5e,Vipr1,Ctsd,Tcea1,Otop1,,,,,,,ENSMUSG00000097924,Pgp,Mageh1,Abhd14b,Abcc6,Btg1,,,,,,,
Fam222b,Crebrf,Lrrc59,Arhgap35,Rps21,Gorasp2,,,,,,,,Nmbr|1700016L04Rik,Vamp2,Samd5,Mrpl13,Pcbd1,Rad23a,,,,,,,
Cacfd1,Sri,Stat1,Mtpn,Ppp1r3b,Cnpy2,,,,,,,,Slc6a17,Pip4p2,Pgap2,Myo5b,Pm20d1,Acin1,,,,,,,
Wrn,Nfatc3,Cd59a,Celf1,Reln,Dmxl1,,,,,,,,Pnpla1,Smc2,4632428C04Rik,Trim24,Nbeal1,Gabpb2,,,,,,,
Prps1l3,Cdk6,Pitpnb,Phb1,Rpl12,Acsm5,,,,,,,,A530088E08Rik,Tcf3,Clcn6,Tmem135,Zfp91,Kdm1b,,,,,,,
Myh6,Wdr18,Myo6,Nfia,Coq8a,Lcp1,,,,,,,,Dach2,Isg15,Hic1,Gprc5c,Map1lc3b,Lmna,,,,,,,
Antkmt,Ppp1r11,Dnajc5,Ndufa5,Selenof,Prrc2b,,,,,,,,Serpina3i,Rnf25,Rfc4,Emc7,Ybx1,Snap23,,,,,,,
Gprasp1,Sec11c,Sfpq,Srpra,Arl5a,Uso1,,,,,,,,Sox21,Abi2,Cep57l1,Ppp4r3a,Steap4,Cyth1,,,,,,,
Dip2b,Dennd6a,Tomm7,Iyd,Adh5,Atp9a,,,,,,,,Snord8,Fuz,Tchp,Ppfibp1,Vkorc1,ENSMUSG00000088185,,,,,,,
Ccar2,Cetn3,Maf,App,Rpl34|Rpl34-ps1,Paox,,,,,,,,Kif20a,Apbb3,Nudt15,Pdap1,Ptprf,Crbn,,,,,,,
Slc6a9,Akap8,Dhx9,Ei24,Nat8f1,Cisd1,,,,,,,,Ptpn5,Rbm42,Mthfd2l,Ndufab1,Skp1,Dnmbp,,,,,,,
Baiap2l1,Coa3,Dynll2,Ppp2ca,Mmut,Itch,,,,,,,,Hyls1,Tbce,Cnot10,Cdip1,Eif2s3x,Sfi1,,,,,,,
Smad3,Ripk1,Chd8,Acot3,Rpl15,Pde3b,,,,,,,,Armcx6,Slc12a4,Adamtsl1,Tle1,Tcn2,Tmed5,,,,,,,
Slc39a4,Tpcn1,Eci1,Ubr2,Rrbp1,Pum2,,,,,,,,Parvg,Mrtfa,Spats2,Psmc5,Uqcrfs1,H2-T22,,,,,,,
Gtf2a2,Cfdp1,Srsf1,Hsdl2,Abca6,Slc44a1,,,,,,,,Pitx1,Amer1,Tnfaip8,Gstm7,Pcyox1,Snord15b,,,,,,,
Ccdc117,Kdm5b,Necab1,Aqp8,Cyb5r3,Rmdn2,,,,,,,,Cfap43,Slc45a4,Morrbid,Zfp638,Immt,Smad5,,,,,,,
Wwtr1,Snx4,Paip1,Atl2,Qdpr,Gcat,,,,,,,,Gm14634,B4galt7,Tfe3,Rrp1,Acbd5,Rprl3,,,,,,,
Stam2,Prex2,Brwd1,Klhl9,Pcyt2,,,,,,,,,Hnf4aos,Asic5,Lpin3,Tnpo3,Wnk1,Zc3h15,,,,,,,
Sema3d,Cd82,Pi4ka,Bhlhe40,Pink1,,,,,,,,,Spdef,H1f3,Lrwd1,Prelp,Psmc1,Tcea3,,,,,,,
Grk6,Susd6,Ptpra,Pik3r1,Acss2,,,,,,,,,Larp6,Efl1,Fbxo36,Usp8,Ppp6r3,Cttn,,,,,,,
Unc93b1,Pigt,Tnrc6a,Syne2,Nit2,,,,,,,,,Usp29,Sgsh,Mcpt4,Lamtor1,Ndufa3,Dctn1,,,,,,,
Nolc1,Gatad2b,Tmem245,Apol7a,Maob,,,,,,,,,Nap1l3,Mta3,Zfp366,Ctso,Azin1,Igsf5,,,,,,,
Laptm4b,Hivep1,Klf3,Slc3a1,Ndufb8,,,,,,,,,Slc24a5,Rps6kb2,Rad52,Rap1a,Tm9sf3,Msr1,,,,,,,
Rsu1,Cdadc1,Capzb,Stt3a,Chchd2,,,,,,,,,4930440I19Rik|Gm14461,Spc24,Nup42,Crebrf,Clec4f,Acvr2a,,,,,,,
Frmd6,Gnpat,Ubl3,Fyco1,Cox4i1,,,,,,,,,Icosl,Nup133,Spata22,Rapgef1,Msrb1,Cdc42bpa,,,,,,,
Speg,Pcf11,Gpbp1l1,Nr1h3,Ece1,,,,,,,,,Nkx2-6,Nudt14,Ptgis,Atad1,Cyp2d13,Acbd4,,,,,,,
Lztr1,Rnf214,Psmd6,Slc35e2,Tuba1c,,,,,,,,,Hpdl,Aatf,Rgma,Rock1,Acads,Srsf11,,,,,,,
Senp2,Timm8a1,S1pr1,Mrfap1,Zfp106,,,,,,,,,Zfp341,Fli1,Zfp521,Wdr18,Hgfac,Ndufaf4,,,,,,,
Yaf2,Snrpe,Abca2,Setd3,Tle5,,,,,,,,,ENSMUSG00000097440,Gfod2,Dntt,Cnot6l,Copb2,Snw1,,,,,,,
Cdc5l,Cdc42ep4,Nek6,Colec10,Lpgat1,,,,,,,,,Lce1i,Prom1,Slc52a2,Slc6a6,Dcaf8,Gatad2a,,,,,,,
Fam25a,Sbds,Gpbp1,Stip1,Hnrnpk,,,,,,,,,Cd55b,N6amt1,Pdss1,Eny2,Ugt2a3,Zmym5,,,,,,,
Nt5c2,Hax1,Tm9sf4,Dnaja3,Ndufv1,,,,,,,,,Sh2b2,Nhsl2,4931414P19Rik,Mea1,Rpl10a,Pitpnc1,,,,,,,
Lcorl|Gm3414,Ssu72,Trappc13,Krt18,Sqor,,,,,,,,,Klk1b5,Msh3,Pomgnt2,Cnot8,Bckdha,Ufl1,,,,,,,
Smtnl1,Atp6v1c1,Rnf144b,Mtss1,Lcat,,,,,,,,,Mfsd10,Zfp354a,Dtnb,Fcho2,Sec24c,Nup98,,,,,,,
Fam174a,Chmp4b,Ankfy1,Ptbp3,Cyp2c54,,,,,,,,,Rnf17,Chchd5,Spats2l,Tbcel,Chmp2a,Wsb2,,,,,,,
Bag3,Ptcd3,Mrpl18,Clock,Kif1c,,,,,,,,,Panx2,Cars2,Mtnap1,Abhd3,Mlec,Vsig4,,,,,,,
Tgs1,Shoc2,Ttyh2,Nipbl,Atp5mc1,,,,,,,,,Hsd3b6,Tdrp,Fancg,Coa3,Gnas,Inhbc,,,,,,,
Mfsd14a,Ankrd46,Cop1,Chd4,Uqcrc1,,,,,,,,,Epyc,Plekha7,Ctla2b,Afdn,Sult3a1,Limd1,,,,,,,
Adipoq,Zfhx4,Slc6a12,Gnai3,Rpl36a,,,,,,,,,Sfrp5,Zfp709,Ncf4,Tmem50a,Prkd3,Brd4,,,,,,,
Pdcl,Vldlr,Pum1,Rab43,Ptma,,,,,,,,,Cxcr4,Rrp12,Clstn2,Zdhhc9,Pten,Tmem97,,,,,,,
Ark2n,Ets1,Tm6sf2,Tcf25,Cox7c,,,,,,,,,D030045P18Rik,Limk2,Egfem1,Flt4,Mbl1,Slc35g1,,,,,,,
Prkab2,Dcaf5,Slc20a2,Psmd8,Ube2d3,,,,,,,,,Ltc4s,Ago4,Cntnap1,Puf60,Gldc,Gimap6,,,,,,,
Snx1,5031439G07Rik,Arid5b,Cideb,Acaca,,,,,,,,,Vxn,Rad51d,B4galt6,Set,Ppa1,Ptdss1,,,,,,,
Fbxl17,Ctcf,Dgcr2,Luc7l2,Rpl21,,,,,,,,,Wnt2b,2700049A03Rik,Hlx,Susd6,Ndufb3,Tmem147,,,,,,,
Syvn1,Acmsd,Sh3bp5,Slc25a44,Atp5f1c,,,,,,,,,Cimip2b,Nlk,Rfx1,Ccdc47,Eif4b,Dock4,,,,,,,
Asap2,Ciao1,Fdft1,Hnrnpab,Inmt,,,,,,,,,1810010H24Rik,Tfb1m,Siglece,Wbp2,Mcfd2,Xpr1,,,,,,,
Mul1,Sntb2,Atp6v1g1,Mprip,Aqp9,,,,,,,,,Gm16793,Wdcp,Coprs,Naxe,Insig1,Vps29,,,,,,,
Ntn1,Cadps2,Edem3,F11,BC024386,,,,,,,,,AA467197,Sf3a2,Snrnp35,2900026A02Rik,Pipox,Tmem150a,,,,,,,
Vat1,Rad54l2,Chac2,Stard4,Atp5mf,,,,,,,,,Alox12,AI837181,Renbp,Snrk,Rpl22,Aurkaip1,,,,,,,
Smchd1,Rbm33,Sap18,Fpgs,Ndufa12,,,,,,,,,Npy2r,5530601H04Rik,Gja4,Zfp207,Cyb5b,Chn2,,,,,,,
Ints3,Dnajc1,Copz1,Ppm1a,Masp2,,,,,,,,,Lipt2,Prpsap2,1700028E10Rik|Gm3704,Ttc3,Mocs2,Cdc123,,,,,,,
Coro7,Polr1a,Gpcpd1,Wdfy3,Nadk,,,,,,,,,Cfap299,Asb6,Gprc5b,Mtdh,Cd36,Gid4,,,,,,,
Ada,Mrps2,Ifih1,Rab8a,C8a,,,,,,,,,Slc6a4,Fam117b,Zfp385a,Vps26a,Insr,Ube2f,,,,,,,
Atp2b2,Sec23b,Arid1a,Pnpo,Dnaja1,,,,,,,,,Pnma8b,5031425E22Rik,Cd86,Setd2,Surf4,Pole4,,,,,,,
Mpi,Babam1,Smc1a,Wdr26,Abcc2|Gm10768,,,,,,,,,Rd3,Apaf1,Srp54b,Hax1,Cldn12,Tial1,,,,,,,
Mrps34,Rasa1,Mup2,Ap2a2,Mtarc2,,,,,,,,,Nav3,Fastkd5,Myo1f,Rabep1,Ugt1a5,Dnm2,,,,,,,
Iqcc,Rest,Wdr1,Mfn2,Nbr1,,,,,,,,,Pcdh15,Tubgcp3,Sft2d3,Dazap2,Akr1d1,Raly,,,,,,,
Vamp4,Lysmd3,Rhou,Cdv3,Serinc3,,,,,,,,,Cubn,Ttll5,ENSMUSG00000092075,Ptcd3,Ndst1,Pecam1,,,,,,,
Fam220a|Sagsin1,Nudt21,Gars1,Akt2,Agxt,,,,,,,,,Snora33,Sf3b4,Mynn,Api5,Sec61g,Cd55,,,,,,,
Crym,Cavin2,Gosr2,Slc16a7,Uqcrb,,,,,,,,,Cldn23,Mios,Thpo,Shc1,Hpgd,Bcar3,,,,,,,
Alg2,Smpd1,Mrpl42,Cyp2a22,Nudt7,,,,,,,,,Kantr,Olfml1,Rbl1,L2hgdh,Dync1h1,Tmem70,,,,,,,
Cyp2g1,Ube4b,Klf12,Vps35,Rpl35a,,,,,,,,,Zbtb25,Ubtd1,Unc119,Rpl7l1,Cpb2,Mrpl28,,,,,,,
Knop1,Rai14,Slc39a9,Cxadr,Clec2d,,,,,,,,,Gpa33,Gm11437,Porcn,Ltn1,C9,Dctpp1,,,,,,,
Hnrnpa0,4930453N24Rik,Rcbtb2,Tut7,Aldh7a1,,,,,,,,,Mael,Cables1,Clec9a,Ywhaz,Rsrp1,Slc25a30,,,,,,,
Cdc40,Qars1,Mob1a,Ndufa9,Lman2,,,,,,,,,Ccl17,Glt8d1,Ccl11,Kyat1,Psma7,Tut4,,,,,,,
Ttll4,Eif2a,Actr1b,Abcc9,Ddb1,,,,,,,,,Glrp1,Tia1,St8sia5,Ube2r2,Bzw1,Rap2c,,,,,,,
Sorl1,Bach1,Mesd,Faah,Acacb,,,,,,,,,Zc3h12d,Pogk,Trim47,Aadat,Gstt1,Kalrn,,,,,,,
Xpnpep3,Ppp3ca,Ralgapa2,Tprkb,Serf2,,,,,,,,,Lipm,Arhgdib,Mfsd9,Ets1,Nfib,Pex14,,,,,,,
Rassf3,Msn,Cped1,Slc22a26,Ctsz,,,,,,,,,Msh5,5730409E04Rik,Adgrv1,Hnrnpul1,Mrc1,Spp1,,,,,,,
Rin3,Rbm6,Ndufa11,Mapk1,Ddt,,,,,,,,,Phlda2,Lbh,Taf6l|Gm2518,5031439G07Rik,Pnpla7,Nub1,,,,,,,
Cdk11b,Lsm7,Npc2,Crebbp,Pnpla8,,,,,,,,,1700008J07Rik,Bcl3,A430035B10Rik,Iigp1c,Sult2a2,Nbas,,,,,,,
Ocln,Lcor,Smu1,Atp5f1d,,,,,,,,,,Gja5,Sqle,Smad9,Idi1,Eif5,Car5a,,,,,,,
Nfyb,Parl,Hspa13,Ube3a,,,,,,,,,,2610206C17Rik,Tubgcp5,Zfp11,Ctdsp1,Slc37a4,Nudt19,,,,,,,
Hemk1,Ctr9,Ap1b1,Fam210a,,,,,,,,,,5330411J11Rik,Klhl15,Snhg15,Noct,Hibadh,Zbtb38,,,,,,,
Smim12,Nid1,Selenok,Cyp2d22,,,,,,,,,,BC051537,Zfp142,Nagk,Tars1,Ganab,Sf3b6,,,,,,,
Nostrin,Agrn,Gapvd1,Pank3,,,,,,,,,,Lrtm2,Cc2d1a,Acap1,Tkt,Gpt,Dhx40,,,,,,,
Clec14a,Plvap,Otud4,Pter,,,,,,,,,,Clic3,Trim11,Pdgfd,Pard3,Ddx17,Prelid3b,,,,,,,
Txnrd2,Zfand6,Arpp19,Hspb8,,,,,,,,,,Myt1,Ogfod2,Glis2,Alcam,Rpl27,Ddx23,,,,,,,
Abhd4,Dyrk1a,Syap1,Prkar2a,,,,,,,,,,Olr1,Ptdss2,Rapgef3,Man1a2,Npc1,Cln5,,,,,,,
D2hgdh,Tns2,Spcs2,Ctnnd1,,,,,,,,,,Mapk8ip2,Tmem98,Tubd1,Krcc1,Sptbn2,Cd99l2,,,,,,,
Slc12a6,Nap1l1,Glg1,Dnaja2,,,,,,,,,,ENSMUSG00000045327,Tlr8,ENSMUSG00000102095,Sf3b2,Rdh9,Il15ra,,,,,,,
Dcaf17,Nxt2,Fbxo21,Sdr42e1,,,,,,,,,,Grk1,Supt20,Wnt9a,Itgb5,Actn4,Hif1an,,,,,,,
Xpnpep1,Dynlt1b,Gphn,Pccb,,,,,,,,,,Cfap61,Slc2a5,Olfml2a,Afg3l1,Pdia4,BC031181,,,,,,,
Git2,Eps8l2,Nectin1,Pcsk6,,,,,,,,,,Tssk6,Rpusd3,Nxt1,Cyp2j6,Hmgcs1,Uhrf2,,,,,,,
Pex1,Poldip3,Cggbp1,Cldn1,,,,,,,,,,AI504432,Tmem106c,Reep4,Calm3,Rgs16,Med1,,,,,,,
Stx12,Sin3a,Oga,Ctnna1,,,,,,,,,,Sox7,Irf2bp1,Fam117a,Rnf103,Oplah,Mtfp1,,,,,,,
Mboat7,Irf2,Arl8b,Ecpas,,,,,,,,,,Uhrf1,Slc2a8,Mcm5,Phf3,Rnf13,Lclat1,,,,,,,
Swt1,Zfp36,Sumo2,Ptprk,,,,,,,,,,Pex5l,Cyth3,Astn2,Atxn2,Trip12,Snx19,,,,,,,
Prrc1,Rfc1,Cap1,Etf1,,,,,,,,,,Pglyrp1,Pcbd2,Alpk1,Gtf2i,Eif4a1,Scyl1,,,,,,,
Dhx32,Cmtm4,Slc25a46,St3gal5,,,,,,,,,,Itgax,Pcsk4,Gas7,Dsc2,Golim4,Ostc,,,,,,,
Ppp1r8,Ndufb2,Kpna4,Cpeb4,,,,,,,,,,Tekt2,Cwc22,Snrnp48,Atp8b1,Epas1,Egln1,,,,,,,
Fam20b,Elf1,Ankrd28,Lrrc58,,,,,,,,,,Col23a1,Npm3,Cdc25a,Usp25,Bpnt2,Cbx3,,,,,,,
Arfip1,Fam149a,Yipf5,Helz2,,,,,,,,,,Tpsg1,Mtmr12,Nck2,Cavin2,Upb1,Slc22a27,,,,,,,
Rcsd1,Itsn1,Eif2s1,Tns3,,,,,,,,,,Bend5,G6pdx,Dsel,Churc1,Atxn7l3b,Clcn7,,,,,,,
Rap1gds1,Lrp10,Cept1,Pafah1b1,,,,,,,,,,Fam124b,Katnal1,E2f8,Klb,Dsg2,Flad1,,,,,,,
Vps4a,Actn1,Mrap,Prdx3,,,,,,,,,,Artn,Myadm,Abhd10,Purb,Lipa,Uck1,,,,,,,
Sgcb,Cmtm6,Cdk13,Onecut2,,,,,,,,,,Gpr27,Snx12,Guca1a,Larp4b,Xbp1,Clpb,,,,,,,
Mto1,Bud31,Agtr1a,Acot12,,,,,,,,,,Pcdhga7,Sh3bp2,Smarcd1,Etfrf1,Reep6,Dio1,,,,,,,
Chmp7,Clec16a,Akap11,Matr3,,,,,,,,,,ENSMUSG00000072679,Dtx4,Cdin1,Ube3c,Nfe2l1,Sult3a2,,,,,,,
Cav2,5033403H07Rik,Zc3h14,Ddah1,,,,,,,,,,Gal3st2b,Ing5,Dgke,Usp32,Pcmtd1,Cyp51,,,,,,,
Exoc2,Il1r1,Ppp4r2,Cct4,,,,,,,,,,Hspa2,Sema4b,Gas8,Zkscan1,Tax1bp1,Smim11,,,,,,,
Atg12,Coq5,Mydgf,Scap,,,,,,,,,,Gpr45,Mapk8ip3,Metrn,Pacsin2,Pgk1,Arsg,,,,,,,
Rhod,Ncoa1,Myo1e,Stat3,,,,,,,,,,Mobp,Zfp369,Ccr3,Vps41,Ang,Homer2,,,,,,,
Ppard|1810013A23Rik,Crkl,Sec13,Opa1,,,,,,,,,,Gsdma,Nsmce2,Frem1,Taf10,Slc38a2,Rbm3|Rbm3-ps,,,,,,,
Mtx1,B4galt5,Ogt,Ces1e,,,,,,,,,,Or1l4,Insc,Taf1c,Stat2,Lars2,Asnsd1,,,,,,,
Zfp729b,Erp29,Lpcat3,Tecr,,,,,,,,,,ENSMUSG00000086224,Plscr1,Slc35f6,Sos1,Perp,Map3k7,,,,,,,
Fxyd6,Tango2,Mtfr1,Dhrs3,,,,,,,,,,Tmem229a,Utp25,Tmem102,Zfand6,Cyp27a1,Thnsl2,,,,,,,
Tgfa,Pdxk,Mtmr4,Cdh2,,,,,,,,,,Snord88a,Npr3,Rpp30,Sra1,Ehd3,Faf1,,,,,,,
H1f3,Nkiras1,Grb14,Ugt2b35,,,,,,,,,,Il1bos,Ppwd1,Tiam1,G3bp1,Rpl3,Cul2,,,,,,,
ENSMUSG00000094786,Xpo6,Gch1,Stard7,,,,,,,,,,Prss30,Gtf2b,Dchs1,Lrp4,Cd1d1,Ctdsp2,,,,,,,
Adprm,Mrpl24,Lmbrd1,Lmbrd2,,,,,,,,,,Kcnab2,Cryl1,Mill2,Atad3a,Rdx,St6galnac6,,,,,,,
Mta3,Lars1,Rab1b,Tgm2,,,,,,,,,,St8sia2,Cdkl5,Spaca6,C1galt1,Hoga1,Pgap1,,,,,,,
Rp9,Akt1,Myl12b,Tnpo1,,,,,,,,,,Irf4,Tnfrsf12a,Dzip3,Itpr2,Plpp3,Ppp1r7,,,,,,,
Ssx2ip,Tor1aip1,Kpna3,Retreg1,,,,,,,,,,Kcnk2,Eme2,3110082I17Rik,Tns2,M6pr,Ubr1,,,,,,,
Spg21,Stub1,Man2a2,Gcsh,,,,,,,,,,Dnajb13,Usp46,Nek1,Kdm5a,Tmed2,Hnrnpdl,,,,,,,
Gucy2c,Rbfox2,Tollip,Sigmar1,,,,,,,,,,Cryba4,4930523C07Rik,Mpz,Rorc,Norad,Mat2b,,,,,,,
Thoc3,H1f4,Prdx4,Hs6st1,,,,,,,,,,Ccdc146,Ccp110,1810034E14Rik,Anapc1,Dbt,Usf2,,,,,,,
Ptpn9,Phc3,Eif3b,Kyat3,,,,,,,,,,Slc36a2,D17H6S53E,Vcan,Slc25a11,Mthfd1,Tmem250,,,,,,,
Ddx47,Wdfy2,D5Ertd579e,Calm2,,,,,,,,,,Gm20597,Qpct,Nol11,Syne1,Plcxd2,Sf1,,,,,,,
Ptpn6,Hlf,Nfic,Rnf11,,,,,,,,,,Slc6a2,Ropn1l,Star,Ywhae,Cox8a,Zmat2,,,,,,,
Rassf7,Gtf3c2,Tug1,Aff4,,,,,,,,,,Hsf3,Jpt1,Adgrf1,Emc3,Snd1,Zbtb41,,,,,,,
Med29,Usp40,Prpf4b,Amacr,,,,,,,,,,Tmem150c,Zfp324,Mettl14,Mbnl2,Eif4ebp2,Arih2,,,,,,,
Bmp5,Chmp1b2,Dhfr,Sh3glb1,,,,,,,,,,4933433G19Rik,Pllp,Cd72,Sdcbp,Cyp4v3,Kxd1,,,,,,,
Tnfaip2,Mrpl9,Aftph,Fbxo3,,,,,,,,,,Cacnb2,Tmem175,Dnajc24,Amt,Edem1,Arf3,,,,,,,
Msh3,Maco1,Pla2g12b,Prox1,,,,,,,,,,P3h4,Gmfg,Utp23,Ube2l6,Slc25a25,Rassf8,,,,,,,
Tet3,Acap2,Clint1,Chuk,,,,,,,,,,D430041D05Rik,Csnk1g1,Ripor2,Tmem248,Cyp17a1,Gde1,,,,,,,
Gucy1a1,Rnf7,Celsr1,Lpin1,,,,,,,,,,Nlrp3,Gpr137,Tlr13,Metap2,Rps4x,Mrpl17,,,,,,,
Ccdc127,Snord104,Dram2,Arfgef1,,,,,,,,,,Prox2,Tmem69,Wdr19,Nav2,Uba1,Ube2g2,,,,,,,
Bcl2l1,Bet1,Slc12a7,Psd3,,,,,,,,,,Ccdc81,Nup160,Brca1,5033403H07Rik,Sc5d,Cnih1,,,,,,,
Zc3h13,Nus1,Azi2,Zfp652,,,,,,,,,,Fam243,Mark4,Nr1h5,Nedd8,Tgoln1,Gstp3,,,,,,,
Ttc19,Mthfsl,Ric1,Park7,,,,,,,,,,Ifi208,Pramel12,Cytip,Ulk1,Ndufa5,Iqsec1,,,,,,,
Ctdnep1,Nrp2,Tfam,Clmn,,,,,,,,,,Kcnh7,Sesn2,Praf2,Coq5,Slc17a2,Tsc1,,,,,,,
Rxylt1,Glod4,Tpp1,Kat2b,,,,,,,,,,Dmkn,Lrrc42,Trmt10a,Trp53inp1,Ptp4a1,Esyt2,,,,,,,
Cstf1,Nfx1,Srsf6,Ddost,,,,,,,,,,Sall2,Med11,Septin6,Dlg1,Uqcr10,Senp6,,,,,,,
Dmkn,Ehmt2,Arl5b,Myo18a,,,,,,,,,,Cdcp1,Galnt10,Arhgap44,Tfpi2,Rplp0,Dock8,,,,,,,
Myo9a,Polr2i,Inhbe,Smg1,,,,,,,,,,Ackr1,Zbtb21,Cd52,Tango2,Ssr3,Drg1,,,,,,,
Tcerg1,Spen,Trappc8,Usp24,,,,,,,,,,Ptpn22,Zfp217,Degs1l,Fkbp5,Rplp2,Atp6ap2,,,,,,,
Srpk2,Ankrd13c,2810459M11Rik,Eif4h,,,,,,,,,,Vmn1r3,Mrps12,Rgs19,1810055G02Rik,Slc39a14,Tsc22d1,,,,,,,
Thtpa,Mrps18b,Dcxr,Zhx3,,,,,,,,,,Tmprss7,Inip,Fbxo7,Mrpl24,Mgll,Cdhr5,,,,,,,
Tmem129,Mlx,Akr1c12,Dag1,,,,,,,,,,Gnaz,Atp8a1,Nckipsd,Mgat2,Aox3,Rpl22l1,,,,,,,
Serhl,Rictor,Aldh5a1,Lbp,,,,,,,,,,Bglap2,Rex1bd,Cfap410,Akt1,Ei24,Adam23,,,,,,,
2010315B03Rik,Dip2c,Bpnt1,Psmc6,,,,,,,,,,Ube2u,Slc39a13,Borcs6,H1f4,Acot3,Zbtb7b,,,,,,,
Ctse,Trim2,Erp44,Nrp1,,,,,,,,,,AI463170,Btbd8,Dtwd1,Sumo3,Gclm,Slco2a1,,,,,,,
AI597479,Atg2a,Zc3h11a,Morf4l2,,,,,,,,,,Bcl2l10,Zbtb46,Matn2,Mfsd1,Gns,Ormdl2,,,,,,,
Cspp1,Kdm3b,Sft2d2,Psmb7,,,,,,,,,,Inha,Ppih,Get1,Cops6,Slco2b1,Tmem63b,,,,,,,
Nip7,Otud6b,Mrps21,Mylk,,,,,,,,,,Akr1b7,Agk,Kctd7,Sacm1l,St13,Cd163,,,,,,,
Cd63,Arl4a,Stoml2,Sh3bgrl,,,,,,,,,,Tm4sf20,Gpatch1,Sec61a2,Elk4,Ubr2,Plin3,,,,,,,
Uap1,Hsd17b7,Pitpna,Rab5b,,,,,,,,,,Map10,Orai1,Gemin4,Rnf7,Gys2,Apoo,,,,,,,
Rfwd3,Tnfaip8l1,Mrpl14,Parva,,,,,,,,,,Acrbp,Ap5s1,Telo2,Aqp11,Atl2,Sugct,,,,,,,
Ttll5,Eif2b5,Nsfl1c,Lrg1,,,,,,,,,,Azin2,Cep44,Itpka,Cep350,Klhl9,Msi2,,,,,,,
H4c4,Fitm2,Rab6a,Grsf1,,,,,,,,,,Ndufa4l2,Folr2,Ccdc85b,Dlat,Dcaf11,Golga2,,,,,,,
Mios,Pex11g,Slc35d1,Cds2,,,,,,,,,,Anxa13,Chsy3,Slc19a1,Capn2,Bhlhe40,Tbl1x,,,,,,,
Farp1,Neo1,Btg1,Spag9,,,,,,,,,,Cfap53,Pot1a,Lipo3,Itfg1,Btf3,Phkb,,,,,,,
Gm11437,Ccdc107,Nherf1,Ahsa1,,,,,,,,,,Foxl2os,Tjp3,Mrgbp,Eif5b,Gamt,Dhrs7,,,,,,,
Ramac,Ldah,Gbf1,Herc1,,,,,,,,,,Oas1b,Abcc4,Wdsub1,Bnip2,Hagh,Atf7ip,,,,,,,
Tbccd1,Lss,Ppdpf,Gstm6,,,,,,,,,,Snord49a,Spout1,Glmn,Pomp,Fyco1,Sel1l3,,,,,,,
