FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Adpgk,Txndc9,Smarcd2,Eif3h,Fh1,Eef1d,Lipm,Sf3b1,Apoa1,Cyp3a25,Tnni2,Cox5a,Gpc1,Lrrc3b,Lrsam1,Ercc1,Cog4,Arcn1,Lum,Slc16a10,Saa4,Dusp29,Mpi,Mybpc2,Acadm,
Aamdc,Rnf115,Ugdh,BC005537,Hao1,Etnk1,Rgcc,Slc25a23,Apoa5,Slc25a15,Ak1,Rps18,Cfd,Adgrb2,Riox2,Cd1d2,St3gal3,Slc29a1,Usp33,Gfra1,Akr1c6,Ddit3,Reep5,Tcap,Cyp3a25,
2310040G24Rik,Ubqln4,Ppp4r3b,Ell2,Cox6b1,Rnh1,Dusp29,Cyp4a14,Rpl41,Acsl5,Krt13,Cox8a,Tmem182,Neurl1b,Arrdc2,Capn5,Ip6k1,G0s2,Dynll1,Asgr2,Thrsp,Six4,Sorl1,Txlnb,Gulo,
Axin1,Mrps24,Dars1,Picalm,Bbox1,Ccny,Irf4,Gabarapl1,Rpl17,Ptprb,Plin4,Agl,Myh11,Rerg,Adpgk,Zdhhc1,Nipsnap3b,Atf5,Ccnl2,Grhpr,Apoe,Sytl2,Dysf,Ogdh,Ahsg,
Cox19,Trappc12,Dicer1,Usp34,Etnk2,Ildr2,Ccnb1,Pbld2,Gpx1,Cpt1a,Slc25a12,Higd1a,Filip1l,Hpgds,Gin1,Adcy3,Ssr4,Atl3,Ecsit,Pxmp2,Hp,Rasa4,Rcsd1,Tacc2,Fads2,
Smad2,Saa2,Dusp3,Slk,Arhgef12,Idh3g,Slc36a2,Retsat,Cyp2a4,Got1,Cox8b,Rplp2,Ucp2,Sult5a1,Trp53rka,Myc,Srr,Actr2,Ppp2r5c,Tomm20,Dcn,Insyn2b,Sgcb,Pygm,Abcb4,
Altre,Skil,Plbd1,Arhgap29,Uqcrh,Cul1,Slc6a2,Ecm1,Wfdc21,Fgl1,Fsd2,Pdlim5,Rhoq,Clec4a4,Abracl,Kcnj16,Cdc37l1,Marchf6,Tbc1d2b,Raph1,Rpl32,Ablim2,Fxyd6,3425401B19Rik,Cpt1a,
Vcam1,Ankle2,Ywhaq,Kdm5c,Vcp,Mapk14,Srpx,Son,Serpina1b,Hspa9,Myh8,Nnmt,Ehbp1l1,Ror2,Kif21b,Armcx2,Reps2,Eif3a,Fbxw2,Ugt3a1,Klkb1,Abhd8,Ssx2ip,Gnpat,Got1,
Zfp322a,Ncoa3,Larp1b,Chp1,Oip5os1,Gsta4,D430041D05Rik,Tubb4b,Rpl19,H2-Q10,Tmem38a,Timm8b,Slc12a2,Prrg4,Ednra,Srrm4,Clk1,Fh1,Pepd,Fmo2,Mat1a,Klhl38,ENSMUSG00000085779,Ldhb,Ddx5,
Tomm40,Fkbp1a,Crat,Numa1,Ctsh,Nr5a2,Insyn2b,Tmed7,Calr,Ubc,Slc2a4,Ccl9,Tent5c,Tgif2,Mapkbp1,Cbfa2t3,Phldb2,Fam91a1,Tmem234,Rps26,Rbp4,Rbfox1,Cd63,Cs,Tat,
Ahcyl2,Map2k2,Sympk,Slc19a2,Rps16,Cct2,Tead4,Baat,Rpl31,Mdh1,Pkm,Bloc1s1,Lgals1,Negr1,Rcc1l,Adh7,Slc43a3,Hao1,Pdpr,Atox1,Etfdh,Rtl8b,Smtn,Eno3,F13b,
Eed,Kdm6a,Naa15,Mdh2,Lypla1,Tomm20,Slc1a3,Rpn2,Dbi,Rpl4,Cryab,Sds,Smpx,Kdm4d,Usp18,Pik3cg,Apol9b,Brap,Pnlip,Acnat2,Slco1b2,Smox,Tbx15,Rilpl1,C1ra,
Lyrm2,Luc7l3,Vps4b,Apc,Gpx4,Acot4,Nova1,Mbnl1,Igfbp4,Mttp,Myo18b,Rps28,Art1,ENSMUSG00000097520,Ahcyl2,4933404O12Rik,Rbm47,BC005537,Fgfrl1,Slc25a23,Hacl1,Six1,ENSMUSG00000092607,Idh3a,Fth1,
Rab11fip2,Arhgef26,Fbxl5,Hao2,Saa4,Spop,Plcd3,Ly6e,C3,F10,Casq1,Amotl1,Lamb2,Gm12295,Rab11fip2,Dut,Tpmt,Tspan31,Eloc,Gck,Itm2b,Kif3c,Itga7,Apobec2,P4hb,
Cnst,Seh1l,Nmt1,Trp53inp2,Scarb2,Yy1,Foxc1,Nipsnap1,Hsp90b1,Macf1,Ckm,Tomm5,Crip1,Tbc1d10c,Haus6,Depdc5,Smarcd2,Bbox1,Pdhx,Ndufv3,Ndufa4,Cfap119,Srf,Rtn2,Hadh,
Cry2,Pfkl,Ldhd,Erap1,Atp5mg,Afmid,Arhgef4,Tspan12,Cyb5a,Slc10a1,Sacs,Rpl26,Tgm3,Siah1b,Tmem268,Ell3,Prxl2c,Etnk2,Gtf2h5,Prdx5,Pigr,Fam131a,Cpe,Myot,Ugt3a2,
Spry4,Cse1l,Riok3,Rnf125,Dcn,Nab1,P2rx6,Sdc1,Rpl37a,Serpind1,Krt4,Rps15a,Asb2,Arhgef33,Spata2,Rttn,Ncoa2,Arhgef12,Mrpl53,Taf1d,Rps17,Gm15179,Akr1b10,Mef2c,Masp1,
Atg4d,Fbxo11,Stat6,Pdcd6ip,Hal,Adam9,Rasd2,Ranbp2,Apoc3,Nedd4,Myl1,Angptl8,Cpt1b,Gnb5,Pde3a,ENSMUSG00000085972,Ppp4r3b,Usp34,Fam162a,Mst1,Rpl38,Lzts2,2310065F04Rik,Tnni2,Acsm1,
Stx4a,Gsk3b,Fads6,Anp32a,Klkb1,Ndufv3,Timp4,F12,Fabp1,Pcx,Myh2,Ndufs6,Col1a2,Mapk4,Fbxo45,Prmt6,Tnrc6b,Vcp,Gps1,Tubb4b,Rps12,P2rx6,Capn3,Ak1,Glud1,
Casp3,Aspscr1,Tbl1xr1,F7,Ddx3x,Mocs1,Rab6b,Igfbp2,Cp,Kng2,Myoz2,Sdhc,Tnnc1,Rflna,Tgfb1,Ctu2,Dars1,Arhgap29,Crybg3,Tmed7,Cpn2,Angptl7,Samd4,Plin4,Pon1,
Tmem131l,Crip2,Zhx1,Rap1b,Aldh8a1,Eng,Tpsb2,Cyp2c68,Itih3,Lgals9,Des,Aqp1,,Tmem79,Rbks,Lrrc32,Dicer1,Oip5os1,Sdhaf2,Atrx,Sec14l2,Adamtsl4,Trim35,Slc25a12,Ftl1,
Kif2a,Brd10,Stk11,S100a1,Iigp1,Ptgr2,Tll1,Ogdh,Bhmt,Akr1c14,Mylk2,Ndufa2,,Lgsn,Vopp1,Slc39a6,Dusp3,Ctsh,Eif3g,Rhoa,Kng1,Il15,Pdzrn3,Cox8b,Uqcrc2,
Tmem53,Mrpl49,Herc4,Ccdc50,Etfdh,Ptgr3,Cdh15,Cgnl1,Rpl7a,Dgat2,Tpm1,Atp5mc2,,Acan,Kif2a,Jdp2,Slc38a10,Rps16,Dync1i2,Hspg2,Hdlbp,Phlda3,Hspb1,Fsd2,Aldob,
