x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
-17.3688,9.236313,6.981062,AT1G03445,FLT,0,13,1,1
14.123851,-3.3893847,-10.104336,AT1G03457,FLT,9,7,20,14
19.749033,9.85695,0.79031056,AT1G03470,FLT,9,10,11,4
-4.5912647,8.778959,-17.541882,AT1G03475,FLT,11,1,4,9
9.202679,-13.074007,-4.2406764,AT1G03495,FLT,12,5,20,12
-1.861045,11.124991,17.956411,AT1G03510,FLT,0,14,9,6
20.998827,1.5730445,-2.252625,AT1G03520,FLT,9,9,17,4
-0.43568817,-1.3685576,7.0479856,AT1G03530,FLT,12,4,6,12
-2.7298603,11.510367,15.301104,AT1G03540,FLT,0,14,9,6
-3.3554122,11.722524,12.850535,AT1G03545,FLT,0,14,2,6
14.170025,-3.1830864,-10.357258,AT1G03550,FLT,9,7,20,14
18.69008,4.8047028,-11.362429,AT1G03560,FLT,9,8,14,4
-1.7020988,-9.561688,0.6780038,AT1G03590,FLT,12,5,5,12
-3.9631076,9.050461,-19.5818,AT1G03600,FLT,11,1,4,9
7.412728,-0.37719807,-17.700212,AT1G03610,FLT,9,7,3,14
10.981446,3.9170206,11.300316,AT1G03620,FLT,0,11,15,6
-5.2384844,6.427068,-20.39166,AT1G03630,FLT,1,1,4,9
6.317963,6.44052,19.577755,AT1G03650,FLT,0,12,0,6
-16.292322,11.233635,7.6026254,AT1G03660,FLT,0,13,1,1
-20.036592,-7.3802433,10.919495,AT1G03670,FLT,8,13,23,1
-5.4647756,8.3775,-16.354155,AT1G03680,FLT,11,1,4,9
8.601418,9.128887,-11.529961,AT1G03687,FLT,9,7,22,14
-0.3339082,1.0033163,17.405632,AT1G03700,FLT,0,14,9,6
-10.17552,11.604189,12.317285,AT1G03710,FLT,0,13,9,1
-19.192213,-8.054972,11.679937,AT1G03720,FLT,8,13,23,1
18.792648,0.8108019,6.3178663,AT1G03730,FLT,9,11,17,4
9.608959,-18.114864,3.835758,AT1G03740,FLT,19,4,21,10
21.222208,8.318953,-6.378745,AT1G03750,FLT,9,8,11,4
11.056763,1.5415165,-17.173668,AT1G03760,FLT,9,7,3,14
6.025085,-5.5405993,-14.979129,AT1G03770,FLT,17,6,3,2
