x,y,gene_id,Location,gmm,hdbscan,spectral,consensus
19.425142,-25.633307,AT1G60750,0,0,14,17,9
-16.045008,-71.58509,AT1G60760,0,2,15,16,5
78.29938,14.813459,AT1G60770,0,23,0,14,3
55.164776,-36.287983,AT1G60780,0,13,2,19,13
6.7241473,5.1275167,AT1G60787,0,20,12,11,8
-15.232158,22.964067,AT1G60790,0,20,12,3,8
27.013546,60.493694,AT1G60800,0,7,6,2,2
70.516174,-46.55513,AT1G60810,0,1,2,19,13
12.69388,-53.850136,AT1G60830,0,2,14,7,5
66.706795,40.635677,AT1G60850,0,21,6,14,4
31.27463,53.31416,AT1G60860,0,7,6,13,4
-26.834763,13.585679,AT1G60870,0,20,13,5,8
7.388004,11.273292,AT1G60890,0,20,12,11,8
78.505516,27.344736,AT1G60900,0,21,6,14,4
-30.451303,-6.2529473,AT1G60930,0,20,13,1,12
45.368366,-28.190977,AT1G60940,0,13,3,4,1
-26.334301,48.993435,AT1G60950,0,20,11,12,14
82.900955,17.81855,AT1G60960,0,23,0,14,3
8.749776,-64.34616,AT1G60970,0,2,14,7,5
12.32101,-58.06518,AT1G60980,0,2,14,7,5
-7.5744343,-73.08366,AT1G60985,0,2,15,7,5
-40.528877,-80.31007,AT1G60986,0,2,13,0,12
31.50074,4.1628942,AT1G60989,0,15,4,15,7
-16.348276,17.524088,AT1G60990,0,20,12,3,8
8.855457,68.763275,AT1G60995,0,7,7,2,2
-14.9010105,42.682446,AT1G61000,0,20,12,3,8
42.625423,46.575024,AT1G61010,0,24,6,13,4
-13.790728,21.6892,AT1G61030,0,20,12,3,8
24.672485,59.99647,AT1G61040,0,7,6,2,2
-16.087345,7.4827056,AT1G61050,0,20,12,5,8
-36.81315,43.641895,AT1G61065,0,20,11,11,8
-63.329437,-69.156105,AT1G61080,0,2,13,0,12
-15.868074,-93.099144,AT1G61097,0,2,0,18,5
78.739006,-35.420994,AT1G61100,0,19,2,19,13
-51.97515,66.00397,AT1G61140,0,14,9,8,10
81.446815,-29.361464,AT1G61150,0,19,1,6,0
-47.18062,52.046467,AT1G61170,0,14,10,11,6
-46.270775,66.89768,AT1G61180,0,14,9,8,10
17.62167,-47.556503,AT1G61190,0,20,14,17,9
-36.421635,46.924698,AT1G61210,0,20,11,12,14
-10.817823,-1.6584126,AT1G61215,0,20,12,5,8
-48.059006,-73.146255,AT1G61224,0,2,13,0,12
-63.584137,-55.184765,AT1G61226,0,2,13,9,12
-47.72403,-7.8432717,AT1G61230,0,2,13,1,12
-7.4569173,72.50239,AT1G61240,0,14,8,8,10
49.78781,17.338898,AT1G61250,0,9,4,10,11
-19.205118,-32.638428,AT1G61255,0,2,13,16,12
10.112718,7.9562035,AT1G61260,0,20,12,5,8
-11.486684,-90.69508,AT1G61270,0,2,0,18,5
-27.899918,-48.98399,AT1G61275,0,2,13,16,12
5.527742,6.7303076,AT1G61280,0,20,12,11,8
-29.50655,-79.313576,AT1G61290,0,2,0,0,5
12.459166,-57.464138,AT1G61300,0,2,14,7,5
-16.393564,8.10436,AT1G61310,0,20,12,5,8
-8.370949,45.559948,AT1G61340,0,20,12,3,8
-42.17141,44.623226,AT1G61350,0,20,11,11,8
-5.0382886,2.4779236,AT1G61360,0,20,12,5,8
4.320522,-25.678108,AT1G61370,0,20,15,17,9
-4.4496903,-11.277212,AT1G61380,0,20,13,5,8
-23.991972,-11.866148,AT1G61390,0,20,13,5,8
-42.712856,-11.6182165,AT1G61400,0,2,13,1,12
-53.6761,-27.228409,AT1G61410,0,2,13,9,12
-60.050175,-28.96133,AT1G61415,0,2,13,9,12
-59.043327,-17.67766,AT1G61420,0,2,13,9,12
-41.351803,6.823441,AT1G61430,0,20,13,1,12
-10.800198,-37.669086,AT1G61440,0,2,15,17,9
-48.734695,55.458508,AT1G61450,0,14,10,11,6
-41.267708,2.4930913,AT1G61460,0,20,13,1,12
-36.81369,6.2399387,AT1G61470,0,20,13,1,12
