profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url
RR8_LVR_FLT_ISS-T_YNG_FI5	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1673	flight	RR8_LVR_FLT_ISS-T_YNG_FI5	FL_ISS_05	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI6	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1674	flight	RR8_LVR_FLT_ISS-T_YNG_FI6	FL_ISS_06	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI7	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1675	flight	RR8_LVR_FLT_ISS-T_YNG_FI7	FL_ISS_07	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI8	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1676	flight	RR8_LVR_FLT_ISS-T_YNG_FI8	FL_ISS_08	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_ISS-T_YNG_FI9	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1677	flight	RR8_LVR_FLT_ISS-T_YNG_FI9	FL_ISS_09	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_LAR_OLD_FL11	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1678	flight	RR8_LVR_FLT_LAR_OLD_FL11	FL_LAR_11	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_LAR_OLD_FL15	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1679	flight	RR8_LVR_FLT_LAR_OLD_FL15	FL_LAR_15	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_LAR_OLD_FL16	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1680	flight	RR8_LVR_FLT_LAR_OLD_FL16	FL_LAR_16	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_LAR_OLD_FL3	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1681	flight	RR8_LVR_FLT_LAR_OLD_FL3	FL_LAR_03	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_LAR_OLD_FL4	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1682	flight	RR8_LVR_FLT_LAR_OLD_FL4	FL_LAR_04	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_LAR_OLD_FL7	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1683	flight	RR8_LVR_FLT_LAR_OLD_FL7	FL_LAR_07	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
RR8_LVR_FLT_LAR_OLD_FL8	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1684	flight	RR8_LVR_FLT_LAR_OLD_FL8	FL_LAR_08	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
