direction	term	clean_term	study_count	accessions	best_dgea_fdr_bh	best_glare_fdr_bh	mean_wald_stat_shift_mean	example_glare_clusters
down_in_flight	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	Insulin Receptor Signalling Cascade	3	OSD-137,OSD-168,OSD-48	5.5427187622555435e-05	4.454595651852671e-06	-0.4384007246647546	GC5;FLT4;GC4;FLT2;FLT3;GC9;GC8;FLT4;GC5;FLT11;GC3;GC2;FLT5
up_in_flight	REACTOME_DNA_REPLICATION	Dna Replication	3	OSD-137,OSD-379,OSD-48	8.052771673545272e-05	2.0613581085618668e-10	0.3411727615413696	GC5;FLT6;GC3;FLT5;FLT7;GC3;GC6;FLT1;FLT5;GC2;FLT8;GC6;GC8;FLT3;GC2
up_in_flight	REACTOME_M_G1_TRANSITION	M G1 Transition	3	OSD-137,OSD-379,OSD-48	8.617758075645768e-05	3.7171982206566483e-13	0.5240481231937033	FLT7;GC3;GC6;GC5;FLT6;FLT8;GC8;GC6;FLT3
down_in_flight	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	Mitochondrial Fatty Acid Beta Oxidation	3	OSD-168,OSD-379,OSD-48	0.00016115755805343594	1.0351336147865982e-09	-1.40912942917456	GC8;FLT7;FLT4;GC3;FLT10;GC9;FLT8;GC5
down_in_flight	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Asparagine N Linked Glycosylation	3	OSD-137,OSD-168,OSD-463	0.0002643257369309874	4.48930515519443e-08	-0.591766171292592	GC4;FLT4;FLT6;GC6;FLT8;FLT3;FLT7;GC8;FLT4;GC5;FLT7
down_in_flight	REACTOME_INTRINSIC_PATHWAY	Intrinsic Pathway	3	OSD-137,OSD-168,OSD-245	0.0005334952776811152	6.697946858960748e-06	-1.0402566241046307	FLT7;GC8;GC10;FLT3;FLT8;GC7
down_in_flight	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Chemokine Receptors Bind Chemokines	3	OSD-245,OSD-379,OSD-463	0.0006810591514473063	0.0003571443756786	-1.1931761479480103	GC0;GC11;FLT6;FLT0;GC0;GC0;FLT2
up_in_flight	REACTOME_MITOTIC_M_M_G1_PHASES	Mitotic M M G1 Phases	3	OSD-137,OSD-379,OSD-48	0.0007490661749085419	4.000369918211289e-12	0.2957183780476837	GC5;FLT6;FLT5;GC3;FLT7;GC3;FLT5;GC6;GC2;FLT8;GC6;GC8;FLT3
down_in_flight	REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	Abca Transporters In Lipid Homeostasis	3	OSD-137,OSD-168,OSD-379	0.0012296756368060293	0.0015791508346025	-1.0817794324742733	GC8;FLT4;FLT3;GC5
down_in_flight	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Initial Triggering Of Complement	3	OSD-137,OSD-168,OSD-463	0.001591729359940008	4.7646245418258785e-08	-1.1677386123451303	FLT6;GC4;FLT7;GC8;FLT3
down_in_flight	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	Gpvi Mediated Activation Cascade	3	OSD-168,OSD-379,OSD-463	0.0038046999795379385	0.009916754631446	-0.944662630169686	GC2;GC5;FLT1;GC6;FLT3
down_in_flight	REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	Regulation Of Complement Cascade	3	OSD-168,OSD-245,OSD-463	0.005934045843991893	6.052009323117974e-05	-1.3056555816074331	GC4;FLT6;FLT7;GC8;FLT8;GC7
down_in_flight	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Peptide Ligand Binding Receptors	3	OSD-245,OSD-379,OSD-463	0.007159190206082813	3.732128761609921e-13	-0.6151732499199344	FLT0;GC1;GC0;GC0;FLT0;GC4;FLT2;FLT11;FLT0;GC2;FLT10;GC1;GC0
down_in_flight	REACTOME_PHASE_II_CONJUGATION	Phase Ii Conjugation	3	OSD-137,OSD-168,OSD-245	0.008454525117196694	2.0998696915402655e-11	-0.38292755374302195	GC8;FLT7;FLT4;GC5;FLT8;GC7;FLT3;GC10;GC6;GC8;FLT8
down_in_flight	REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	Generic Transcription Pathway	3	OSD-168,OSD-463,OSD-48	0.01129696187306558	6.216818587826092e-05	-0.30223496188193916	GC2;FLT3;GC4;GC6;FLT11;FLT1;GC2;GC9;FLT1;FLT3;FLT2;GC3;FLT3;FLT4
down_in_flight	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Srp Dependent Cotranslational Protein Targeting To Membrane	2	OSD-168,OSD-245	5.277845601917566e-22	9.20903882934812e-53	-1.3893726838078804	GC7;FLT8;GC8;FLT4;FLT7;GC5
down_in_flight	REACTOME_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	2	OSD-168,OSD-245	4.392081707772455e-18	5.598359922263199e-44	-0.656779110336849	GC7;FLT8;GC5;FLT3;GC9;FLT9;FLT1;FLT4;GC8;GC5;FLT7;GC4
down_in_flight	REACTOME_TRANSLATION	Translation	2	OSD-168,OSD-245	2.3176438491286837e-17	3.6668687341988026e-57	-1.1272041043994079	GC7;FLT8;FLT3;GC5;FLT9;GC8;FLT4;FLT7;GC5
down_in_flight	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	Metabolism Of Lipids And Lipoproteins	2	OSD-137,OSD-168	8.196508234569428e-16	6.878385289669396e-38	-0.3731928385540646	GC8;FLT7;GC5;FLT4;FLT2;GC4;FLT3;GC10;GC6;FLT8;GC9;FLT13;GC8;GC5
down_in_flight	REACTOME_METABOLISM_OF_RNA	Metabolism Of Rna	2	OSD-168,OSD-245	8.196508234569428e-16	7.3316093204862285e-31	-0.5545431682174645	GC7;FLT8;FLT3;GC5;FLT10;GC12;FLT1;GC9;FLT4;GC8;GC5;FLT7;FLT2;GC4
down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Respiratory Electron Transport	2	OSD-168,OSD-245	4.968845464893286e-13	2.8456963096626845e-27	-1.1327005629305402	GC7;FLT8;FLT3;GC5;FLT9;FLT4;GC8;GC5;FLT7
down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	Respiratory Electron Transport Atp Synthesis By Chemiosmotic Coupling And Heat Production By Uncoupling Proteins 	2	OSD-168,OSD-245	5.880874796169353e-13	2.9164462762883363e-26	-1.1026029062046008	GC7;FLT8;FLT3;GC5;FLT9;FLT4;GC8;GC5;FLT7
