sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-47_Mmus_C57-6T_LVR_FLT_Rep2_F2__dup2	OSD-47_Mmus_C57-6T_LVR_FLT_Rep2_F2	FLT	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
OSD-47_Mmus_C57-6T_LVR_FLT_Rep3_F4	OSD-47_Mmus_C57-6T_LVR_FLT_Rep3_F4	FLT	OSD-47	RR-1	polyA enrichment	SINGLE	Female	C57BL/6NTac	Illumina HiSeq 3000
OSD-686_GSM7708685	OSD-686_GSM7708685	FLT	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-686_GSM7708686	OSD-686_GSM7708686	FLT	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-686_GSM7708687	OSD-686_GSM7708687	FLT	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-686_GSM7708688	OSD-686_GSM7708688	FLT	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-686_GSM7708689	OSD-686_GSM7708689	FLT	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-686_GSM7708690	OSD-686_GSM7708690	FLT	OSD-686	MHU-2	polyA enrichment	PAIRED	Male	C57BL/6J	Illumina NovaSeq 6000
OSD-173_Mmus_C57-6CR_LVR_FLT_Rep1_F58	OSD-173_Mmus_C57-6CR_LVR_FLT_Rep1_F58	FLT	OSD-173	BSP135	Ribo-depletion	PAIRED	Female	C57BL/6NCrl	Illumina HiSeq 4000
OSD-173_Mmus_C57-6CR_LVR_FLT_Rep2_F64	OSD-173_Mmus_C57-6CR_LVR_FLT_Rep2_F64	FLT	OSD-173	BSP135	Ribo-depletion	PAIRED	Female	C57BL/6NCrl	Illumina HiSeq 4000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI11	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI11	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI12	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI12	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI13	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI13	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI14	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI14	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
