sample	original_feature	condition	accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI15	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI15	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI16	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI16	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI17	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI17	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI18	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI18	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI19	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI19	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI20	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI20	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI1	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI1	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI10	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI10	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI2	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI2	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI3	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI3	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI4	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI4	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI5	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI5	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI6	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI6	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI7	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI7	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI8	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI8	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI9	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI9	GC	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
