gene	raw_pca_2d_kmeans_cluster	ftsae_pca_2d_kmeans_cluster	ftsae_latent_kmeans_cluster	raw_pca_10d_kmeans_cluster	ftsae_pca_10d_kmeans_cluster
ENSMUSG00000075102	0	12	3	0	0
ENSMUSG00000039115	12	9	11	0	3
ENSMUSG00000057072	0	3	3	0	0
ENSMUSG00000031312	0	3	3	0	0
ENSMUSG00000029655	12	11	6	0	12
ENSMUSG00000056919	0	12	0	0	14
ENSMUSG00000030890	12	9	8	0	5
ENSMUSG00000069816	0	3	3	0	0
ENSMUSG00000099370	0	3	3	0	0
ENSMUSG00000036622	0	12	0	0	14
ENSMUSG00000005611	0	3	3	0	0
ENSMUSG00000031583	0	0	11	0	3
ENSMUSG00000003452	0	0	0	0	14
ENSMUSG00000078962	0	3	3	0	0
ENSMUSG00000038650	12	2	4	0	1
ENSMUSG00000028329	0	12	0	0	14
ENSMUSG00000057411	0	12	0	0	14
ENSMUSG00000026433	0	12	0	0	14
ENSMUSG00000024286	12	11	6	11	12
ENSMUSG00000005628	0	3	3	0	0
ENSMUSG00000042428	0	3	3	0	0
ENSMUSG00000040017	5	13	2	11	2
ENSMUSG00000040612	8	6	6	11	12
ENSMUSG00000014351	0	3	3	0	0
ENSMUSG00000050394	0	3	3	0	0
ENSMUSG00000029426	5	4	13	11	2
ENSMUSG00000043384	0	12	0	0	14
ENSMUSG00000023026	0	0	0	0	14
ENSMUSG00000022439	0	3	3	0	0
ENSMUSG00000027670	0	3	3	0	0
ENSMUSG00000022064	0	12	0	0	14
ENSMUSG00000115139	0	3	3	0	0
ENSMUSG00000073916	0	3	3	0	0
ENSMUSG00000086918	0	3	3	0	0
