gene_cluster	n_genes	direction	rank	id.accession	mean_expression	z_score_across_studies
9	1631	high	17	OSD-241	172.75291	0.8720497127763914
9	1631	high	18	OSD-564	171.91612	0.8600614847936802
9	1631	high	19	OSD-246	171.23004	0.8502323957099454
9	1631	high	20	OSD-240	166.80711	0.7868675213787841
9	1631	low	1	OSD-719	18.044582	-1.3443710222802456
9	1631	low	2	OSD-426	21.570951	-1.2938506820238316
9	1631	low	3	OSD-419	23.57715	-1.2651089774256803
9	1631	low	4	OSD-420	27.267414	-1.2122406040603302
9	1631	low	5	OSD-421	28.901012	-1.1888369481178587
9	1631	low	6	OSD-876	30.219156	-1.1699526273372054
9	1631	low	7	OSD-289	31.183254	-1.1561405279793309
9	1631	low	8	OSD-714	31.601473	-1.150148935442731
9	1631	low	9	OSD-599	32.94758	-1.130864004211331
9	1631	low	10	OSD-318	33.75774	-1.1192572895248825
9	1631	low	11	OSD-686	34.46679	-1.109099121942644
9	1631	low	12	OSD-955	35.14045	-1.0994479673365505
9	1631	low	13	OSD-825	39.126305	-1.0423448250355802
9	1631	low	14	OSD-294	39.411526	-1.0382586213602771
9	1631	low	15	OSD-141	39.45739	-1.037601553173278
9	1631	low	16	OSD-720	40.59213	-1.021344760165353
9	1631	low	17	OSD-322	43.280357	-0.9828320172486362
9	1631	low	18	OSD-288	43.94196	-0.97335359661975
9	1631	low	19	OSD-881	45.033836	-0.957710892456399
9	1631	low	20	OSD-457	45.995197	-0.9439380045852638
10	1618	high	1	OSD-759	31.812521	4.210692321876231
10	1618	high	2	OSD-758	28.74736	3.6820149917730762
10	1618	high	3	OSD-464	20.257814	2.217742637704914
10	1618	high	4	OSD-246	18.82373	1.9703925962996984
10	1618	high	5	OSD-194	17.816154	1.7966064266479194
10	1618	high	6	OSD-243	17.671234	1.7716107025477659
10	1618	high	7	OSD-506	16.73967	1.6109350420065367
10	1618	high	8	OSD-162	15.915616	1.4688026487714585
10	1618	high	9	OSD-101	15.366193	1.3740384635501064
10	1618	high	10	OSD-308	15.338382	1.3692416371427822
10	1618	high	11	OSD-237	14.992995	1.3096694720877207
10	1618	high	12	OSD-248	14.896071	1.2929520724004224
10	1618	high	13	OSD-254	14.771345	1.2714393986209878
10	1618	high	14	OSD-900	14.449556	1.215937403986264
10	1618	high	15	OSD-163	13.736128	1.092885724070973
10	1618	high	16	OSD-244	13.693839	1.085591739966147
10	1618	high	17	OSD-211	13.224233	1.0045943482205184
10	1618	high	18	OSD-241	12.734728	0.9201647875964127
10	1618	high	19	OSD-667	12.588714	0.8949803709613052
10	1618	high	20	OSD-515	12.401916	0.862761551816533
10	1618	low	1	OSD-419	0.755923	-1.1459330928171534
10	1618	low	2	OSD-49	0.8385524	-1.1316812180934355
10	1618	low	3	OSD-876	0.9483588	-1.1127418689433455
10	1618	low	4	OSD-686	1.0074853	-1.102543761842823
10	1618	low	5	OSD-599	1.1816028	-1.0725120685568144
10	1618	low	6	OSD-318	1.1858709	-1.071775908951295
10	1618	low	7	OSD-881	1.3211405	-1.0484446806823322
10	1618	low	8	OSD-720	1.321199	-1.0484345906336168
10	1618	low	9	OSD-825	1.3413782	-1.0449540930089838
10	1618	low	10	OSD-421	1.4361558	-1.028606903245841
10	1618	low	11	OSD-48	1.4720113	-1.0224225657805288
10	1618	low	12	OSD-47	1.5453422	-1.0097744913641893
10	1618	low	13	OSD-420	1.632293	-0.9947772638794559
10	1618	low	14	OSD-457	1.6428236	-0.9929609516229758
10	1618	low	15	OSD-426	1.6784096	-0.9868230973735413
10	1618	low	16	OSD-719	1.7352992	-0.9770108095887768
10	1618	low	17	OSD-141	1.8320148	-0.9603293546220313
10	1618	low	18	OSD-714	1.8380129	-0.9592948055416758
10	1618	low	19	OSD-202	2.1448083	-0.9063788990167233
10	1618	low	20	OSD-173	2.1536877	-0.9048473848532201
11	964	high	1	OSD-758	3999.2898	3.373322730452765
11	964	high	2	OSD-161	3949.019	3.3101268372999972
11	964	high	3	OSD-901	3609.9695	2.8839045377642964
11	964	high	4	OSD-194	3158.3816	2.3162091623677883
11	964	high	5	OSD-162	3010.6636	2.1305114821092572
11	964	high	6	OSD-98	2928.3376	2.0270186970393005
11	964	high	7	OSD-512	2859.7908	1.9408478732456846
11	964	high	8	OSD-759	2619.9626	1.6393575985291364
11	964	high	9	OSD-613	2285.8967	1.2194002291937924
11	964	high	10	OSD-515	2270.2275	1.199702331229381
11	964	high	11	OSD-900	2257.8584	1.1841530198598407
11	964	high	12	OSD-100	2223.895	1.1414573118642504
11	964	high	13	OSD-99	2133.1726	1.027409333774332
11	964	high	14	OSD-247	2104.144	0.9909172090423913
11	964	high	15	OSD-464	2048.852	0.9214091183773765
11	964	high	16	OSD-246	2034.3735	0.9032080605264502
11	964	high	17	OSD-237	2027.9154	0.895089522576589
11	964	high	18	OSD-211	2015.2028	0.8791083941423115
11	964	high	19	OSD-236	1905.7174	0.7414732731538243
11	964	high	20	OSD-612	1896.4955	0.7298803363581992
11	964	low	1	OSD-419	198.16606	-1.40510549693747
11	964	low	2	OSD-719	238.54431	-1.3543456209717855
11	964	low	3	OSD-955	252.54262	-1.336748214463846
11	964	low	4	OSD-420	253.99797	-1.3349186803585624
11	964	low	5	OSD-426	303.69742	-1.272441036637927
11	964	low	6	OSD-421	318.85175	-1.2533903865690643
11	964	low	7	OSD-714	382.9378	-1.1728272133475734
11	964	low	8	OSD-294	430.274	-1.113320433319047
11	964	low	9	OSD-322	434.5275	-1.1079733186615262
