gene_cluster	n_genes	direction	rank	study.source name	n_profiles	mean_expression	z_score_across_sources
5	1347	low	2	EU190	1	35.17520523071289	-0.7455397844314575
5	1347	low	3	RR-10_VIV-07	1	80.28211212158203	-0.7198054194450378
5	1347	low	4	A1402_3AL - GAMMA10	1	90.70824432373047	-0.7138570547103882
5	1347	low	5	EU230	1	112.17742919921875	-0.7016085386276245
5	1347	low	6	RR-10_BL-18	1	116.34521484375	-0.6992306709289551
5	1347	low	7	20	1	124.4291000366211	-0.6946187019348145
5	1347	low	8	RR-10_VIV-21	1	127.77951049804688	-0.6927071809768677
5	1347	low	9	EU191	1	135.2873077392578	-0.6884238123893738
5	1347	low	10	EU183	1	140.52857971191406	-0.6854336261749268
5	1347	low	11	K4	1	141.64662170410156	-0.6847957372665405
5	1347	low	12	RR-10_VIV-06	1	145.15293884277344	-0.6827952861785889
5	1347	low	13	A1402_1CR - SHAM19	1	150.18856811523438	-0.6799224019050598
5	1347	low	14	A1402_3KR - GAMMA13	1	151.4877471923828	-0.6791811585426331
5	1347	low	15	K2	1	151.6147003173828	-0.679108738899231
5	1347	low	16	56Fe Irradiated_2 months [E7_S35]	1	151.78025817871094	-0.6790143251419067
5	1347	low	17	28Si Irradiated_2 months [A6_S43]	1	155.02894592285156	-0.6771608591079712
5	1347	low	18	H4	1	155.88938903808594	-0.6766699552536011
5	1347	low	19	Non-Irradiated Control_4 months [B13_S45]	1	156.36524963378906	-0.676398515701294
5	1347	low	20	K8	1	161.09873962402344	-0.6736979484558105
6	1496	high	1	RRRM-2_BL_LAR_01	2	18783.6015625	6.9408040046691895
6	1496	high	2	RR-4_NSG3-W	1	13536.123046875	4.500843048095703
6	1496	high	3	RRRM-2_FL_ISS_16	1	10865.66015625	3.2591373920440674
6	1496	high	4	RR3_FLT_F8	2	10755.1015625	3.2077300548553467
6	1496	high	5	GCRerun_26	1	10586.541015625	3.1293530464172363
6	1496	high	6	MHU-8_FLT20	2	10363.408203125	3.025601387023926
6	1496	high	7	MHU-8_HGC10	2	10337.056640625	3.0133485794067383
6	1496	high	8	MHU-8_FLT21	2	10300.236328125	2.996227741241455
6	1496	high	9	RR3_BSL_B8	2	10282.84375	2.98814058303833
6	1496	high	10	MHU-8_FLT03	2	10226.296875	2.9618475437164307
6	1496	high	11	MHU-8_FLT14	2	10215.3095703125	2.9567387104034424
6	1496	high	12	RR3_GC_G4	3	10171.83203125	2.9365227222442627
6	1496	high	13	MHU-8_HGC03	2	10036.30859375	2.873507261276245
6	1496	high	14	RR3_BSL_B5	2	9955.3564453125	2.8358664512634277
6	1496	high	15	MHU-8_FLT12	2	9944.2490234375	2.8307015895843506
6	1496	high	16	RR3_BSL_B3	4	9871.716796875	2.79697585105896
6	1496	high	17	MHU-8_HGC11	2	9592.103515625	2.666961908340454
6	1496	high	18	MHU-8_FLT10	2	9591.982421875	2.666905403137207
6	1496	high	19	MHU-8_FLT22	2	9588.1630859375	2.6651296615600586
6	1496	high	20	RR3_FLT_F9	2	9521.48828125	2.634127378463745
6	1496	low	1	EU190	1	27.346256256103516	-1.7804378271102905
6	1496	low	2	A1402_2JR - CAPE17	1	71.06684112548828	-1.7601087093353271
6	1496	low	3	RR-10_VIV-07	1	401.4525451660156	-1.6064866781234741
6	1496	low	4	EU183	1	475.7626953125	-1.5719341039657593
6	1496	low	5	EU230	1	500.01202392578125	-1.5606588125228882
6	1496	low	6	A1402_3AL - GAMMA10	1	547.8168334960938	-1.5384305715560913
6	1496	low	7	EU231	1	553.89306640625	-1.5356053113937378
6	1496	low	8	RR-10_BL-18	1	562.8081665039062	-1.531459927558899
6	1496	low	9	control_8w_3	1	565.604248046875	-1.530159831047058
6	1496	low	10	EU191	1	591.9097290039062	-1.5179283618927002
6	1496	low	11	RR-10_VIV-21	1	607.5855712890625	-1.5106394290924072
6	1496	low	12	MMS_1d_2	1	626.8208618164062	-1.5016955137252808
6	1496	low	13	control_10w_1	1	652.2867431640625	-1.4898544549942017
