gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000000171	18	6	18	13
ENSMUSG00000030785	11	10	15	12
ENSMUSG00000049823	16	0	19	6
ENSMUSG00000026134	9	1	17	4
ENSMUSG00000075095	3	0	14	0
ENSMUSG00000015247	15	2	8	2
ENSMUSG00000009614	19	2	10	9
ENSMUSG00000020402	18	6	6	13
ENSMUSG00000026220	22	0	7	0
ENSMUSG00000002014	7	7	6	11
ENSMUSG00000061979	20	1	3	3
ENSMUSG00000035235	10	10	2	12
ENSMUSG00000027801	7	7	6	11
ENSMUSG00000001323	7	7	6	11
ENSMUSG00000084174	22	0	0	0
ENSMUSG00000085794	22	0	0	0
ENSMUSG00000024780	7	7	6	11
ENSMUSG00000030107	12	5	5	7
ENSMUSG00000046351	2	1	3	3
ENSMUSG00000002984	12	5	1	7
ENSMUSG00000034659	8	5	5	5
ENSMUSG00000077092	3	0	13	0
ENSMUSG00000050215	22	0	16	0
ENSMUSG00000092673	3	0	7	0
ENSMUSG00000029772	2	1	3	3
ENSMUSG00000030619	12	8	1	7
ENSMUSG00000045854	23	1	3	3
ENSMUSG00000040022	12	8	1	7
ENSMUSG00000038047	8	4	5	5
ENSMUSG00000068506	3	0	9	0
ENSMUSG00000067767	22	0	16	0
ENSMUSG00000029564	13	10	0	1
ENSMUSG00000055298	3	0	14	0
ENSMUSG00000046913	22	0	12	0
ENSMUSG00000087115	3	0	13	0
ENSMUSG00000038155	5	4	5	5
ENSMUSG00000045917	8	4	5	5
ENSMUSG00000040855	7	7	6	11
ENSMUSG00000009549	23	2	4	2
ENSMUSG00000027715	10	10	2	12
ENSMUSG00000047030	8	4	5	5
ENSMUSG00000026034	7	7	6	11
ENSMUSG00000090141	3	0	11	0
ENSMUSG00000020419	13	0	19	6
ENSMUSG00000041741	8	5	5	5
ENSMUSG00000038949	2	1	3	3
ENSMUSG00000026701	18	6	18	13
ENSMUSG00000037944	17	10	15	8
ENSMUSG00000030970	14	4	5	5
ENSMUSG00000059077	22	0	16	0
ENSMUSG00000025270	2	1	3	3
ENSMUSG00000096351	1	0	0	1
ENSMUSG00000092111	17	0	15	8
ENSMUSG00000087480	14	0	5	5
ENSMUSG00000033149	15	2	8	2
ENSMUSG00000086219	16	0	19	6
ENSMUSG00000027074	7	7	6	11
ENSMUSG00000078753	3	0	13	0
ENSMUSG00000068173	3	0	13	0
ENSMUSG00000018740	17	0	15	8
ENSMUSG00000044317	17	0	15	8
ENSMUSG00000003549	21	0	2	4
ENSMUSG00000022982	18	6	18	13
ENSMUSG00000028862	16	0	19	6
ENSMUSG00000066030	3	0	13	0
ENSMUSG00000054459	22	0	0	0
ENSMUSG00000015947	10	10	2	12
ENSMUSG00000035764	12	5	5	7
ENSMUSG00000102099	22	0	0	0
ENSMUSG00000027555	11	0	0	1
ENSMUSG00000068246	15	2	4	2
ENSMUSG00000031786	3	0	14	0
ENSMUSG00000091155	22	0	7	0
ENSMUSG00000047544	3	0	9	0
ENSMUSG00000070780	7	7	6	11
ENSMUSG00000046300	3	0	14	0
ENSMUSG00000021376	7	7	6	11
ENSMUSG00000099968	3	0	9	0
ENSMUSG00000020974	17	10	15	8
ENSMUSG00000068742	24	3	4	2
ENSMUSG00000051051	22	0	0	0
ENSMUSG00000027306	16	0	19	6
ENSMUSG00000065508	3	0	9	0
ENSMUSG00000000167	16	0	19	6
ENSMUSG00000078619	15	2	4	2
ENSMUSG00000112937	1	0	0	1
ENSMUSG00000002603	14	4	5	5
ENSMUSG00000030111	22	0	0	0
ENSMUSG00000032988	1	0	0	1
ENSMUSG00000000567	10	10	2	12
ENSMUSG00000020299	3	0	9	0
ENSMUSG00000086823	22	0	7	0
ENSMUSG00000032511	22	0	7	0
ENSMUSG00000024427	2	3	3	3
ENSMUSG00000011148	20	1	3	3
ENSMUSG00000033027	22	0	7	0
ENSMUSG00000029136	8	4	5	5
ENSMUSG00000073907	1	0	0	1
ENSMUSG00000002820	12	8	1	7
ENSMUSG00000044167	0	9	1	10
ENSMUSG00000041750	11	10	2	12
ENSMUSG00000116848	3	0	13	0
ENSMUSG00000042498	1	0	0	1
ENSMUSG00000028718	1	10	0	1
ENSMUSG00000035547	4	1	2	4
ENSMUSG00000062873	22	0	13	0
ENSMUSG00000021482	18	6	6	13
ENSMUSG00000030805	2	1	3	3
ENSMUSG00000037994	16	0	19	6
ENSMUSG00000037788	14	4	5	5
ENSMUSG00000047720	3	0	9	0
ENSMUSG00000050334	22	0	0	0
ENSMUSG00000096697	3	0	13	0
ENSMUSG00000031628	12	8	1	7
ENSMUSG00000090219	17	0	15	8
ENSMUSG00000077191	3	0	13	0
ENSMUSG00000078672	23	2	4	2
ENSMUSG00000045968	10	10	2	12
ENSMUSG00000033767	24	3	4	2
ENSMUSG00000039199	16	0	19	6
ENSMUSG00000104401	22	0	7	0
ENSMUSG00000070943	3	0	13	0
ENSMUSG00000020654	4	1	2	4
ENSMUSG00000021693	2	1	3	3
ENSMUSG00000048772	2	1	3	3
ENSMUSG00000072704	6	2	8	9
ENSMUSG00000049421	15	2	4	2
ENSMUSG00000032396	12	8	1	7
ENSMUSG00000022346	21	1	2	4
ENSMUSG00000095312	22	0	7	0
ENSMUSG00000062960	6	2	8	9
ENSMUSG00000021381	22	0	13	0
ENSMUSG00000022155	3	0	13	0
ENSMUSG00000058407	7	7	6	11
ENSMUSG00000025077	0	9	1	10
ENSMUSG00000044243	3	0	13	0
ENSMUSG00000026626	6	2	8	9
ENSMUSG00000051497	17	10	2	8
ENSMUSG00000052384	14	4	5	5
ENSMUSG00000057110	23	3	4	2
ENSMUSG00000025920	20	1	17	3
ENSMUSG00000036091	1	0	15	1
ENSMUSG00000038583	21	1	2	4
ENSMUSG00000033106	8	5	5	5
ENSMUSG00000019877	18	6	18	13
ENSMUSG00000058028	3	0	13	0
ENSMUSG00000055820	22	0	12	0
ENSMUSG00000074259	22	0	0	0
ENSMUSG00000029201	18	7	6	11
ENSMUSG00000021572	17	0	15	8
ENSMUSG00000021070	22	0	7	0
ENSMUSG00000110253	3	0	9	0
ENSMUSG00000073002	8	4	5	5
ENSMUSG00000050677	13	0	0	1
ENSMUSG00000033436	21	1	17	4
ENSMUSG00000031982	10	10	2	12
ENSMUSG00000115609	3	0	13	0
ENSMUSG00000021728	17	10	15	8
ENSMUSG00000040856	3	0	14	0
ENSMUSG00000064899	8	4	5	5
ENSMUSG00000108827	17	10	15	8
ENSMUSG00000060030	3	0	13	0
ENSMUSG00000032033	1	0	0	1
ENSMUSG00000006998	18	6	6	13
ENSMUSG00000029463	10	10	2	12
ENSMUSG00000043831	8	4	5	5
ENSMUSG00000021241	23	3	4	2
ENSMUSG00000039518	1	0	0	1
ENSMUSG00000055811	3	0	11	0
ENSMUSG00000060044	17	10	15	8
ENSMUSG00000005882	23	2	4	2
ENSMUSG00000022853	19	2	10	9
ENSMUSG00000031511	24	3	4	2
ENSMUSG00000066262	22	0	12	0
ENSMUSG00000044816	22	0	0	0
ENSMUSG00000109058	22	0	7	0
ENSMUSG00000019194	16	0	19	6
ENSMUSG00000056296	13	10	0	1
ENSMUSG00000032269	3	0	9	0
ENSMUSG00000019791	0	9	1	10
ENSMUSG00000004542	22	0	7	0
ENSMUSG00000091183	13	10	0	1
ENSMUSG00000022151	23	1	3	3
