sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep6_F6	BALB/c	Female	FLT	FLT	RR-3	OSD-137	OSD-137	25.159922	88.05212	-5.0786366	-31.649317	-13.709646	-2.2476983	18.209501	29.35706	23.612652	-17.913212	31.91787	-1.4793776	-1.7037803	19.239185	-8.51188	3.7701526	1.0906717	24.057451	6.7472343	0.9912574
OSD-173_Mmus_C57-6CR_LVR_FLT_Rep1_F58	C57BL/6NCrl	Female	FLT	FLT	BSP135	OSD-173	OSD-173	-38.778954	-72.84594	58.88263	-39.306477	-3.291817	-50.45478	-13.80392	11.527544	-6.0060387	-50.1237	-11.581581	42.906532	-28.843449	32.58569	6.8675647	-6.943657	35.950356	-12.34031	-11.616958	12.233843
OSD-173_Mmus_C57-6CR_LVR_FLT_Rep2_F64	C57BL/6NCrl	Female	FLT	FLT	BSP135	OSD-173	OSD-173	-28.051731	-26.351522	38.445908	-35.70125	-20.849583	-10.63864	-19.02205	24.445318	7.0665197	-39.926495	-15.562451	33.85739	-19.641151	40.99768	20.586414	-10.861455	44.041924	-15.024223	-0.31117827	6.745533
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI11	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	OSD-379	39.46708	105.2666	-13.964748	1.2159301	2.6399338	16.51227	21.513815	-0.80725414	-8.369073	-14.77855	11.559193	-2.6947489	8.802016	-19.186665	22.31115	1.3607588	1.9840602	12.385922	7.5145802	11.983157
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI12	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	OSD-379	-41.33553	34.597645	-40.54966	-2.13047	-0.06044183	-25.349424	-18.428865	-3.4439886	-5.470381	-3.0066574	0.5195541	1.233635	4.350655	-18.4285	12.980941	4.0986176	7.1884913	2.9895337	5.798718	-2.934401
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI13	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	OSD-379	27.366514	-14.99102	-11.152775	5.3538656	16.663536	-30.286398	5.21751	-4.937457	2.9073694	0.922768	-42.22287	-3.3882859	27.165756	15.901941	31.703259	-4.375173	4.3582635	32.691494	-7.0228376	4.041551
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI14	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	OSD-379	38.17363	64.07735	-46.600807	10.28038	-7.1424556	11.488225	10.860104	-4.2068005	-0.22297098	-9.915172	-4.818825	6.349949	8.409435	-17.86691	16.016499	14.767677	3.8786912	-9.212041	-1.6384708	-2.0655289
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI15	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	OSD-379	-11.304618	83.05253	-34.203888	26.379187	-8.823421	37.23337	21.823505	-19.223803	-24.267952	2.7680125	12.171331	-10.590168	-9.918016	16.398882	4.3252983	-2.4052043	1.3189474	3.708797	22.409	-25.196823
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI16	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	OSD-379	4.8427463	68.78927	-34.924706	11.6970625	-8.7409725	14.253371	23.94339	-9.392357	-18.887918	-10.287945	7.3058877	2.8930683	-10.811517	0.0033781696	7.448664	-0.5337488	-3.7965465	-7.497266	17.463388	-4.133512
OSD-379_RR8_LVR_GC_ISS-T_OLD_GI17	BALB/cAnNTac	Female	GC	GC	RRRM-1 (RR-8)	OSD-379	OSD-379	3.7290893	87.597565	-29.064907	-6.321792	-22.37804	9.330814	12.314806	-5.913481	-6.8254924	-10.039816	-11.643216	8.206223	-17.963968	-4.318852	9.738062	22.547062	-7.1759477	19.65041	5.5983896	5.6522837
