sample	accession	condition	stratum	profile	original_feature	source_profile_index	official_sample_name	official_material_type	official_tissue	library_selection	library_layout	sex	strain	ercc_status
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI6	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI6	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI6	1709	RR8_LVR_GC_ISS-T_YNG_GI6	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI7	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI7	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI7	1710	RR8_LVR_GC_ISS-T_YNG_GI7	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI8	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI8	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI8	1711	RR8_LVR_GC_ISS-T_YNG_GI8	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_ISS-T_YNG_GI9	OSD-379	ground	ISS-T_YNG	RR8_LVR_GC_ISS-T_YNG_GI9	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI9	1712	RR8_LVR_GC_ISS-T_YNG_GI9	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_OLD_GL11	OSD-379	ground	LAR_OLD	RR8_LVR_GC_LAR_OLD_GL11	OSD-379_RR8_LVR_GC_LAR_OLD_GL11	1713	RR8_LVR_GC_LAR_OLD_GL11	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_OLD_GL12	OSD-379	ground	LAR_OLD	RR8_LVR_GC_LAR_OLD_GL12	OSD-379_RR8_LVR_GC_LAR_OLD_GL12	1714	RR8_LVR_GC_LAR_OLD_GL12	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_OLD_GL15	OSD-379	ground	LAR_OLD	RR8_LVR_GC_LAR_OLD_GL15	OSD-379_RR8_LVR_GC_LAR_OLD_GL15	1715	RR8_LVR_GC_LAR_OLD_GL15	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_OLD_GL4	OSD-379	ground	LAR_OLD	RR8_LVR_GC_LAR_OLD_GL4	OSD-379_RR8_LVR_GC_LAR_OLD_GL4	1717	RR8_LVR_GC_LAR_OLD_GL4	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_OLD_GL7	OSD-379	ground	LAR_OLD	RR8_LVR_GC_LAR_OLD_GL7	OSD-379_RR8_LVR_GC_LAR_OLD_GL7	1718	RR8_LVR_GC_LAR_OLD_GL7	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_OLD_GL8	OSD-379	ground	LAR_OLD	RR8_LVR_GC_LAR_OLD_GL8	OSD-379_RR8_LVR_GC_LAR_OLD_GL8	1719	RR8_LVR_GC_LAR_OLD_GL8	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_YNG_GL1	OSD-379	ground	LAR_YNG	RR8_LVR_GC_LAR_YNG_GL1	OSD-379_RR8_LVR_GC_LAR_YNG_GL1	1720	RR8_LVR_GC_LAR_YNG_GL1	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
OSD-379_RR8_LVR_GC_LAR_YNG_GL13	OSD-379	ground	LAR_YNG	RR8_LVR_GC_LAR_YNG_GL13	OSD-379_RR8_LVR_GC_LAR_YNG_GL13	1721	RR8_LVR_GC_LAR_YNG_GL13	Left Lobe of the Liver	liver	ribo-depletion	PAIRED	Female	BALB/cAnNTac	not_annotated
