GO,Description,_LogP_FLT_cluster_02,_LogP_FLT_cluster_03,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_07,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_13,_LogP_FLT_cluster_14,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_07,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13,_LogP_GC_cluster_14
mmu04936,Alcoholic liver disease - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-2.389773400051208,0.0,0.0,0.0,-5.065812342573376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3899899645958596,0.0,0.0,0.0,-5.063969564633247,0.0
GO:1905952,regulation of lipid localization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.3290124624242665,-2.493986633814113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.249937714663941,0.0,0.0,-6.3241761524351725,0.0,0.0,0.0,-3.263357456506927,0.0
GO:0010038,response to metal ion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3424544675793375,-10.665278698407697,0.0,0.0,0.0,-2.0463094377526123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1883325368463105,0.0,0.0,-2.45161193863268,-5.292920828399792,0.0
GO:0031667,response to nutrient levels,0.0,0.0,0.0,0.0,-3.2946732643148433,-3.5166242185292527,0.0,0.0,-6.390212914561588,-6.259677421367488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1697640621754215,-14.484102915616692,0.0,0.0,0.0,0.0,0.0
GO:0007584,response to nutrient,0.0,0.0,0.0,0.0,-5.579394851267949,-2.5849886967014712,0.0,0.0,-4.196123633903805,-4.225361536484434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.999126876379293,-7.516236435086607,0.0,0.0,0.0,0.0,0.0
GO:0019725,cellular homeostasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6266722654508805,-4.763126089462783,0.0,-2.3255604596376367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3431713442441464,0.0,-3.760002180320377,0.0,0.0,0.0,0.0,0.0
WP79,Tryptophan metabolism,0.0,0.0,0.0,0.0,-4.951468110915883,0.0,0.0,0.0,-2.8878278274737115,-4.504956897566719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.674571636418468,0.0,0.0,-7.8492053639254475,0.0,0.0,0.0,0.0,0.0
GO:0009636,response to toxic substance,0.0,0.0,0.0,0.0,-4.031213276273347,0.0,0.0,0.0,-7.365771398154371,-4.544206872119888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.042458471801844,0.0,0.0,-10.801362422236943,0.0,0.0,0.0,0.0,0.0
GO:0090181,regulation of cholesterol metabolic process,0.0,0.0,0.0,-3.6091034116315064,-2.6399751257035127,0.0,0.0,0.0,-2.5424882462912555,-5.230932603522655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.913618996971859,0.0,0.0,-7.99477084576851,0.0,0.0,0.0,0.0,0.0
mmu00640,Propanoate metabolism - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-8.931364362897622,0.0,0.0,0.0,0.0,-2.737229939932011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.809777545579891,0.0,0.0,-3.5430724103953093,0.0,0.0,0.0,0.0,0.0
R-MMU-1592230,Mitochondrial biogenesis,0.0,0.0,0.0,0.0,-11.966819255084848,0.0,0.0,0.0,-3.6348798825991095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9097137883197317,0.0,0.0,-4.729248721036311,0.0,0.0,0.0,-5.515121242539399,0.0
CORUM:3047,Parvulin-associated pre-rRNP complex,0.0,0.0,0.0,0.0,-10.776592235237436,0.0,0.0,0.0,-4.731353702522648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.37469976415916,0.0,0.0,-8.28653227278607,0.0,0.0,0.0,0.0,0.0
mmu01240,Biosynthesis of cofactors - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-4.767139327072337,0.0,0.0,-2.923319626151893,0.0,-2.85549363340701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1782781954156825,0.0,0.0,-3.0852118496846903,0.0,0.0,0.0,-4.571302183188987,0.0
mmu00071,Fatty acid degradation - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-8.694621439194213,0.0,0.0,-2.753691542763606,0.0,-6.802120357465146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0480170860189713,0.0,0.0,-7.344003427618066,0.0,0.0,0.0,-9.688629854503095,0.0
mmu00620,Pyruvate metabolism - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-9.185811759835552,0.0,0.0,0.0,0.0,-4.454313938149391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7788861958219275,0.0,0.0,-4.492462868850469,0.0,0.0,-2.8973600960118215,-3.2997047674059843,0.0
