analysis_scope	tissue	gene_id	gene_symbol	expimap_pathway_member	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	expimap_gene_effect	expimap_flt_gc_direction	analysis_roles	generative_any_arm_real_stable	generative_stable_synthetic_arms	generative_all_compared_arms	generative_all_arm_patterns	generative_max_arm_real_permutation_roc_auc	generative_max_arm_minus_real_permutation_roc_auc	generative_any_arm_stable_feature	generative_selected_arm_stable_feature	generative_selected_arm	generative_selection_pattern	real_stable	arm_stable	real_selection_frequency	arm_selection_frequency	real_permutation_roc_auc	arm_real_permutation_roc_auc	arm_minus_real_permutation_roc_auc	selected_arm_importance_rank	real_linear_shap_flight_minus_ground	selected_linear_shap_flight_minus_ground	matched_primary	consensus_secondary	generative_real_meta_effect	generative_real_meta_fdr	generative_flt_gc_direction
canonical_tissue	skeletal_muscle	ENSMUSG00000018906	P4ha2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight;guided_real_only	guided_low_weight;guided_real_only	synthetic_emergent_real_transfer	0.0047953216374268	0.0047953216374268	True	True	guided_real_only	synthetic_emergent_real_transfer	False	True	0.0	0.875	0.0	0.0015037593984962	0.0015037593984962	70.0	NA	0.0568400578490004	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000029202	Pds5a	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_reinforced	0.0197577276524645	0.0136417432470064	True	True	guided_real_only	real_only	True	False	0.75	0.0	0.006115984405458	0.0	-0.006115984405458	123.0	-0.0667124016489749	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000027665	Pik3ca	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	generated_only;real_plus_generated	generated_only;real_plus_generated	synthetic_emergent_real_transfer	0.0148391812865497	0.0153143274853801	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000020974	Pole2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_attenuated;shared_reinforced	0.00906432748538	0.0040448343079921	True	True	guided_real_only	real_only	True	False	0.75	0.0	0.0050194931773879	0.0	-0.0050194931773879	123.0	0.0628401117521779	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000045996	Polr2k	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	generated_only	generated_only	synthetic_emergent_real_transfer	0.003859649122807	0.003859649122807	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000021285	Ppp1r13b	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_reinforced	0.0113826232247285	0.0010756056808688	True	True	guided_real_only	real_only	True	False	0.5	0.0	0.0103070175438596	0.0	-0.0103070175438596	123.0	-0.0768322602627081	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000061119	Prcp	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	real_plus_generated	real_plus_generated	synthetic_emergent_real_transfer	0.0035087719298246	0.0056530214424951	True	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000031429	Psmd10	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	guided_low_weight;guided_real_only	guided_low_weight;guided_real_only	synthetic_emergent_real_transfer	0.00567738791423	0.00567738791423	True	True	guided_real_only	synthetic_emergent_real_transfer	False	True	0.0	0.875	0.0	0.0007309941520468	0.0007309941520468	91.0	NA	0.0610034424527478	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000032487	Ptgs2	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True		generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only	0.0	-0.0011695906432748	True	True	guided_real_only	real_only	True	False	0.5	0.0	0.0011695906432748	0.0	-0.0011695906432748	123.0	0.0064684563684978	NA	False	False	NA	NA	NA
canonical_tissue	skeletal_muscle	ENSMUSG00000028771	Ptpn12	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	True	generated_only;real_plus_generated	generated_only;guided_low_weight;guided_real_only;real_plus_generated	real_only;shared_reinforced	0.0225694444444444	0.0194444444444444	True	True	guided_real_only	real_only	True	False	1.0	0.375	0.0031249999999999	-9.746588693953508e-05	-0.0032224658869395	238.0	0.0267482672372134	0.0050010009508067	False	False	NA	NA	NA
