method	analysis_scope	tissue	gene_id	gene_symbol	comparison_role	independently_selected_gene	n_retained_pathways	retained_pathway_ids	retained_pathway_terms	retained_pathway_labels	n_concordant_pathways	n_discordant_pathways	any_concordant_bh_fdr	minimum_gene_fdr	project_balanced_gene_log2cpm_effect	gene_flt_gc_direction	analysis_roles	pathway_robustness_statuses
expiMap	canonical_tissue	skin	ENSMUSG00000005338	Cadm3	member_of_retained_expimap_pathway	False	1	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0	1	False	0.5869713003186572	0.1725039647094578	FLT_higher	main	internally robust, incomplete conventional support
expiMap	canonical_tissue	skin	ENSMUSG00000008206	Cers4	member_of_retained_expimap_pathway	False	1	R-MMU-428157	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	1	0	False	0.5869713003186572	-0.1127341581848773	FLT_lower	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000017929	B4galt5	member_of_retained_expimap_pathway	False	1	R-MMU-428157	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	0	1	False	0.5869713003186572	0.2218384023743677	FLT_higher	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000018909	Arrb1	member_of_retained_expimap_pathway	False	1	R-MMU-5358351	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	0	1	False	0.5869713003186572	0.1592861151207376	FLT_higher	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000020431	Adcy1	member_of_retained_expimap_pathway	False	1	R-MMU-5358351	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	0	1	False	0.5869713003186572	0.291382122299535	FLT_higher	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000021263	Degs2	member_of_retained_expimap_pathway	False	1	R-MMU-428157	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	1	0	False	0.5869713003186572	-0.2616925454132774	FLT_lower	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000021318	Gli3	member_of_retained_expimap_pathway	False	1	R-MMU-5358351	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	1	0	False	0.5869713003186572	-0.213324284682546	FLT_lower	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000021477	Ctsl	member_of_retained_expimap_pathway	False	1	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	1	0	False	0.5869713003186572	-0.1080531130679235	FLT_lower	main	internally robust, incomplete conventional support
expiMap	canonical_tissue	skin	ENSMUSG00000021756	Il6st	member_of_retained_expimap_pathway	False	1	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0	1	False	0.5869713003186572	0.1851515501995795	FLT_higher	main	internally robust, incomplete conventional support
expiMap	canonical_tissue	skin	ENSMUSG00000021759	Plpp1	member_of_retained_expimap_pathway	False	1	R-MMU-428157	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	0	1	False	0.5869713003186572	0.1414662441420965	FLT_higher	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000022840	Adcy5	member_of_retained_expimap_pathway	False	1	R-MMU-5358351	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	0	1	False	0.5869713003186572	0.3060715662173701	FLT_higher	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000024238	Zeb1	member_of_retained_expimap_pathway	False	1	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0	1	False	0.5869713003186572	0.2155251125754652	FLT_higher	main	internally robust, incomplete conventional support
expiMap	canonical_tissue	skin	ENSMUSG00000024304	Cdh2	member_of_retained_expimap_pathway	False	1	R-MMU-421270	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	0	1	False	0.5869713003186572	0.1981040262236935	FLT_higher	main	internally robust, incomplete conventional support
expiMap	canonical_tissue	skin	ENSMUSG00000025328	Padi3	member_of_retained_expimap_pathway	False	1	R-MMU-3247509	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	1	0	False	0.5869713003186572	-1.5278227371392568	FLT_lower	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000025329	Padi1	member_of_retained_expimap_pathway	False	1	R-MMU-3247509	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	1	0	False	0.5869713003186572	-1.3119279239561483	FLT_lower	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000025330	Padi4	member_of_retained_expimap_pathway	False	1	R-MMU-3247509	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	1	0	False	0.5869713003186572	-0.7898941860728804	FLT_lower	main	triangulated
expiMap	canonical_tissue	skin	ENSMUSG00000025407	Gli1	member_of_retained_expimap_pathway	False	1	R-MMU-5358351	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	1	0	False	0.5869713003186572	-0.282942219555502	FLT_lower	main	triangulated
