gene_id	gmm	hdbscan	spectral	consensus	gene_symbol	gene_label	eligible_meta	significant_fdr05_abs_log2fc1	meta_log2_fold_change	consistent_direction
ENSMUSG00000069295	8	0	0	0	NA	ENSMUSG00000069295	False	False	NA	NA
ENSMUSG00000020955	15	0	12	8	Ap4s1	Ap4s1	True	False	-0.0316507428772396	mixed
ENSMUSG00000029528	9	0	15	3	Pxn	Pxn	True	False	0.129461980591308	mixed
ENSMUSG00000028836	0	1	18	1	Slc30a2	Slc30a2	True	False	0.685903224131582	all_up
ENSMUSG00000095758	8	0	0	0	NA	ENSMUSG00000095758	False	False	NA	NA
ENSMUSG00000079015	13	0	3	12	Serpina1c	Serpina1c	True	False	-0.0935214146221634	mixed
ENSMUSG00000050855	22	1	4	2	Zfp940	Zfp940	True	False	-0.0564502053591255	mixed
ENSMUSG00000057723	8	0	0	0	NA	ENSMUSG00000057723	False	False	NA	NA
ENSMUSG00000026600	15	0	1	4	Soat1	Soat1	True	False	-0.236631637567781	all_down
ENSMUSG00000030189	1	0	15	3	Ybx3	Ybx3	True	False	0.114538608910014	mixed
ENSMUSG00000028684	3	0	10	11	Urod	Urod	True	False	0.0263031911217354	mixed
ENSMUSG00000016526	22	1	5	2	Dyrk3	Dyrk3	True	False	0.0398514295491208	mixed
ENSMUSG00000025380	8	0	0	0	NA	ENSMUSG00000025380	False	False	NA	NA
ENSMUSG00000020052	8	0	0	0	NA	ENSMUSG00000020052	False	False	NA	NA
ENSMUSG00000019312	9	0	10	11	Grb7	Grb7	True	False	0.0028163978348007	mixed
ENSMUSG00000115540	8	0	0	0	NA	ENSMUSG00000115540	False	False	NA	NA
ENSMUSG00000101304	10	1	14	7	Plet1os	Plet1os	True	False	-0.0332112524959323	mixed
ENSMUSG00000094293	8	0	0	0	NA	ENSMUSG00000094293	False	False	NA	NA
ENSMUSG00000095667	8	0	0	0	NA	ENSMUSG00000095667	False	False	NA	NA
ENSMUSG00000047583	22	1	5	2	Tyw3	Tyw3	True	False	0.18495383018235	all_up
ENSMUSG00000014030	10	1	4	7	Pax5	Pax5	True	False	-0.249885497522048	mixed
ENSMUSG00000005958	7	1	14	7	Ephb3	Ephb3	True	False	-0.0957568964978121	mixed
ENSMUSG00000041754	7	1	14	7	Trem3	Trem3	True	False	-0.429946135520857	mixed
ENSMUSG00000004285	9	0	15	3	Atp6v1f	Atp6v1f	True	False	0.0543535500764415	mixed
ENSMUSG00000051232	11	0	1	4	Tmem199	Tmem199	True	False	-0.0542734815870118	mixed
ENSMUSG00000068606	6	0	12	8	Gm4841	Gm4841	True	False	-0.310657742222534	mixed
ENSMUSG00000090527	8	0	0	0	NA	ENSMUSG00000090527	False	False	NA	NA
ENSMUSG00000026974	11	0	9	4	Zmynd19	Zmynd19	True	False	-0.0604401652736705	mixed
ENSMUSG00000059355	1	0	15	3	Wdr83os	Wdr83os	True	False	0.105184895033256	mixed
ENSMUSG00000002233	4	0	9	6	Rhoc	Rhoc	True	False	0.0551816304986023	mixed
ENSMUSG00000051323	0	1	6	1	Pcdh19	Pcdh19	False	False	0.286736875047132	all_up
