tissue	term	heldout_project_direction_concordance	heldout_projects	heldout_top_decile_selection_fraction	heldout_selected_direction_concordance	heldout_selected_folds
kidney	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-6811442_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-6811558_PI5P_PP2A_AND_IER3_REGULATE_PI3K_AKT_SIGNALING	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-68875_MITOTIC_PROPHASE	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-68877_MITOTIC_PROMETAPHASE	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-68882_MITOTIC_ANAPHASE	0.5	6	0.0	NA	NA
kidney	R-MMU-68886_M_PHASE	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-69275_G2_M_TRANSITION	0.3333333333333333	6	0.0	NA	NA
kidney	R-MMU-69278_CELL_CYCLE_MITOTIC	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-69473_G2_M_DNA_DAMAGE_CHECKPOINT	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-69481_G2_M_CHECKPOINTS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.8333333333333334	6	0.8333333333333334	0.8	5.0
kidney	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	0.5	6	0.0	NA	NA
kidney	R-MMU-72312_RRNA_PROCESSING	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-72613_EUKARYOTIC_TRANSLATION_INITIATION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-72706_GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-72737_CAP_DEPENDENT_TRANSLATION_INITIATION	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	0.1666666666666666	6	0.0	NA	NA
kidney	R-MMU-73884_BASE_EXCISION_REPAIR	0.0	6	0.0	NA	NA
kidney	R-MMU-73886_CHROMOSOME_MAINTENANCE	0.6666666666666666	6	0.0	NA	NA
kidney	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	0.5	6	0.0	NA	NA
kidney	R-MMU-73894_DNA_REPAIR	0.8333333333333334	6	0.0	NA	NA
kidney	R-MMU-73927_DEPURINATION	0.5	6	0.0	NA	NA
kidney	R-MMU-73929_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	0.5	6	0.0	NA	NA
kidney	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	0.6666666666666666	6	0.0	NA	NA
