direction	term	clean_term	study_count	accessions	best_fdr_bh	mean_wald_stat_shift_mean	aggregate_glare_support_categories
up_in_flight	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Olfactory Signaling Pathway	1	OSD-245	1.7974609726604824e-16	0.67647643287109	
down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Respiratory Electron Transport	1	OSD-245	7.319811100700978e-16	-1.5027877058117163	
down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	Respiratory Electron Transport Atp Synthesis By Chemiosmotic Coupling And Heat Production By Uncoupling Proteins 	1	OSD-245	7.970454576938325e-16	-1.4829035183310217	
up_in_flight	REACTOME_MUSCLE_CONTRACTION	Muscle Contraction	1	OSD-379	3.3474830695835195e-12	2.1554748663409846	muscle_cytoskeleton
down_in_flight	REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Tca Cycle And Respiratory Electron Transport	1	OSD-245	2.0058530114972316e-11	-0.9244124479334579	
down_in_flight	REACTOME_INFLUENZA_LIFE_CYCLE	Influenza Life Cycle	1	OSD-245	3.5202149328652957e-11	-1.0051303783834251	
down_in_flight	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	Nonsense Mediated Decay Enhanced By The Exon Junction Complex	1	OSD-245	4.94741909923105e-10	-1.1506329004603921	
up_in_flight	REACTOME_MRNA_SPLICING	Mrna Splicing	1	OSD-379	8.260688730879624e-10	1.064808264445958	
up_in_flight	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	Antigen Processing Ubiquitination Proteasome Degradation	1	OSD-379	1.0006541467522675e-08	0.7473692447600914	protein_processing_localization
up_in_flight	REACTOME_STRIATED_MUSCLE_CONTRACTION	Striated Muscle Contraction	1	OSD-379	1.2900714907801485e-08	2.7126104335987202	muscle_cytoskeleton
up_in_flight	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Mitochondrial Protein Import	1	OSD-463	1.6636511833320323e-08	1.9220493617556094	
down_in_flight	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Mitochondrial Protein Import	1	OSD-245	4.576062168672002e-08	-1.4994705224630351	
up_in_flight	REACTOME_HIV_INFECTION	Hiv Infection	1	OSD-379	5.401960412271865e-08	0.7053837508492965	
down_in_flight	REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	Formation Of The Ternary Complex And Subsequently The 43S Complex	1	OSD-245	1.0011512916681164e-07	-1.3862071876459743	
up_in_flight	REACTOME_TRANSCRIPTION	Transcription	1	OSD-379	2.022958734593051e-07	0.7981275326976246	
down_in_flight	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Cytokine Signaling In Immune System	1	OSD-463	2.372968266095002e-07	-0.7902308794983566	immune_complement_coagulation
down_in_flight	REACTOME_GPCR_DOWNSTREAM_SIGNALING	Gpcr Downstream Signaling	1	OSD-379	2.725371187008372e-07	-0.41592363261380016	
down_in_flight	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Activation Of The Mrna Upon Binding Of The Cap Binding Complex And Eifs And Subsequent Binding To 43S	1	OSD-245	3.306379137963702e-07	-1.219213134575522	
up_in_flight	REACTOME_HIV_LIFE_CYCLE	Hiv Life Cycle	1	OSD-379	3.445525593769957e-07	0.8694525557382686	
up_in_flight	REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	Late Phase Of Hiv Life Cycle	1	OSD-379	5.385041696559818e-07	0.9004553795120116	
up_in_flight	REACTOME_RNA_POL_II_TRANSCRIPTION	Rna Pol Ii Transcription	1	OSD-379	7.5884223601037e-07	0.8995147812153111	
up_in_flight	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	Class I Mhc Mediated Antigen Processing Presentation	1	OSD-379	1.0356546013154478e-06	0.6070924668842702	
up_in_flight	REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	Loss Of Nlp From Mitotic Centrosomes	1	OSD-379	1.0356546013154478e-06	1.3355652060714107	
up_in_flight	REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	Recruitment Of Mitotic Centrosome Proteins And Complexes	1	OSD-379	1.1349845994282064e-06	1.2220760137482594	
up_in_flight	REACTOME_PROTEIN_FOLDING	Protein Folding	1	OSD-379	1.2936343323396319e-06	1.3969159434469274	protein_processing_localization
up_in_flight	REACTOME_APOPTOSIS	Apoptosis	1	OSD-379	2.2964104312710967e-06	0.7618966720418019	
up_in_flight	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	Regulation Of Mrna Stability By Proteins That Bind Au Rich Elements	1	OSD-379	5.816204510705071e-06	0.932252294657769	
up_in_flight	REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	Prefoldin Mediated Transfer Of Substrate To Cct Tric	1	OSD-379	8.788903902642656e-06	1.8110321454699132	
up_in_flight	REACTOME_TELOMERE_MAINTENANCE	Telomere Maintenance	1	OSD-379	9.967165333030364e-06	1.3824854099017616	
up_in_flight	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	Formation Of Tubulin Folding Intermediates By Cct Tric	1	OSD-379	1.1577977645607845e-05	2.1962637050224707	protein_processing_localization
