x,y,z,gene_id,Location,gmm,hdbscan,spectral,consensus
-13.903389,5.903559,12.780729,AT1G04277,GC,0,0,17,3
17.66446,-10.122287,10.033942,AT1G04280,GC,8,0,13,1
4.8768225,7.181954,8.972274,AT1G04290,GC,6,7,7,0
-5.3566747,-9.895728,8.975309,AT1G04295,GC,0,16,11,3
19.218311,-13.867552,4.669948,AT1G04300,GC,15,1,1,5
-4.5321827,20.74088,-12.249807,AT1G04310,GC,20,12,16,4
1.1435009,23.652515,-6.5552864,AT1G04330,GC,6,10,16,0
1.5408863,-9.5472975,-13.421516,AT1G04340,GC,14,2,14,9
-6.839268,-4.700218,17.85141,AT1G04347,GC,0,16,6,3
-11.655077,12.4450655,-12.828947,AT1G04350,GC,20,13,4,4
-10.96831,17.30745,-10.458799,AT1G04353,GC,20,13,4,4
-8.827581,3.1466115,18.846096,AT1G04357,GC,0,16,6,3
8.781552,2.421511,-0.05451964,AT1G04360,GC,18,5,15,2
-19.35668,-3.0678487,8.936831,AT1G04370,GC,0,16,17,3
-19.740982,-3.1609504,7.9649878,AT1G04380,GC,0,16,17,3
12.914318,13.633075,6.133006,AT1G04390,GC,6,9,15,0
-17.99918,-1.0016676,17.122547,AT1G04393,GC,0,16,5,3
19.54932,-12.61632,4.7506776,AT1G04400,GC,15,1,1,5
2.7056708,-2.3383858,15.225739,AT1G04410,GC,11,0,9,8
10.893876,20.58432,1.8113844,AT1G04420,GC,6,9,0,0
-14.091134,2.2228057,-0.7715655,AT1G04425,GC,20,14,18,4
10.551336,-13.789867,10.289337,AT1G04430,GC,1,1,19,5
-20.564898,8.204897,6.4928355,AT1G04433,GC,0,0,17,3
17.694231,-15.614206,6.2539673,AT1G04440,GC,1,1,13,1
-8.960735,-11.835806,5.795321,AT1G04445,GC,0,15,11,11
-22.536736,0.6003364,7.3023415,AT1G04450,GC,0,17,17,3
-21.954891,-1.0427319,6.066469,AT1G04463,GC,0,17,17,3
-9.09559,-3.4989805,19.885403,AT1G04467,GC,0,16,6,3
-18.463816,0.46365,14.01341,AT1G04470,GC,0,16,17,3
12.209162,-5.105743,12.875931,AT1G04480,GC,3,0,13,1
-14.150178,11.255137,8.55287,AT1G04487,GC,0,0,12,3
-10.566198,17.798483,-9.146756,AT1G04490,GC,20,13,4,4
-15.6576185,10.425177,8.570082,AT1G04503,GC,0,0,12,3
3.317498,-14.995119,4.907224,AT1G04510,GC,17,1,19,5
-20.20047,-3.1735876,7.033411,AT1G04513,GC,0,16,17,3
9.38583,0.48496196,-11.587699,AT1G04520,GC,18,4,3,2
3.249021,-9.038405,-4.322419,AT1G04530,GC,14,3,2,6
-13.674645,-4.940769,19.237986,AT1G04537,GC,0,16,5,3
-14.185471,-10.738092,6.7838125,AT1G04540,GC,0,16,5,3
-0.47697553,-17.512056,-13.608013,AT1G04550,GC,14,1,8,5
3.7569132,23.731483,-6.61797,AT1G04555,GC,6,10,16,0
-6.805561,-8.477767,2.873776,AT1G04560,GC,0,15,11,11
-12.748458,12.622324,-10.874916,AT1G04570,GC,20,13,4,4
-14.3873825,-4.479799,-11.101532,AT1G04580,GC,20,14,10,4
-22.205517,4.979307,6.42098,AT1G04583,GC,0,17,17,3
2.8716452,7.17589,8.421882,AT1G04590,GC,6,7,7,0
-18.920784,-5.2927365,5.709157,AT1G04600,GC,20,16,5,3
