flt_cluster	gc_cluster	gene_count	fraction_of_flt_cluster	fraction_of_gc_cluster	mean_latent_shift	median_latent_shift	p90_latent_shift	eligible_dgea_genes	significant_dgea_genes	mean_meta_log2fc_eligible	mean_abs_meta_log2fc_sig	top_shift_genes	top_significant_genes	primary_gc_for_flt	primary_flt_for_gc	is_primary_flt_to_gc	is_primary_gc_to_flt	edge_role
14	6	36	0.1188118811881188	0.026785714285714284	3.67343355157031	3.5723785211409584	5.582541558171999	36	0	0.0028917546994021654	NA	Myh11,Sult2a1,Hao2,Sult2a2,Eno1b,Cyp2a22,Slc22a27,Ankrd55,Vldlr,Sult3a2,Abhd1,Syt1		8	12	False	False	secondary
14	5	33	0.10891089108910891	0.024390243902439025	3.3463891065834277	2.816543209592276	4.871876550640853	33	0	-0.0828784518251281	NA	Snord17,Neb,Snora74a,Rps2,Dio1,Rpl22l1,Prg4,Cops9,Lrtm1,Slc35d2,Tsku,Vnn1		8	1	False	False	secondary
14	11	19	0.0627062706270627	0.022727272727272728	2.272975610227534	2.256845361074037	3.004194872969955	19	0	0.018824796002149154	NA	Smlr1,Rpl27,Rarres1,Rplp2,Gsta4,Rpl35,Rps29,Tenm3,Atox1,Rpl28,Serpina11,G0s2		8	5	False	False	secondary
14	9	6	0.019801980198019802	0.005235602094240838	3.2001798410534126	2.950773877584989	4.066185081511523	6	0	-0.11356108451649917	NA	Ndufb4,Timm8b,Elovl6,Rpl39,Ndufs4,Rpl30		8	10	False	False	secondary
14	4	4	0.013201320132013201	0.0024875621890547263	3.737560032001114	3.239816989595117	5.462468829329122	4	0	-0.05161385131141	NA	Fhl1,Serpinb6a,Fkbp11,F830016B08Rik		8	2	False	False	secondary
14	12	3	0.009900990099009901	0.0048543689320388345	2.2576845826847465	2.212405529418122	2.54473527704736	3	1	0.3717288343756566	1.59059809703387	Serpina6,Apoa4,Prlr	Apoa4	8	11	False	False	secondary
15	1	167	0.6007194244604317	0.07643020594965676	3.616351558549372	3.000046652029438	6.587836866787787	108	8	0.3560536910059899	1.528459834224285	Actn3,Myoz1,Myo18b,Casq1,Cacna1s,Apobec2,Myot,Hrc,Trdn,Cox8b,Cox6a2,Smpx	Cox8b,Casq2,Sh3bgr,Trim72,Alox15,Myo18b,Hrc,Chrdl2	1	3	True	False	flt_primary_only
15	7	81	0.29136690647482016	0.06044776119402985	1.6158265948814796	1.5050584409374983	2.3268295840041926	77	0	0.03931099396988914	NA	Mfap5,Clec3b,Kcnq4,Slc4a3,Klk1,Kif12,Klk8,Spint1,Plpp7,Prr18,Nectin4,Gm16063		1	4	False	False	secondary
15	0	18	0.06474820143884892	0.00406871609403255	6.157573356274614	6.4585180654638314	7.224509481725222	2	0	-0.06137466015986615	NA	ENSMUSG00000074199,Asprv1,Tgm3,Dmkn,ENSMUSG00000059956,ENSMUSG00000044594,ENSMUSG00000031757,Aldh3a1,Smtnl1,Dsg1a,ENSMUSG00000042306,ENSMUSG00000032807		1	0	False	False	secondary
15	10	12	0.04316546762589928	0.011472275334608031	2.8883012932730057	2.7545900718342304	3.57611442925349	12	0	0.1581763185428167	NA	Neurl1a,Apol6,Aloxe3,Nipal4,Csta1,Hebp2,Zfp185,Wt1,Ppfia3,Epdr1,Aoc3,Rspo1		1	4	False	False	secondary
