gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000009614	17	0	15	11
ENSMUSG00000020402	7	0	0	10
ENSMUSG00000026220	4	0	9	3
ENSMUSG00000002014	1	0	8	5
ENSMUSG00000061979	3	0	18	12
ENSMUSG00000035235	18	1	1	9
ENSMUSG00000027801	1	0	8	5
ENSMUSG00000001323	7	0	0	10
ENSMUSG00000084174	8	0	19	15
ENSMUSG00000085794	10	0	23	4
ENSMUSG00000024780	7	0	21	10
ENSMUSG00000030107	19	0	6	2
ENSMUSG00000046351	5	0	7	1
ENSMUSG00000002984	6	0	16	8
ENSMUSG00000034659	6	0	16	8
ENSMUSG00000077092	2	0	3	0
ENSMUSG00000050215	2	0	3	0
ENSMUSG00000092673	4	0	20	3
ENSMUSG00000029772	5	0	7	1
ENSMUSG00000030619	5	0	7	1
ENSMUSG00000045854	11	0	6	2
ENSMUSG00000040022	19	0	6	2
ENSMUSG00000038047	19	0	2	2
ENSMUSG00000068506	2	0	3	0
ENSMUSG00000067767	2	0	3	0
ENSMUSG00000029564	4	0	24	3
ENSMUSG00000055298	2	0	3	0
ENSMUSG00000046913	2	0	3	0
ENSMUSG00000087115	2	0	3	0
ENSMUSG00000038155	0	1	1	9
ENSMUSG00000045917	3	0	18	12
ENSMUSG00000040855	7	0	0	10
ENSMUSG00000009549	14	0	7	1
ENSMUSG00000027715	16	1	1	7
ENSMUSG00000047030	11	0	18	2
ENSMUSG00000026034	14	0	21	1
ENSMUSG00000090141	2	0	3	0
ENSMUSG00000020419	10	0	10	4
ENSMUSG00000041741	19	0	2	2
ENSMUSG00000038949	5	0	6	1
ENSMUSG00000026701	17	0	14	11
ENSMUSG00000037944	10	1	10	13
ENSMUSG00000030970	15	1	5	6
ENSMUSG00000059077	2	0	3	0
ENSMUSG00000025270	0	0	16	14
ENSMUSG00000096351	4	0	4	3
ENSMUSG00000092111	16	0	22	7
ENSMUSG00000087480	18	1	1	9
ENSMUSG00000033149	7	0	0	10
ENSMUSG00000086219	9	1	22	6
ENSMUSG00000027074	14	0	21	1
ENSMUSG00000078753	2	0	3	0
ENSMUSG00000068173	2	0	3	0
ENSMUSG00000018740	9	1	10	13
ENSMUSG00000044317	16	0	10	7
ENSMUSG00000003549	15	1	5	6
ENSMUSG00000022982	17	0	14	11
ENSMUSG00000028862	18	1	1	9
ENSMUSG00000066030	2	0	3	0
ENSMUSG00000054459	4	0	20	3
ENSMUSG00000015947	18	1	1	9
ENSMUSG00000035764	19	0	6	2
ENSMUSG00000102099	4	0	24	3
ENSMUSG00000027555	9	0	10	4
ENSMUSG00000068246	1	0	8	5
ENSMUSG00000031786	2	0	3	0
ENSMUSG00000091155	2	0	3	0
ENSMUSG00000047544	2	0	3	0
ENSMUSG00000070780	7	0	21	10
ENSMUSG00000046300	2	0	3	0
ENSMUSG00000021376	1	0	11	5
ENSMUSG00000099968	2	0	3	0
ENSMUSG00000020974	16	0	22	7
ENSMUSG00000068742	5	0	7	1
ENSMUSG00000051051	4	0	24	3
ENSMUSG00000027306	16	1	1	7
ENSMUSG00000065508	2	0	3	0
ENSMUSG00000000167	16	0	22	7
ENSMUSG00000078619	13	0	11	5
ENSMUSG00000112937	10	0	23	4
ENSMUSG00000002603	3	1	18	12
ENSMUSG00000030111	4	0	20	3
ENSMUSG00000032988	4	0	4	3
ENSMUSG00000000567	0	1	1	9
ENSMUSG00000020299	2	0	3	0
ENSMUSG00000086823	4	0	24	3
ENSMUSG00000032511	2	0	3	0
ENSMUSG00000024427	0	0	6	14
ENSMUSG00000011148	3	0	16	12
ENSMUSG00000033027	4	0	20	3
ENSMUSG00000029136	11	0	6	2
ENSMUSG00000073907	10	0	23	4
ENSMUSG00000002820	6	0	16	8
ENSMUSG00000044167	14	0	21	1
ENSMUSG00000041750	12	1	5	6
ENSMUSG00000116848	2	0	3	0
ENSMUSG00000042498	10	0	24	4
ENSMUSG00000028718	10	0	23	4
ENSMUSG00000035547	15	1	5	6
ENSMUSG00000062873	2	0	3	0
ENSMUSG00000021482	7	0	0	10
ENSMUSG00000030805	6	0	16	8
ENSMUSG00000037994	16	0	22	7
ENSMUSG00000037788	19	1	2	2
ENSMUSG00000047720	2	0	3	0
ENSMUSG00000050334	4	0	24	3
ENSMUSG00000096697	2	0	3	0
ENSMUSG00000031628	5	0	7	1
ENSMUSG00000090219	16	0	22	7
ENSMUSG00000077191	2	0	3	0
ENSMUSG00000078672	0	0	14	14
ENSMUSG00000045968	9	0	22	6
ENSMUSG00000033767	14	0	7	1
ENSMUSG00000039199	9	0	5	4
ENSMUSG00000104401	4	0	24	3
ENSMUSG00000070943	2	0	3	0
ENSMUSG00000020654	15	1	5	6
ENSMUSG00000021693	19	0	6	2
ENSMUSG00000048772	6	0	16	8
ENSMUSG00000072704	7	0	0	10
ENSMUSG00000049421	14	0	21	1
ENSMUSG00000032396	5	0	7	1
ENSMUSG00000022346	15	1	5	6
ENSMUSG00000095312	2	0	3	0
ENSMUSG00000062960	1	0	0	5
ENSMUSG00000021381	2	0	3	0
ENSMUSG00000022155	2	0	3	0
ENSMUSG00000058407	14	0	21	1
ENSMUSG00000025077	5	0	7	1
ENSMUSG00000044243	2	0	3	0
ENSMUSG00000026626	7	0	14	10
ENSMUSG00000051497	9	1	5	6
ENSMUSG00000052384	15	0	2	2
ENSMUSG00000057110	14	0	7	1
ENSMUSG00000025920	19	0	2	2
ENSMUSG00000036091	10	0	10	4
ENSMUSG00000038583	18	1	1	9
ENSMUSG00000033106	11	0	6	2
ENSMUSG00000019877	17	0	14	11
ENSMUSG00000058028	2	0	3	0
ENSMUSG00000055820	4	0	17	3
ENSMUSG00000074259	4	0	20	3
ENSMUSG00000029201	7	0	0	10
ENSMUSG00000021572	16	0	22	7
ENSMUSG00000021070	4	0	4	3
ENSMUSG00000110253	2	0	3	0
ENSMUSG00000073002	3	0	18	12
ENSMUSG00000050677	8	0	10	15
ENSMUSG00000033436	19	1	2	2
ENSMUSG00000031982	9	0	5	4
ENSMUSG00000115609	2	0	3	0
ENSMUSG00000021728	16	0	22	7
ENSMUSG00000040856	4	0	4	3
ENSMUSG00000064899	0	1	1	9
ENSMUSG00000108827	16	0	22	7
ENSMUSG00000060030	2	0	3	0
ENSMUSG00000032033	2	0	3	0
ENSMUSG00000006998	1	0	8	5
ENSMUSG00000029463	9	1	5	6
ENSMUSG00000043831	11	0	6	2
ENSMUSG00000021241	5	0	7	1
ENSMUSG00000039518	2	0	3	0
ENSMUSG00000055811	2	0	3	0
ENSMUSG00000060044	16	0	22	7
ENSMUSG00000005882	14	0	21	1
ENSMUSG00000022853	17	0	14	11
ENSMUSG00000031511	5	0	7	1
ENSMUSG00000066262	4	0	24	3
ENSMUSG00000044816	4	0	24	3
ENSMUSG00000109058	2	0	3	0
ENSMUSG00000019194	15	1	5	6
ENSMUSG00000056296	10	0	23	4
ENSMUSG00000032269	2	0	3	0
ENSMUSG00000019791	5	0	7	1
ENSMUSG00000004542	4	0	20	3
ENSMUSG00000091183	16	0	23	7
ENSMUSG00000022151	5	0	7	1
