term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-110330_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	-0.0007161282528545	0.1343378896873826	0.0007161282528545	0.0012815661570866861	0.0011023316575866973	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8856825_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.0014847926698331	0.1343378896873826	0.0014847926698331	0.0024026701686952466	0.002088885263627026	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8957275_POST_TRANSLATIONAL_PROTEIN_PHOSPHORYLATION	-0.0426981673023526	0.1343378896873826	0.0426981673023526	0.06800139334635304	0.05149817973524195	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-2672351_STIMULI_SENSING_CHANNELS	-0.0022647491997997	0.1343378896873826	0.0022647491997997	0.0035550776879708906	0.0027796744295694917	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.0767043882285885	0.1382376302114744	0.0767043882285885	0.09171934421425197	0.07583707381742656	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9648025_EML4_AND_NUDC_IN_MITOTIC_SPINDLE_FORMATION	0.0006373774584127	0.1428505975853591	0.0006373774584127	0.001096879997651367	0.0007225208502109	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-69275_G2_M_TRANSITION	-0.0669207329337033	0.1428505975853591	0.0669207329337033	0.07926826887063139	0.0615851069222187	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9013026_RHOB_GTPASE_CYCLE	-0.0020122853026811	0.1428505975853591	0.0020122853026811	0.004306600001272066	0.0028086559211927347	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.0004565564850194	0.1428505975853591	0.0004565564850194	0.0006647396902524027	3.68176732524528e-05	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	-0.0454715169646017	0.1430774020618147	0.0454715169646017	0.060191751979133505	0.033688016923577944	0.014249067531992898	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac
R-MMU-73927_DEPURINATION	-0.0004130978478731	0.1443000070615948	0.0004130978478731	0.000808368627121539	0.0002998116365941945	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9764725_NEGATIVE_REGULATION_OF_CDH1_GENE_TRANSCRIPTION	0.0003356445011304	0.1480324485236743	0.0003356445011304	0.0005056854520852553	0.0003234254892003552	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-73887_DEATH_RECEPTOR_SIGNALING	0.045262265732181	0.1487074740875026	0.045262265732181	0.053226853332621525	0.02779886764214534	0.014249067531992898	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-9707564_CYTOPROTECTION_BY_HMOX1	0.0017683173352287	0.1529597382065733	0.0017683173352287	0.004711581627632132	0.0033289088228667645	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9663891_SELECTIVE_AUTOPHAGY	-0.000824912897077	0.1529597382065733	0.000824912897077	0.001357639584006	0.0012409197781964832	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-1474290_COLLAGEN_FORMATION	-0.0533753353059855	0.1529597382065733	0.0533753353059855	0.07687669213754585	0.07383684053910532	0.014249067531992898	plausible_complementary	plausible/complementary	collagen	plausible complementary mechanism: collagen
R-MMU-975155_MYD88_DEPENDENT_CASCADE_INITIATED_ON_ENDOSOME	0.0012791241006152	0.1529597382065733	0.0012791241006152	0.0016772780966195248	0.0009615289537624085	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	-0.081898549320759	0.1529597382065733	0.081898549320759	0.12435036671368949	0.06513287862638788	0.014249067531992898	prior_literature_match	prior literature match	toll like receptor	matches expected tissue/spaceflight biology: toll like receptor
R-MMU-9818564_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	-0.0033470727053814	0.1529597382065733	0.0033470727053814	0.0048198297354681	0.004217016838543516	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
