gene_cluster	n_genes	profile	id.accession	investigation.study.comment.project identifier	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence	tissue_metadata_source	official_material_type	official_tissue_type	mean_expression
0	1781	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7	OSD-168	RR-1, RR-3	RR1_BSL_M7	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		139.49747
0	1781	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep4_M8	OSD-168	RR-1, RR-3	RR1_BSL_M8	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		127.75856
0	1781	Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep5_M10	OSD-168	RR-1, RR-3	RR1_BSL_M10	baseline_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		127.877594
0	1781	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25	OSD-168	RR-1, RR-3	RR1_FLT_M25	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		138.7479
0	1781	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26	OSD-168	RR-1, RR-3	RR1_FLT_M26	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		181.37338
0	1781	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28	OSD-168	RR-1, RR-3	RR1_FLT_M28	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		174.43234
0	1781	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29	OSD-168	RR-1, RR-3	RR1_FLT_M29	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		154.51825
0	1781	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30	OSD-168	RR-1, RR-3	RR1_FLT_M30	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		158.97586
0	1781	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep1_M25	OSD-168	RR-1, RR-3	RR1_FLT_M25	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		142.08984
0	1781	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep2_M26	OSD-168	RR-1, RR-3	RR1_FLT_M26	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		170.15273
0	1781	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep3_M28	OSD-168	RR-1, RR-3	RR1_FLT_M28	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		193.6996
0	1781	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep4_M29	OSD-168	RR-1, RR-3	RR1_FLT_M29	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		168.30882
0	1781	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep5_M30	OSD-168	RR-1, RR-3	RR1_FLT_M30	flight	flight	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		170.56653
0	1781	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36	OSD-168	RR-1, RR-3	RR1_GC_M36	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		119.57215
0	1781	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37	OSD-168	RR-1, RR-3	RR1_GC_M37	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		138.85289
0	1781	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38	OSD-168	RR-1, RR-3	RR1_GC_M38	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		124.52611
0	1781	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39	OSD-168	RR-1, RR-3	RR1_GC_M39	ground_control	ground_or_control	liver	OSDR Material Type: Liver	authoritative_osdr_metadata	official_osdr_material_type	Liver		138.88882
