location	term	study_count	accessions	cluster_count	best_fdr_bh	max_overlap	example_clusters
GC	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	1.3312435005680872e-19	37	OSD-379:GC5;OSD-463:GC4;OSD-48:GC3;OSD-168:GC5;OSD-137:GC6;OSD-245:GC5;OSD-137:GC8;OSD-245:GC7
GC	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	10	1.3312435005680872e-19	31	OSD-379:GC5;OSD-48:GC3;OSD-463:GC4;OSD-168:GC5;OSD-137:GC8;OSD-245:GC5;OSD-137:GC6;OSD-245:GC9
FLT	REACTOME_REGULATION_OF_APOPTOSIS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	1.5478882320170197e-19	33	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-245:FLT3;OSD-137:FLT3;OSD-245:FLT9
FLT	REACTOME_ER_PHAGOSOME_PATHWAY	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	14	1.7269735580887242e-19	30	OSD-48:FLT7;OSD-463:FLT4;OSD-168:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-245:FLT3;OSD-245:FLT9
FLT	REACTOME_SIGNALING_BY_WNT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	2.569648464993979e-19	35	OSD-463:FLT4;OSD-48:FLT7;OSD-168:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-245:FLT3;OSD-245:FLT9
GC	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	15	3.8146885541870446e-19	42	OSD-379:GC5;OSD-48:GC3;OSD-463:GC4;OSD-168:GC5;OSD-137:GC8;OSD-137:GC6;OSD-245:GC5;OSD-245:GC7
FLT	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	16	5.150238533934552e-19	35	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-245:FLT3;OSD-245:FLT9
FLT	REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	5.150238533934552e-19	30	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-245:FLT3;OSD-137:FLT3;OSD-245:FLT9
FLT	REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	5.150238533934552e-19	30	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-245:FLT3;OSD-245:FLT9
FLT	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	11	5.150238533934552e-19	30	OSD-48:FLT7;OSD-463:FLT4;OSD-168:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-245:FLT3;OSD-245:FLT9
FLT	REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	5.150238533934552e-19	31	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-245:FLT3;OSD-245:FLT9
FLT	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	13	8.264456212210629e-19	34	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-137:FLT3;OSD-245:FLT3;OSD-245:FLT9
GC	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	18	1.2470435261144824e-18	54	OSD-48:GC3;OSD-379:GC5;OSD-168:GC5;OSD-463:GC4;OSD-245:GC5;OSD-137:GC8;OSD-137:GC6;OSD-463:GC7
GC	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	17	1.493926877991387e-18	46	OSD-48:GC3;OSD-379:GC5;OSD-168:GC5;OSD-463:GC4;OSD-245:GC5;OSD-137:GC6;OSD-137:GC8;OSD-245:GC9
FLT	REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	6	OSD-137,OSD-168,OSD-245,OSD-379,OSD-463,OSD-48	12	1.4982911444562378e-18	30	OSD-48:FLT7;OSD-168:FLT4;OSD-463:FLT4;OSD-379:FLT6;OSD-137:FLT8;OSD-245:FLT3;OSD-137:FLT3;OSD-245:FLT9
