gene_id	flt_cluster	gc_cluster	procrustes_latent_shift
ENSMUSG00000056901	0	0	0.43841443149948217
ENSMUSG00000041079	4	7	1.5449804966535718
ENSMUSG00000030127	3	9	1.0916798594461878
ENSMUSG00000055971	0	0	0.43841443149948217
ENSMUSG00000066149	11	4	0.9215818485200366
ENSMUSG00000032563	11	4	1.1671443598740268
ENSMUSG00000027244	11	4	1.490949135765133
ENSMUSG00000028523	0	0	0.43841443149948217
ENSMUSG00000038762	3	9	2.4032531091953646
ENSMUSG00000077972	0	0	0.43841443149948217
ENSMUSG00000027784	11	4	0.9054307555774318
ENSMUSG00000026792	5	6	1.3683407792235274
ENSMUSG00000059201	1	3	1.3199796617791848
ENSMUSG00000022724	4	7	1.252935884898979
ENSMUSG00000078716	8	1	1.183966772240471
ENSMUSG00000054901	1	3	0.8262208204105785
ENSMUSG00000045648	1	3	0.4051305240585315
ENSMUSG00000020524	1	3	0.41331286749260254
ENSMUSG00000017774	3	9	2.0001727929875526
ENSMUSG00000091863	0	0	0.43841443149948217
ENSMUSG00000065422	0	0	0.43841443149948217
ENSMUSG00000077457	1	3	0.3311605812506922
ENSMUSG00000059031	2	2	0.7512257521219194
ENSMUSG00000032192	2	1	1.922421203372727
ENSMUSG00000031410	1	3	0.6265967034339296
ENSMUSG00000002910	4	7	1.7969057686524805
ENSMUSG00000023947	6	10	1.0143703292295292
ENSMUSG00000031125	1	3	1.9623049172468852
ENSMUSG00000039477	5	6	1.8618900824923892
ENSMUSG00000022707	9	8	1.0405770297104742
ENSMUSG00000047594	1	3	1.1228801093895253
ENSMUSG00000052364	8	1	0.8892312406175211
ENSMUSG00000034730	1	3	0.42685378212804514
ENSMUSG00000031753	3	9	2.1295481571092005
ENSMUSG00000036169	0	0	0.43841443149948217
ENSMUSG00000029865	0	0	0.43841443149948217
ENSMUSG00000022706	11	4	1.2466752228859928
ENSMUSG00000006575	6	10	0.9869367847732339
ENSMUSG00000025236	4	4	1.071854503104225
ENSMUSG00000061981	5	9	1.4938727638382703
ENSMUSG00000065401	0	0	0.43841443149948217
ENSMUSG00000005089	9	8	2.129054362194593
ENSMUSG00000000889	0	0	0.4420653186075158
ENSMUSG00000069917	3	12	2.1254403593723343
ENSMUSG00000042345	8	1	1.5845686489953654
ENSMUSG00000035642	5	6	1.8073617716335155
ENSMUSG00000021294	6	2	3.139947601722694
ENSMUSG00000026333	4	7	1.4378871000719131
ENSMUSG00000091468	2	1	0.7261566055296891
ENSMUSG00000024558	8	1	1.413696629835303
ENSMUSG00000039725	12	10	1.6065641452330635
ENSMUSG00000085886	1	3	0.4225792177483073
ENSMUSG00000112707	8	2	2.6958652511159715
ENSMUSG00000038517	6	10	0.98266174823273
ENSMUSG00000039555	0	0	0.43841443149948217
ENSMUSG00000037962	1	3	0.7919672860866525
ENSMUSG00000050973	12	10	0.9005527269686489
ENSMUSG00000001420	6	2	2.8980248417616035
ENSMUSG00000018470	2	1	0.7336486249242207
ENSMUSG00000050217	0	0	0.43841443149948217
ENSMUSG00000029716	9	8	1.952187190264263
ENSMUSG00000078453	4	7	1.4395609598575132
ENSMUSG00000028538	3	9	2.165959772405524
ENSMUSG00000026766	7	5	0.9535250211968256
ENSMUSG00000012520	0	0	0.43841443149948217
ENSMUSG00000101655	6	2	2.093681361689071
ENSMUSG00000001155	9	8	1.6082901402032155
ENSMUSG00000023092	4	7	1.7051357048150166
ENSMUSG00000030607	0	0	0.43841443149948217
ENSMUSG00000025949	3	5	0.9260309534861008
ENSMUSG00000024182	5	6	1.2691199997328804
ENSMUSG00000042750	1	3	0.43005213575834894
ENSMUSG00000033033	6	2	2.37289703867037
ENSMUSG00000047669	8	1	1.3699007773078602
ENSMUSG00000031168	9	8	0.8526866999360243
ENSMUSG00000111564	1	3	0.49490176259190133
ENSMUSG00000096009	0	0	0.43841443149948217
ENSMUSG00000045438	5	11	2.2779175582214046
ENSMUSG00000030002	7	5	0.8527135957807138
ENSMUSG00000032594	3	9	1.7821047781174322
ENSMUSG00000033214	0	0	0.43841443149948217
ENSMUSG00000075269	0	0	0.43841443149948217
ENSMUSG00000097756	0	0	0.43841443149948217
ENSMUSG00000041642	6	10	1.0954797398388227
ENSMUSG00000112880	8	2	1.822834450649928
ENSMUSG00000056832	8	1	1.3633242984561535
ENSMUSG00000031616	4	7	1.4566057853188794
ENSMUSG00000090291	2	1	0.7410658125483506
ENSMUSG00000027233	1	3	0.3455194296953343
ENSMUSG00000106053	13	2	1.6557910897817354
ENSMUSG00000029408	6	2	2.4084350529947036
ENSMUSG00000037331	3	8	0.7339349716988833
ENSMUSG00000043687	13	2	3.271539912684992
ENSMUSG00000033902	12	6	1.2962212765363628
ENSMUSG00000041248	1	3	0.4568222421379437
ENSMUSG00000115236	0	0	0.43841443149948217
ENSMUSG00000046062	3	8	1.8319471902702256
ENSMUSG00000054619	9	8	2.579788560306839
ENSMUSG00000024563	7	4	0.8148124463899881
ENSMUSG00000021362	1	3	0.5991284416108849
ENSMUSG00000054679	1	3	0.6417620311296167
ENSMUSG00000045678	10	2	2.2945589628021494
ENSMUSG00000061601	10	2	1.6832079703474203
ENSMUSG00000086628	13	7	1.6938672529598802
ENSMUSG00000027962	11	7	1.564178573033919
ENSMUSG00000022132	1	3	0.28998364583200853
ENSMUSG00000103906	6	2	2.329211363324093
ENSMUSG00000071424	1	3	1.168785929935796
ENSMUSG00000015968	10	2	1.464672741588046
ENSMUSG00000078625	1	3	0.5136079912946605
ENSMUSG00000050198	1	3	0.6608325561551391
ENSMUSG00000075220	0	0	0.43841443149948217
ENSMUSG00000000171	9	8	2.3586323116264203
ENSMUSG00000030785	2	2	1.921114841398993
ENSMUSG00000049823	6	2	2.349827021352227
ENSMUSG00000026134	4	2	1.1640204288111689
ENSMUSG00000075095	0	0	0.43841443149948217
ENSMUSG00000015247	3	5	1.4010812256281606
ENSMUSG00000009614	9	8	1.5794719051845814
ENSMUSG00000020402	9	8	0.5744662196875313
ENSMUSG00000026220	0	0	0.43841443149948217
ENSMUSG00000002014	3	12	2.153536144577158
ENSMUSG00000061979	12	6	2.144715882838775
ENSMUSG00000035235	10	2	1.8378455623359953
ENSMUSG00000027801	3	5	1.5673478156195033
ENSMUSG00000001323	3	5	1.3434553709032095
ENSMUSG00000084174	1	3	0.6772244505505985
ENSMUSG00000085794	2	1	0.5424704018314729
ENSMUSG00000024780	3	5	0.9648107937464931
ENSMUSG00000030107	4	7	1.5433588518210377
ENSMUSG00000046351	11	4	1.5549404564518934
ENSMUSG00000002984	5	6	1.769939018379957
ENSMUSG00000034659	5	6	2.3467657234910813
ENSMUSG00000077092	0	0	0.43841443149948217
ENSMUSG00000050215	0	0	0.43841443149948217
ENSMUSG00000092673	1	3	0.5649724281550358
ENSMUSG00000029772	11	4	1.6224838138079742
ENSMUSG00000030619	11	4	1.0815927224168114
ENSMUSG00000045854	4	7	1.9369631160741183
